title,price,miles_covered,model,description,features,location,primary_image_url,all_links
Honda city Aspire Cvt 1.5 Top of the line virant Zero Meter 2023 Model,"Rs 5,985,000",65 km•2023,City Aspire,Honda city Aspire Cvt 1.5 Fresh Delivery with All original Documents n also Double Biomatric . Model 2023 Fresh invoice Only 65 km Driven Showroom 2 House that's it . Serious buyer contact Dealer stay away jazakAllah .,"ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 CD Player 
 DVD Player 
 Front Speakers 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Rear AC Vents 
 Rear speakers 
 Rear Camera 
 USB and Auxillary Cable","Valencia Town, Lahore",https://images.olx.com.pk/thumbnails/336838034-400x300.jpeg,"https://images.olx.com.pk/thumbnails/336838035-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838036-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838037-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838038-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838039-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838040-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838041-400x300.jpeg
https://images.olx.com.pk/thumbnails/336838042-400x300.jpeg"
Cygnus LX470,"Rs 7,900,000","130,000 km•2003",Land Cruiser,"2002/2005 minor touchup rest totally packed vehicle engine suspension mint condition. 

exchange possible with black Revo!","ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 CD Player 
 Cassette Player 
 Cool Box 
 Cruise Control 
 Climate Control 
 DVD Player 
 Front Speakers 
 Front Camera 
 Heated Seats 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear AC Vents 
 Rear speakers 
 Rear Camera 
 Sun Roof 
 Steering Switches 
 USB and Auxillary Cable","Gulraiz Housing Scheme, Rawalpindi",https://images.olx.com.pk/thumbnails/348112553-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348112554-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112555-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112556-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112557-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112558-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112559-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112560-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112561-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112562-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112563-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112564-400x300.jpeg
https://images.olx.com.pk/thumbnails/348112565-400x300.jpeg"
Cultus VXL Full Genuine No any Tuch up,"Rs 247,000","60,000 km•2018",Cultus VXL,"Model 2018 VXL
Full Genuine No any Touch up Family Use Car(View phone number)Urgent Sell Need for Money
First owner","Air Bags 
 Alloy Rims 
 AM/FM Radio 
 DVD Player 
 Front Speakers 
 Power Steering 
 Power Windows","Gulshan-E-Hadeed, Karachi",https://images.olx.com.pk/thumbnails/348229753-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348229754-400x300.jpeg
https://images.olx.com.pk/thumbnails/348229755-400x300.jpeg
https://images.olx.com.pk/thumbnails/348229756-400x300.jpeg
https://images.olx.com.pk/thumbnails/348229757-400x300.jpeg"
Honda Vezel 2014 reg 2017 for sale,"Rs 4,000,000","129,000 km•2014",Vezel,"honda vezel 
model 2014
import 2017
registration 2017
excellent condition
left doors and back dicki touch
used by first owner only","ABS 
 Air Bags 
 Air Conditioning 
 AM/FM Radio 
 CD Player 
 Cruise Control 
 Climate Control 
 Front Speakers 
 Front Camera 
 Immobilizer Key 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear Seat Entertainment 
 Rear AC Vents 
 Rear speakers 
 Rear Camera 
 Steering Switches 
 USB and Auxillary Cable","PIA Main Boulevard, Lahore",https://images.olx.com.pk/thumbnails/348237199-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348237200-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237201-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237202-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237203-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237204-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237205-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237206-400x300.jpeg
https://images.olx.com.pk/thumbnails/348237207-400x300.jpeg"
Civic Reborn Full Option for Serious Buyers,"Rs 2,600,000","137,000 km•2010",Civic VTi Oriel Prosmatec,"Car For Sale Civic Very Good Condition with sunroof, Contact No:(View phone number)",Air Bags,"Qasimabad, Hyderabad",https://images.olx.com.pk/thumbnails/348260964-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348260965-400x300.jpeg
https://images.olx.com.pk/thumbnails/348260966-400x300.jpeg
https://images.olx.com.pk/thumbnails/348260967-400x300.jpeg
https://images.olx.com.pk/thumbnails/348260968-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262151-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262152-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262153-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262154-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262155-400x300.jpeg
https://images.olx.com.pk/thumbnails/348262156-400x300.jpeg"
Honda City 1.3 i-VTEC,"Rs 2,800,000","177,730 km•2017",City IVTEC,"first owner, single driven, totally maintained through Honda, 80% driven on Ring Road, excellent condition, inspection report available as well. Not to be sold to vendors, only personal buyers contact.","ABS 
 Air Conditioning 
 AM/FM Radio 
 CD Player 
 Front Speakers 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear speakers 
 USB and Auxillary Cable","Bahria Town - Overseas Enclave, Lahore",https://images.olx.com.pk/thumbnails/346793668-400x300.jpeg,"https://images.olx.com.pk/thumbnails/346793669-400x300.jpeg
https://images.olx.com.pk/thumbnails/346793670-400x300.jpeg
https://images.olx.com.pk/thumbnails/346793671-400x300.jpeg
https://images.olx.com.pk/thumbnails/346793672-400x300.jpeg
https://images.olx.com.pk/thumbnails/346793673-400x300.jpeg"
Toyota Corolla Gli 2012 In Immaculate condition family used car,"Rs 2,195,000","116,000 km•2012",Corolla GLI,"Toyota Corolla Gli 
Model 2012
Android Panel installed 
Aloywheels and tyres Installed 
Hid's installed 
Fog lamps 
Engine 100%
Suspension 100%
100% Non accidental 
inner 100% Genuine 
Few touch ups from outside ( just for fresh look)
Price is final 
Original documents are available","ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 CD Player 
 Cassette Player 
 Climate Control 
 DVD Player 
 Front Speakers 
 Front Camera 
 Heated Seats 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear Seat Entertainment 
 Rear AC Vents 
 Rear speakers 
 Rear Camera 
 Sun Roof 
 Steering Switches 
 USB and Auxillary Cable","Sanda, Lahore",https://images.olx.com.pk/thumbnails/348102540-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348102539-400x300.jpeg
https://images.olx.com.pk/thumbnails/348102541-400x300.jpeg
https://images.olx.com.pk/thumbnails/348102542-400x300.jpeg
https://images.olx.com.pk/thumbnails/348102543-400x300.jpeg
https://images.olx.com.pk/thumbnails/348102545-400x300.jpeg"
Suzuki Alto VXR 2007-8 Argent Sale,"Rs 615,000","850,000 km•2007",Alto,"Suzuki Alto 2007 Ka End
Metallic Blue Colour
New Tyres
2007 ka end
Chilled A. C
CNG Installed
Own water droping engine 
Outer shower inner original
Alloy rims + Good Tyres
Leather Seats Cover
Tape + Speakers
Good Sespenstion 
Cplc Clear
Return File
No Mator Accident
Second Owner
Just Buy And Drive
Fazool Offers Wale Bhai Post Say Dur Rhy
Come With Mechanic And Denter
Visit Time After Iftar
0'34'5'28'9'81'9'2
Location Nagan Chowrangi 
Near Al Haj Akhtar Bi ama Park","Air Conditioning 
 Alloy Rims 
 Front Speakers 
 Front Camera 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Windows 
 USB and Auxillary Cable","North Karachi, Karachi",https://images.olx.com.pk/thumbnails/347917458-400x300.jpeg,"https://images.olx.com.pk/thumbnails/347917459-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917471-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917466-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917460-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917462-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917464-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917465-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917467-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917468-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917469-400x300.jpeg
https://images.olx.com.pk/thumbnails/347917470-400x300.jpeg
https://images.olx.com.pk/thumbnails/348183309-400x300.jpeg"
Mitsubishi Pajero 84 model 86 register power window power steering,"Rs 940,000","120,000 km•1984",Pajero,Clifton block 2 Marina elevation najdeek Indus valley college,"Air Conditioning 
 Alloy Rims 
 Power Locks 
 Power Steering 
 Power Windows 
 Rear Seat Entertainment 
 Rear AC Vents 
 Sun Roof","Clifton - Block 2, Karachi",https://images.olx.com.pk/thumbnails/348141284-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348141285-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141286-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141287-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141288-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141289-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141290-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141291-400x300.jpeg
https://images.olx.com.pk/thumbnails/348141292-400x300.jpeg"
honda city 2006 total  janian paint,"Rs 1,950,000","125,000 km•2006",City IDSI,aslam o alaikum honda city 2006 total original paint jo chahy jab marzi rabta kary suspension and engine 110percent ok hy gari me ek rupy ka b kaam nai hony wala just buy and drive long par 18 avarage hy with ac gari andar bahir sy bilkul saaf hy price me thori bohat kami ho skti hy maza lene waly parhaiz kren plz chilled ac !!!!,"ABS 
 Air Bags 
 Air Conditioning 
 DVD Player 
 Front Speakers 
 Heated Seats 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear speakers 
 USB and Auxillary Cable","Shadbagh, Lahore",https://images.olx.com.pk/thumbnails/348244560-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348244561-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244562-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244563-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244564-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244565-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244566-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244567-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244568-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244569-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244570-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244571-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244572-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244573-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244574-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244575-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244576-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244577-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244579-400x300.jpeg"
