Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Haris Awan,4 weeks ago (edited),"Link: https://1x-lucky.com/haris1x
Promocode: haris1x",https://yt3.ggpht.com/ytc/AGIKgqPMUCqlH9bgZz6o3LXGi18l4NPZfHgdhVSOZZawBg=s48-c-k-c0x00ffffff-no-rj,19
TOXIC DEMON,2 weeks ago,The Red Suit one is soo lively ,https://yt3.ggpht.com/ytc/AGIKgqNUY50TLy0gx2RF962bUs4BahMMpMfIMjMX3g=s48-c-k-c0x00ffffff-no-rj,1
Dilshad Ahmed,4 weeks ago,"رمـضـان الـمبـارک کی آمد آمد ہے ️
اللّٰه پاک اس برکت مہینے کے صدقے ہمارے گناہوں کو معاف فرما دیں آمین ثم آمین ",https://yt3.ggpht.com/rkH1sEg9Au13_nsNcFk_mDycqpFN5s_rrtWe3r4Upajvane3RR_0zBVGb_bIruUup8jIpr81=s48-c-k-c0x00ffffff-no-rj,13
Sania Kitchen & Vlogs,3 weeks ago,Who is the biggest lover of محمد ﷺ ,,15
Khalid Khan,3 weeks ago,رمضان المبارک کی خوشبوں دن با دن بھڑتی جارہی ہیں اللہ پاک ہم سب کو رمضان المبارک کی خوشیاں نصیب کرے آمین ,,1
Muneeb Ur Rehman,4 weeks ago,Best prankster ever,,1
Hassan Masood,4 weeks ago,Haris is back ,,1
Imraan Sheikh,3 weeks ago,HARIS BHAI KOI SOLID SA HEAVY SA PRANK LAAO YAR!! I MISS OLD DAYS,,3
Asif Awan,3 weeks ago,Love you brother ️️,,0
Crowd pp,4 weeks ago,Love from India ️,,3
IftikharAmanat,4 weeks ago,love you haris bro,,1
Fiaz Ahsan,4 weeks ago,Old haris back,,0
Ahmar rana,4 weeks ago,Big fan love ju harry bhai,https://yt3.ggpht.com/n2CDYqOD7efgCcYuZoufd1wMGwHs0en3kTnHqeZk539eOkKrTXC7NSpsdvEWvFFiVY1-Ost3hQ=s48-c-k-c0x00ffffff-no-rj,2
Azlan Khan,3 weeks ago,Nice prank ,https://yt3.ggpht.com/ytc/AGIKgqOkEiLKuI-jo7HsTtQpRWEfmd7TBqFTpby2OcU33BSZcK2Zt7B5W-HycpAaIwnV=s48-c-k-c0x00ffffff-no-rj,1
Abuzer King,4 weeks ago,Nice bro ,https://yt3.ggpht.com/ytc/AGIKgqO-P3w9WwrFCjxHWYvY0KG5JS_V5cla0LUlQ-Bu6YCEHgx0iyHHsz9FIFqOUzBv=s48-c-k-c0x00ffffff-no-rj,1
Kamii,4 weeks ago,"4:09 
That's me ",https://yt3.ggpht.com/ytc/AGIKgqPijJZc3yQ31Exm5TaYEMurIDp5mXxNk-v3UuXGtA=s48-c-k-c0x00ffffff-no-rj,5
Foodzilla RYK,4 weeks ago,haris bhai u r the best,https://yt3.ggpht.com/ytc/AGIKgqNdwbEx_7He4w-Msnzuk7fVQ-Rr3UDiIfC-Y4SsGA=s48-c-k-c0x00ffffff-no-rj,2
xl_bhati_11,2 weeks ago,5:51 ,https://yt3.ggpht.com/lNsI7dP8LOQEf3PfwBChn5KurgdrBdmqSol9U1A8IvEQocDcsY4yjuAi1gtnPydhPDvtO3337Q=s48-c-k-c0x00ffffff-no-rj,0
Tsf Ur Rehman,4 weeks ago,Tu great hai bhai ,https://yt3.ggpht.com/ytc/AGIKgqN8C9B6_-AZy_nzM8qP9up8e0RcSRM3y9dYxLSwYDg=s48-c-k-c0x00ffffff-no-rj,0
Mr SKB,4 weeks ago,Love you yr haris ,https://yt3.ggpht.com/P4wV-ZIzqALjWFFJRDBK0nrqKjgEvLjmbM9WfmMfY39JHJLFL1IP-p4GieXy9ysHtT1UviOJ=s48-c-k-c0x00ffffff-no-rj,0
Aslam Maroof,4 weeks ago,Nice thaa Bhai Jaan️🇵🇰,https://yt3.ggpht.com/ytc/AGIKgqNepUO0oX29cyxA7gOFAPlapUk5BUQaUjaJBQ=s48-c-k-c0x00ffffff-no-rj,0
Mr Tayyab,4 weeks ago,Missing the last clip detractor sab Kuch to bolo ,https://yt3.ggpht.com/ytc/AGIKgqOa36ZXCBnJP6YlfHfjW2fYyCwSon3a00tzB4ZCRA=s48-c-k-c0x00ffffff-no-rj,2
AbdulRehman Asif,4 weeks ago,Dil tooth gae hain :-p Best <3,https://yt3.ggpht.com/ytc/AGIKgqOsm2ZjVErY7pOiJ-Z0maSMcZBJstKiKu5eltVKlw=s48-c-k-c0x00ffffff-no-rj,0
Adnan Khan,3 weeks ago,,https://yt3.ggpht.com/ytc/AGIKgqOyER0_TS71ls7vAL1X7WIMDgsx8060z_utFMAqIcQ=s48-c-k-c0x00ffffff-no-rj,0
Ayesha Rehman,4 weeks ago,My bro,https://yt3.ggpht.com/ytc/AGIKgqOB19TvfJIAWjdeRUbN_8U35LsgwTBSTaLzhA=s48-c-k-c0x00ffffff-no-rj,0
Shakir Ali,3 weeks ago,LOVE YOU :),,0
Qadeer Khan,4 weeks ago,Haris bhai ap brand ho yrr level,,0
ducky,4 weeks ago,,,1
Star Awais,4 weeks ago,Prank mea apky fan hu kasam se,,0
Arslan jaNi 005,3 weeks ago,Nice yar,,0
Faizan Bhatti,3 weeks ago,"4:50 boy ko blur Kiya hua hai
Haris level prank ",,0
subhan malik official,3 weeks ago,Nida,,1
Moheed 290,4 weeks ago,Big fan Haris awan,https://yt3.ggpht.com/ytc/AGIKgqMX2y5XBgIEjRzmQ8xXTE3TrMBJnhpZQLsePSDpoU8kk89Y_NtIWAnNcN0cO1OM=s48-c-k-c0x00ffffff-no-rj,1
MR SHERI HACKER,4 weeks ago,Oh Harris awan . I was in Lahore yesterday. I was searching for you but I can't.,https://yt3.ggpht.com/rHU1bxar0qAxLiPFZMhqIBQH4QRAb-XR8KDwPHsYKgbRLiugDLW_4fXoOZE5L3YJNYiLJCWGAA=s48-c-k-c0x00ffffff-no-rj,0
Yash Khandare,4 weeks ago,Nic bruh ,https://yt3.ggpht.com/ytc/AGIKgqOtvCspLxszMU_Xl615wpfX2l621rb0CMk5g-Ek-Kuphze5RWu_nWUbBbFL0EUg=s48-c-k-c0x00ffffff-no-rj,1
Mateen_Mughal👑🙂,4 weeks ago,,https://yt3.ggpht.com/As100qp2QqQnF6x_U6G3Qb2W0V__Z77LAZv0CPhFUsWaSsfnipUPCqpwuPot2X6QhvtEjsoVQQ=s48-c-k-c0x00ffffff-no-rj,1
Pateela,4 weeks ago,Bhai bhai bhai,https://yt3.ggpht.com/JLS_bdmNbwJB6oLr7_ouvxe7rmjMWNfm3B3p0em5oSPkfi_fYznCe5fPYROOJQl4DykJTytR=s48-c-k-c0x00ffffff-no-rj,1
Chaudhary,4 weeks ago,6:19 ya tw seedhi seedhi suna de ,https://yt3.ggpht.com/bOvmPra346NojLeuWvEVLHmyWSqXZZzhwfga0CKs3eVLsKSd8gSEoOn7Q8k3KnA4r7qzBi1fkg=s48-c-k-c0x00ffffff-no-rj,4
