Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Haris Awan,4 years ago,"Video Ramadan sy pehly shoot ki thi :) So Don't judge peolpe
And do Subscribe.",https://yt3.ggpht.com/ytc/AGIKgqPMUCqlH9bgZz6o3LXGi18l4NPZfHgdhVSOZZawBg=s48-c-k-c0x00ffffff-no-rj,1.2K
VIRAJ,4 years ago,Pakistani's people are very polite luv u guys from 🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqN4vQoEwzsmixSPQfmdGq89eWLkA3XgR_fX_SoA=s48-c-k-c0x00ffffff-no-rj,449
Saif Samo,4 years ago,"Luv from Gujarat ,India 
Nd #RamadanKareem to our Pakistani brethren in faith!!",https://yt3.ggpht.com/ytc/AGIKgqOl50Q6XLTWJXIDns0fHZ0iOFbIhInCMpxKwRQQaA=s48-c-k-c0x00ffffff-no-rj,10
MakeMyDay,4 years ago (edited),Seems like Pakistani   people are humble &  polite to strangers,,155
Z k,4 years ago,Your a decent prankster all around the Pakistan no battameze no cheap topic no behayay your the only one i subscribed ,,19
Arooba Mehmood,4 years ago,The best thing about your videos is that they are REAL not SCRIPTED. And you keep the titles according to the videos. Good work!,,17
Procrastinator,2 years ago,"When he said , ""mene ese kiya bilkul Sharukh khan ke tarah , toh woh behosh ho gayi""
I literally fell unconscious laughing ",,16
Atul Dhiman,4 years ago,"Love your pranks man!! Love from India🇮🇳

Ramadan Mubarak!",,4
Mirza Bilal,4 years ago,the originality of your pranks is what makes you different..!!️,,1
Itz_Backbencher,1 year ago,"You guys are awesome 
Love from India ️",,6
Uzair Ahmed,4 years ago,"Living in a non supportive society to these things you do your work very confidently 
Carry on bro ",,1
amit singh,4 years ago,"Good job 
Love from Indian 🇮🇳🇮🇳",,107
Faisal Abu Fahad,4 years ago,"Best thing about u ,, k ap real prank kerte ho , not scripted ,, so please keep it like this,, Love from Russia :p",,84
Arifin Rah,1 year ago,"Brother , Your voice is so lovely 
Take love from Bangladesh 🇧🇩🇵🇰",https://yt3.ggpht.com/NR3jGQQe9NHFThQrHCfSVeZCduRq1Mj3eay41q2spi1t-AI0RmqfqaTEKpnDxVwHe7Kox7Gk=s48-c-k-c0x00ffffff-no-rj,5
Tooba Rao,4 years ago (edited),Love from PAK..love ur pranks...bcz it is not scripted.. stay blessed..,https://yt3.ggpht.com/ytc/AGIKgqNaK9F2OKoezBGXvweWbUTgGHJxgB8y3XSUvhdT=s48-c-k-c0x00ffffff-no-rj,1
Kongari Suresh,4 years ago,Bhai ur best fancker good carry on,https://yt3.ggpht.com/ytc/AGIKgqNq31xqxE_sdgcsr8KvGjiiBBuphl9jz-w17w=s48-c-k-c0x00ffffff-no-rj,10
Champak Roy Vlogs,4 years ago,"Aaray yaara tune dil jit liya...vai it was so so funny, I really enjoyed the whole prank video with such superb funny questions.
 -From India ",https://yt3.ggpht.com/rjUi40W3rUnIb8Wyw_8-ViKvFAiQOQc-x2A-1znFjtgk1zS2j5vN5p4B5W2kGpAbVPt0p768jtk=s48-c-k-c0x00ffffff-no-rj,2
DMD The Motivator,2 years ago (edited),3:06 epic one ,https://yt3.ggpht.com/i_kC2L3K_qshKMST-Cn0gKI81cD5Fz-WiA9ZObzJ598knNfu2Fi7Na_zDctjmmqZpxzTKbU6=s48-c-k-c0x00ffffff-no-rj,8
Tehseen Sayyed,4 years ago,maine pehla youtuber dekha pakistan ka jo acha natural prank bana raha bina over acting k love from india 🇮🇳,https://yt3.ggpht.com/dj6RrGkzgFaV9WZ5EN6oa92qd_rDeQ-NMIbI_Jx3kWo8_UsZAWn8T2B-NHJF78890HTLbgVik_A=s48-c-k-c0x00ffffff-no-rj,25
Shahroz A,4 years ago,"Died laughing. Loved this. 
Add some dance routine in your pranks. That'll be fun to watch",https://yt3.ggpht.com/nVUh9YZgeeOb283EFALjNLvq0OnhT1k_D-5pj-CI9UiCfPzs4IuvGiIWfkby40RlQ1oI3CzA=s48-c-k-c0x00ffffff-no-rj,37
AJ Strange,4 years ago,"Awesome 
Love from Bangladesh 🇧🇩",https://yt3.ggpht.com/ytc/AGIKgqNmoCmVpbBZpnKmqtgLpI1Z_ZNr7K7cMBadtRm_og=s48-c-k-c0x00ffffff-no-rj,21
Pavneet Singh,4 years ago,"That hour-long Jaw-drop by that girl, Hilarious :D",https://yt3.ggpht.com/ytc/AGIKgqMh9df6S-naOU0zQO5JtCr-3lN193AXmsvMZiT-=s48-c-k-c0x00ffffff-no-rj,26
Aoun Awan,4 years ago,em really glad that Pakistani youngsters are also emerging on youtube keeps on working yr inshAllah one day will be ourz,https://yt3.ggpht.com/ytc/AGIKgqODNW6zZckAmKZSb_YDxXbKxYOpocrO85coivSedOE=s48-c-k-c0x00ffffff-no-rj,3
AnonymouSfan,3 years ago,Acting like your not confident is the highest level of confidence,https://yt3.ggpht.com/ytc/AGIKgqPL1HdiyFTm86CxK9VKnGk3aXwj31oWViOJyp4_Sc1-zEgv-NZRUNA48LOtndZK=s48-c-k-c0x00ffffff-no-rj,3
malik arfan,4 years ago,One day Haris Awan Pakistani No 1 Prankstar Carry On.,https://yt3.ggpht.com/ytc/AGIKgqPuRLNsNj2qwpvSHXhjeIomVLCGsLw4uq97dNUqLw=s48-c-k-c0x00ffffff-no-rj,106
GDS FILMS,4 years ago,Brother the length of your upcoming videos should be of at least at least 7 minutes...,,33
harsh thakur,4 years ago,"Love from India, dude you are funny ",,0
Qasim Chaudhary,3 years ago,"Different pranks in one video have made it interesting. If there is one prank in one video, it will often bore the viewers. You have done a great job man in this video as shuffling between the pranks aroused curiosity..",,8
Barun Yousuf M Yousuf,4 years ago,"Iam from Karachi bro. 
But to be honest Iam really a big fan of your face expressions .
Keep it up you are doing it soo nicely.",,1
sahil philosophy,2 years ago,Love and support to you from🇮🇳🇮🇳🇮🇳,,2
sandeep singh,4 years ago,Asallawallkum 2 All Pakistani brothers & Sisters ....I love you all ...good video ..we all are same guys ...keep Rocking love you from India .. Sandeep Singh,,181
Bengali Jisan,4 years ago,Much Love from 🇧🇩Bangladesh ,,26
Hamza Zafar,4 years ago,one of the finest and markable prank i have ever seen ..... keep it up boy ,,1
Wafah Khan,4 years ago,Am glad i found out about your page on tik tok .am laughing like hell ,https://yt3.ggpht.com/ytc/AGIKgqPJPp3gsL2qWFRXyjv3DZdNPMbXq6UXboUMV2vp=s48-c-k-c0x00ffffff-no-rj,11
Lovely Sweetie,4 years ago,"Haris Awan
You deserve more and more and more and more subscribes.",https://yt3.ggpht.com/ytc/AGIKgqOrOuyyGzXkTkQiRR9QIOK509XimcV1b2BK3g=s48-c-k-c0x00ffffff-no-rj,28
Uzair Aftab,1 year ago,3:06 hilarious ,https://yt3.ggpht.com/ytc/AGIKgqMoS6FxPGVqycYWFmW9P-dN7nr6SVnVWpqtGrSXMA=s48-c-k-c0x00ffffff-no-rj,3
Varsh Aadwani,4 years ago,"Bhai it's really awesome video
Love from INDIA
Please make another part of mall prank.",https://yt3.ggpht.com/zFU9KZpf-O1M5lnFflkgGDjcvxZ3ikEp942bl1t2hiHivQCoadEdh7sf-K2BoVLHi72I2Ybr6t8=s48-c-k-c0x00ffffff-no-rj,37
Malaika Mehboob,4 years ago,This is hilarious ,https://yt3.ggpht.com/ytc/AGIKgqNGcy1PNGFYlD6QzqehI7K7nRK8Z5XuJJg7dZCulg=s48-c-k-c0x00ffffff-no-rj,1
haseeb ali,4 years ago,Great awesome bhai love you content...People are making fake pranks now a days but you of all the people are doing it real..You pranks are legit ,https://yt3.ggpht.com/ytc/AGIKgqPgOeszDhWnvmfh2DBeUenjHiRyjWRgrTQIhRoe-g=s48-c-k-c0x00ffffff-no-rj,0
Blacky xD,2 years ago,3:05 Best one,https://yt3.ggpht.com/BbaCMGQEZb1fkERNBACDGt2g4G7GWNaKS-UD6pE58JthDWXNBdOCtdSR7SNSYirTw6W6mbI5KQ=s48-c-k-c0x00ffffff-no-rj,4
Eshu khan,4 years ago,You laughed me today.,https://yt3.ggpht.com/ytc/AGIKgqNkGNQ0-7z-YR3Tgqpduwyg-L2Mn3iXvtvR_rbk8w=s48-c-k-c0x00ffffff-no-rj,1
Arika Kashif,2 years ago,Original reactions ,https://yt3.ggpht.com/ytc/AGIKgqPx9lRmvw2T0bR8omzixujZVBPzR3xkm9NdswTFlw=s48-c-k-c0x00ffffff-no-rj,2
FF Gaming,4 years ago,Brother I am from India and I see all your videos I love it very much,https://yt3.ggpht.com/ytc/AGIKgqNpXFbyzvHkiAhwWnDMy9riYV9hi24Exgj7ktnC=s48-c-k-c0x00ffffff-no-rj,171
Dibyendu Mukherjee,4 years ago,"It's good this prank,,,, dint expect this kind of normalcy and openness.. Nice video and expecting loads.",https://yt3.ggpht.com/ytc/AGIKgqMpLpBSC5HK4q6t3D110ArMTUjzrYfzfidfoopt=s48-c-k-c0x00ffffff-no-rj,0
CarFormative,4 years ago,"The only man who has his own and unique ideas . Go ahead man #Good luck 
#Hk",https://yt3.ggpht.com/wUF0Hux7rjDoN3BIDIqt918QxFSFiuF7C2OnzkFxB6pz8_dXR2Ct6zkFeWCdW7LcRTO_1pqssI0=s48-c-k-c0x00ffffff-no-rj,7
The Rebels,3 years ago,"do pranks like ""that was epic"", ""the daily dropout"" and ""angry picnic""... they will be more enjoying
love ya !",,2
Shanzarr,4 years ago,Your pranks are THE most original in Pakistan . All the support and love. .,,0
Being Noman,3 years ago,Harris bhai hats off to your confidence....  I have been watching your videos for last one year and I haven't subscribed your channel yet.. But too good bro....   Do mint hain.. I couldn't stop laughing  ,,0
Khawla,4 years ago (edited),You made my day (love from Dubai),,17
Adnan Adii,4 years ago,wht a confidence level to face the girls️i would like to say that “baO ramii hn raja ji”️ keep it up️,,1
waleed ghayas,4 years ago,"Haris you are awesome man, your confidence is killa dude
love from Rawalpindi <3
peace",,1
Ratan Singh Birat,2 years ago,लोग कितने प्यार से पेश आते हैं Love from Indian ,,5
Murtaza Saleem,4 years ago,"Great Work Brother !
May You Prosper A Lot",https://yt3.ggpht.com/ytc/AGIKgqNduwgPNIdvg1ZqC0XiyIcmQL3jFHjfIUBJcvDtEg=s48-c-k-c0x00ffffff-no-rj,0
Rahul Yadav,3 years ago,love from india🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳....bhai osm looks ....baloo m kya lgte ho ,https://yt3.ggpht.com/ytc/AGIKgqMViemUsU9HzR63ZNYnepuaRd4urv3JKA_fqYnt=s48-c-k-c0x00ffffff-no-rj,156
