Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
ALAUDDIN KHILJI,1 month ago,This is the actual content we all want ,https://yt3.ggpht.com/ytc/AGIKgqN2VD_3gkAOb2s4Bi4h_pF81XYUrpcnCicTzLJFkA=s48-c-k-c0x00ffffff-no-rj,28
Shahzad Shahzad,1 month ago,"Actual content we want 
Spreading good content ️",https://yt3.ggpht.com/8iqyCw0cYKjNXASGWBuhz5WZ_OqgFtlhXdrZ4JgTr2gfV9VQKd8zeS0I-njBkWOsa-KU6CxE0A=s48-c-k-c0x00ffffff-no-rj,3
Menahil Fatima5,1 month ago,This is insane. I love your helping videos. So inspiring. May Allah bless you with everything you want. Ameen,https://yt3.ggpht.com/ytc/AGIKgqNKFeCkyBQtSYdI7Hd84SFd8Y2ec6nH-cXqEw=s48-c-k-c0x00ffffff-no-rj,2
Asad Ullah,1 month ago,"Once again , He's back with some quality content.......",,6
Pareesa Emraan,4 weeks ago,"The second man look so innocent. How he puts money in her pocket it was speechless. 
",,0
Faizan Bhatti,1 month ago,"MashaAllah ️ brother
Appreciate you for this kind act 
Love you ️ haris bro",,0
malak zAin,1 month ago,You deserve 4 5m subscribers. You will get it soon inshallah ,,5
Itx Hero  ❣️,1 month ago,"That's the reason 
Biggest fan of Sir Haris ",,5
ZainAsghar,1 month ago,"The best youtuber! Stay kind brother, god bless you! ",,2
Phenomenal Gaming,1 month ago,Doing great work man,,1
Huzaifah Shaikh,1 month ago,Haris bhai love u yaar…we want 1000 more parts of this video ..May Allah Bless u Aameen.,,1
Khan Muhammad,1 month ago,As a YouTuber you must give more than 5k to a single person ,,3
Shani Sandhu,1 month ago,Haris In sha Allah You'll  be  in Jannah️,https://yt3.ggpht.com/ytc/AGIKgqMxQfQ3kND7DIr-FE8jQznTx12hmJevdhqCuK7IoqI=s48-c-k-c0x00ffffff-no-rj,2
Mushtaq Ahmad,2 weeks ago,MAY ALLAH BLESS YOU AND YOUR FAMILY AAMEEN ALLAHUMMA AAMEEN ,https://yt3.ggpht.com/ytc/AGIKgqNjr6C7GOPhOBpEV-hvwqH0C-14eq1B-RMvpA=s48-c-k-c0x00ffffff-no-rj,1
Hanan Rajpoot,1 month ago,The reaction of 2nd uncle was ️,https://yt3.ggpht.com/S5Fqc8Mf8JqIonUcs1bvDJMTGGlhTuDEOOs1Z8cquNxZiCKy3WYbWLry4b1N0AYPWdG2JXx_=s48-c-k-c0x00ffffff-no-rj,1
Amber Afreen,1 month ago,Assalam o alaikum...bro you are awesome...Allah Pak always bless you alots of happiness and lots of money.,https://yt3.ggpht.com/ytc/AGIKgqN4hZ61kfTuUcm2j9vawUhHEDIaRdoX7rdh0A=s48-c-k-c0x00ffffff-no-rj,0
Ali Sher Vlogs,1 month ago,Next level bro ,https://yt3.ggpht.com/RQxRJFTIOLBLuTaEt69Z7gnEnJ0g81DAli8J481CtNGJUy9YRd5Du0XvVfNbY4yCigY-mxQL3w=s48-c-k-c0x00ffffff-no-rj,2
Zeeshan Abbasi,1 month ago,Appreciated ,https://yt3.ggpht.com/faG6R__jRXHdyjQ-pXsTK0w0x0q6MrNDS0ZnpIrGjsChOdEWclXgCkPLMxO76fXlXXUWVcaq0Q=s48-c-k-c0x00ffffff-no-rj,4
Hanzalah Hanzalah,4 weeks ago,Nice video of all an act of humanity️,https://yt3.ggpht.com/ytc/AGIKgqN1ZezhSmwBy7eqnpVlOfXR-80rOv5UWQtJ5w=s48-c-k-c0x00ffffff-no-rj,1
Filiz4672,1 month ago,"He take ""naiky kar darya ma dal"" to another level️",https://yt3.ggpht.com/ytc/AGIKgqPzjXFdJNf7MSkSlcXAYdy6pqo-6fAJCMxUVhjRdg=s48-c-k-c0x00ffffff-no-rj,0
Faizan Yaseen,1 month ago,Great job Haris bro ️️,https://yt3.ggpht.com/uGDDOwj_kYjtcI3-bks6d_KG9IYgSdy_H2dwHYuOax1bd9yxLxK6LqKoVVPbokQVcW8OgDBMS24=s48-c-k-c0x00ffffff-no-rj,0
M Awais,1 month ago,Well done  Harri ,https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj,0
Rawalpindi Biker Vlogs,2 weeks ago,Million of views and earn more and spread more good content ,https://yt3.ggpht.com/mtfwGqesUS-qVZh5sDGkA9l5WYnHDni6rUOVZ6O-z37Z6X7M3b_Ztt396LlASXTE1Yes9TcSyQ=s48-c-k-c0x00ffffff-no-rj,0
