Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Hemanth Kumar,2 years ago,Respect to all those Pakistanis who respected him,https://yt3.ggpht.com/ytc/AGIKgqM1paLmckDRB1N6zbOJRr27s39hH8bvCSAxsWDNcA=s48-c-k-c0x00ffffff-no-rj,1.5K
priyanka_shobana,2 years ago,"It's not about nationality.....
It's about humanity....Respect everyone️",https://yt3.ggpht.com/Kz939LY0IgG_DYSULcpJOmN1UVL-fI613DJzFEu9IJY-CUcQJH5AkEtho6UNFBvqUiqi3PMk1g=s48-c-k-c0x00ffffff-no-rj,602
☄️FroZen☄️,3 years ago,I already know this.. not all people are bad ️️,https://yt3.ggpht.com/RKDxfxa2KQgA0iXATtDx69KI_JmgmKwWGUZZ85bmhn5hGwF2g_m4Ko9ZKfC7jnAIFcghq4TYXg=s48-c-k-c0x00ffffff-no-rj,1K
Sumitra jaiswal,2 years ago,"Salute to these kind of people from pakistan who are trying to make everything fine between india and pak rather spreading hate . 
LOVE 🇵🇰🇮🇳",,126
Akash Donthu,3 years ago (edited),After watching this video I got lot of respect to Pakistan,,1.3K
Ayesha Mohapatra,2 years ago,I am from India....people of Pakistan have a beautiful heart...it's never about boundaries....99% people of both countries love each other...respect for Pakistan,,10
Ashmit Tyagi,3 years ago,I'm from India and you really changed my perception about Pakistan.,,1.1K
Megha Gupta,2 years ago,Humanity is first ... Everyone's blood is same  love from india ,,541
Chandana Shankar,2 years ago,"Where there is a fight there will be love.....🇮🇳🇵🇰
lots of love from INDIA...",,48
samaira jain j37F,2 years ago,I'm from India.. Anyone from india??? mein samajhti thi ke Pakistani's hamiri help nhi Karenge.. But there hearts are sooo cool  and big...,,852
Rajat Rawat,2 years ago,"This vedio changes my mentality for the Pakistanis people. 
Love From India ",,576
Grace Tsang,2 years ago (edited),Lots of love and respect to our brother Pakisthan from lndia🇮🇳🇵🇰,,329
Najeeullah Shaikh,3 years ago,"The war is between the politicians, not the people.",,4.8K
j k,2 years ago,This Changed my thoughts about pak people.. Love from India ,,396
Rumy Khan,3 years ago,this video makes me so emotional ..the people who r helping him r so so humble ...allah bless them.....i m from india..,https://yt3.ggpht.com/ytc/AGIKgqO3755OyoryxMCjvZFWhZTGDMG1dqATtUfGxg0=s48-c-k-c0x00ffffff-no-rj,706
Arun News channel,2 years ago,"I am from India  
I respect Pakistan people
Love from India ️",https://yt3.ggpht.com/ytc/AGIKgqNXC2t-TO5IHaNos3afRCKBWdg9B3-1LbZtnA=s48-c-k-c0x00ffffff-no-rj,62
Allin Martin,2 years ago,Because of these kind of persons humanity is still alive. Love and respect from India to Pakistan 🇮🇳🇵🇰,https://yt3.ggpht.com/hQEUQqV0H8bpv02Y7R_ZZyg3peLH_pXWPKfLmKhjYqu9UqNRFxP1xh1fNhx_G96uecAbFZPaKw=s48-c-k-c0x00ffffff-no-rj,16
Sidhant Nath,2 years ago,"We hate each other because of the ""Government""
But actually we are all United️",https://yt3.ggpht.com/ytc/AGIKgqNDXKwwQiEwCPu4Wy3xyMOhpqKtV9AUBxmeepdI=s48-c-k-c0x00ffffff-no-rj,50
MOUNTAIN TREKKER,4 years ago,"""Lets give love a chance"" :)
- with love from India",https://yt3.ggpht.com/ytc/AGIKgqPGsFBSVm3erLfz2XmmK7XnVk8j98nrgSFgwJB8nQ=s48-c-k-c0x00ffffff-no-rj,58
Jafna Jamal,2 years ago,I love the Pakistani people who respected him.lots of love from India ,https://yt3.ggpht.com/ytc/AGIKgqM8zzcRT3mFROaq3M8_-NNyikdMTy081mcYow=s48-c-k-c0x00ffffff-no-rj,57
02 SHAIK NAGURVALI,3 years ago,It's not about region or religion but it's about human personalities and kindnesses,https://yt3.ggpht.com/ytc/AGIKgqP1pOh-VUzBX0UV8XusJEtLqe9N_vK6pWq9sGt7uA=s48-c-k-c0x00ffffff-no-rj,279
ShortieKing,2 years ago,"I knew it! I am an Indian, and i knew Pakistani people are really humble, i love pakistan and pakistani people",https://yt3.ggpht.com/g4qpOUYZxKYzrh1OfUGtfUrtf9Obdl-qlHbnlMXwSXCIym8qSg5FxZrTFXarIGoLUl6jE4ayPg=s48-c-k-c0x00ffffff-no-rj,15
Akhila Ramachandram,2 years ago,Lots of respect to Pakistan from india️️,https://yt3.ggpht.com/I-OBgEgca3OWQVbtW7LgSBHa7PKxnMfUIiUo_bDW16uNAB1gMtWRoZvF_LbIFNZ32V7j3C8_uw=s48-c-k-c0x00ffffff-no-rj,90
