Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Muhammad Moaaz,3 years ago,Two min silence for those wo think the girl is random..,https://yt3.ggpht.com/ytc/AGIKgqNKH1TZnShPM4svunMp2rcN7Zcf-OdLgpY4y8Lr5w=s48-c-k-c0x00ffffff-no-rj,2.8K
Health & Wellbeing,3 years ago,The best thing about this man he covers every difficult situation with his smile.,https://yt3.ggpht.com/YxjM-Xh6RCgGRiA6VjfdPHah8fTBiC6wQx2AaeetelwOWyrTgYg02qjox3HpQ6rvzVpljEjSCQ=s48-c-k-c0x00ffffff-no-rj,47
Hashir Mughal,3 years ago,"Haris bhai you made her day 
She continuously smiling on every moment and her smile is ",https://yt3.ggpht.com/ytc/AGIKgqMIKw67BBVfixzEFU3v6hnhWBaigFdF16Plq__DaQ=s48-c-k-c0x00ffffff-no-rj,48
ismael._x,2 years ago,"Whole Life Silence For Them Who Think This Is real 
Btw Haris Love you so much brooo, so talented prankster ️",,148
Umer Nazir vlogs,3 years ago,"3. You’ll be happier. 

The main reason why value my self-esteem so highly, why I write about this topic so often and have created a whole 12-week course around it is simply because it has made my own life so much happier and more fun.

But instead of sharing my own thoughts and experiences like I usually do I’d like to take a different approach today.

I'd like to share 101 of the most inspiring, thought provoking and uplifting thoughts from the past 2400 years on getting to know yourself, raising your self-esteem and finding a self-love.
“You yourself, as much as anybody in the entire universe, deserve your love and affection.”
 – Buddha

“Until you value yourself, you won't value your time. Until you value your time, you will not do anything with it. ”
– M. Scott Peck

“A man cannot be comfortable without his own approval.”
– Mark Twain

“Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life, but define yourself.”
– Harvey Fierstein

“Love yourself first and everything else falls into line. You really have to love yourself to get anything done in this world.”
– Lucille Ball",,17
sharyar16yt,2 years ago,I need the confidence like haris ,,27
Playtime,3 years ago (edited),3min silence for those who think its not scripted ,,105
Bengali Jisan,3 years ago,"You're too funny brother.
Much Love from 🇧🇩 Sylhet, Bangladesh. ",,34
Mustafa Memon,3 years ago (edited),So talented really..loved the way he answered on point..any girl would have melted here,,12
Shaheer Altaf,2 years ago,"Scripted or not, doesn't matter. It's really funny",,189
Tanzim Rahim,3 years ago,"It was great, even if it was scripted they acted great, if it wasnt, MashAllah one talented guy!
Love from Bangladesh dude! 🇧🇩 Loved your work.",,39
Malik Mudassir,2 years ago,I really love this guy he's so caring love you haris ️keep it up,,78
basit feroz,3 years ago,Although it's fake but enjoyed it and 1 min silence for those who searched her Instagram and followed her,,479
magic house,3 years ago,69 minutes of silence for those who thinks it's not scripted,,175
Abdullah Khalid,3 years ago,We want part 2..it was so hilarious..,https://yt3.ggpht.com/ytc/AGIKgqNHmKgEmecE7N0dAzJGFBODhno3XEMX_XDv5chOlg=s48-c-k-c0x00ffffff-no-rj,5
Waleed Mushtaq,2 years ago,She is wearing T-shirt and He is wearing Jacket ..  ,https://yt3.ggpht.com/ytc/AGIKgqNM2MTinJrLLe0O16voQ8f6t7XjbnjshpL8iMCc=s48-c-k-c0x00ffffff-no-rj,130
Uffn,3 years ago,The way she blushed was really cute and adorable,https://yt3.ggpht.com/ytc/AGIKgqM9722cWEe6ivykKgBeNsDh9veNJoJzYFmLHQ=s48-c-k-c0x00ffffff-no-rj,83
Hitin Gurjar Vlogs,2 years ago,"
Love from india bhai 🇮🇳🇵🇰",https://yt3.ggpht.com/lI0R9Zyqp4elQT0gFmOmF1_GGsSQFv1skKexBsOaF1rxcynScjtfzB7RQfnKtp6_zvpwxan68nM=s48-c-k-c0x00ffffff-no-rj,3
Samaha Badi Uz Zaman Khan,3 years ago,This looks fake though... But... It was funny and cute.. ️,https://yt3.ggpht.com/ytc/AGIKgqPdZbdBbUqFOOY21cs9c85Pu0qJMM8ghPsJ5vQckKs=s48-c-k-c0x00ffffff-no-rj,95
Danish Ali,3 years ago,"totally insane
love ur talent and confidence",https://yt3.ggpht.com/ytc/AGIKgqNz5cSxl0NIkReQA1leO0MMKfQWAZUvuQAlRVTQebc=s48-c-k-c0x00ffffff-no-rj,2
Ajlal Zaidi,3 years ago,Sir you are the only one who always make me laugh.,https://yt3.ggpht.com/ytc/AGIKgqOsOzxb7y5qZ3seWUoibQPR6jylPxEeKw465jTcQw=s48-c-k-c0x00ffffff-no-rj,0
HIMANSHU KUMAR,2 years ago,"love you bro from India, i could not believe that Pakistani people are also civilized and use western cloths and use English words too but i now i believe",https://yt3.ggpht.com/ytc/AGIKgqO1JluXnTzZR204IVZzixsjU75Hk7TG0mbIug=s48-c-k-c0x00ffffff-no-rj,0
Asad Aslam,3 years ago,I don't watch yet Complete But Vibes are Great it's going to be Best Video of the Month ,https://yt3.ggpht.com/ytc/AGIKgqNCP2dpv5-tLSFKftdU4t_nLNCxxLxIo_rDJfIKNg=s48-c-k-c0x00ffffff-no-rj,5
NAVEED SHAIK,2 years ago,I m from India I like your prank videos & I enjoyed lot ️️️️,https://yt3.ggpht.com/ytc/AGIKgqMm6UKbqgYhFWTyqVqzCXcR8kQjbLKkRCzRzwOcPw=s48-c-k-c0x00ffffff-no-rj,3
Aftab Khan,3 years ago,"Brother Haris, lots of love from India. Tussi chaa gaye paa ji  ;)",https://yt3.ggpht.com/ytc/AGIKgqPpwIc15N2vbcSBD7vqkILvTUhYXpkW4JFgJw=s48-c-k-c0x00ffffff-no-rj,52
Moeen Chishti,3 years ago,i know that this is pre planned but hat's off for haris kya Cheez ho bhai  ,,0
Mahad Saleem,3 years ago,"Idk if it’s scripted or not but awla bht maza aya 1000 times better than pranks 
Cannot wait for Part 2",,1
Nasir Kamal,2 years ago,"Amazing sense of humor 
And beautiful glasses",,10
TazaSlyce,3 years ago,If this is real then major respect to this dude,,0
Zain Nadeem,2 years ago,Haris never tell  its a prank,,0
D E V I L,3 years ago,Whole life scilence for those who think this is real ,,31
Anas Prince,3 years ago,U tests multiple tastes.love u bro.ur confidence ,,1
Sohaib Iqbal,3 years ago,"Decency was at highest level, the best Haris awan channel.. Thanks",,1
Cooking for Happiness,2 years ago,"""Jab mai pakauga, to kuch Acha chal hi banega""
Excellent dialog. 
Nice video and ek instance ubar date. 
Love from India",https://yt3.ggpht.com/dZUDUTSZxc1NNZs8umk2MY1q59mnoM6I9Z6Rg7Za7tI9TnfZaFOQwxsLkZj2nqY0wai4ZvDxSyk=s48-c-k-c0x00ffffff-no-rj,2
Tayyab Wahand,3 years ago,"Yes I know it's fake, but enjoyed watching till the last second <3 Haris bhai",https://yt3.ggpht.com/fthUT41Bsmkq8a6-gKQdM4OWGgchK5jthl8IqjrN0OyvjTtYAB7uACon-UiginEKTZgF8mtgSKs=s48-c-k-c0x00ffffff-no-rj,5
MarketingTrends,4 months ago,"The Father Of Flirting ""Haris Awan""",https://yt3.ggpht.com/rNDvatEezd7fysKVa1Lu7taMCQy8a7TcRVPsn7_Ct_Z1I3xtW4xbwcDXJ39XkIhRn3QR7PuDkA=s48-c-k-c0x00ffffff-no-rj,0
Saeed Anwar,3 years ago,Rip for those who are searching her account on insta..,https://yt3.ggpht.com/ytc/AGIKgqOv2E8nkam2xvx4VyePwDLi7DMV1bMQRK86jwuFwg=s48-c-k-c0x00ffffff-no-rj,453
