Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
ABDULLAH is HERE,2 years ago,10 years silence for those who think that this prank is real,https://yt3.ggpht.com/ytc/AGIKgqNRrt5TRIHO36pJFnKowOgkPwP61mxX5OjdXT4E1Q=s48-c-k-c0x00ffffff-no-rj,1.1K
Ahmad Ashiq,2 years ago,Don't know where so much confidence comes from. ,https://yt3.ggpht.com/ytc/AGIKgqM1gDqC9DiekqyTC5YMQ4STJAaRgun-St4wdRvi7w=s48-c-k-c0x00ffffff-no-rj,160
Asad ullah,2 years ago,"That is some great content, hope you keep it this way your pranks, civil and polite, 
to people I don't care if it is staged it is still great job done",https://yt3.ggpht.com/ytc/AGIKgqMVVGIqWJU8HIwhzrf7oaLdkkrDp0rEQnZYCbKGtQ=s48-c-k-c0x00ffffff-no-rj,17
Ehsan Qureshi,2 years ago,"Point to be noted.
When you are driving Uber you always have customer's contact no.",,154
Husham Melik,2 years ago,"It was one of the best videos in uber i've ever seen. And her expressions 
Haris you played it well ",,27
Sami Alam,2 years ago,This trip is definitely from Dhaka to Islamabad. Based on true story ,,244
Muhammad Yaseen Mughal,2 years ago,Journey from real pranks to planted ones ,,188
Muhammad Talha,2 years ago,"Laughed so much when he asked ""Aur ghar mei sb teekh"" ",,36
MM,2 years ago,She's so bold at hiding that smile  cutie,,157
Alexandre Lezan Fernandes,2 years ago,"From Brazil, i love Pakistan🇧🇷🇵🇰",,7
Hassan Ali,2 years ago,Thanks to shahmeer for exposing the reality of this video. Its actually a prank on the viewers.,,37
Moody Music,2 years ago,"People watching this like:
- in bed
- not in a full screen
- reading comments",,235
Muhammad Wasee,2 years ago,1 minute  silence for those who are thinking it's a real prank ,,146
Hassaan Sohail,2 years ago,3:25 Haris is trying to stop his laugh,https://yt3.ggpht.com/ytc/AGIKgqMlUlpXFZYqgfY5grbNgNwsSuL6QNYiHTAGISnWQw=s48-c-k-c0x00ffffff-no-rj,18
zain 786,2 years ago,Whenever i get tired from my life tensions ..his videos make me laugh and i forget about my life pain for some time ,https://yt3.ggpht.com/ytc/AGIKgqPj42lzj7pFmK8OlDo_8a73n5qRyyHuS7HT4Inx=s48-c-k-c0x00ffffff-no-rj,48
Minal Jamal,11 months ago,100 years silence for those who are thinking it's real ...,https://yt3.ggpht.com/ytc/AGIKgqOpGdcoy0qLyZFK9GFWZmSxLDL-OLqj77Sntw=s48-c-k-c0x00ffffff-no-rj,3
Sikandar Iqbal,2 years ago,The way u made her sit on front seat was owsome ,https://yt3.ggpht.com/ytc/AGIKgqOZnMU0Vbn3E_k_E6Yjf_mfDvQEuxVlmSodUg=s48-c-k-c0x00ffffff-no-rj,120
QRQlogs,2 years ago,Shout Out: Follow Traffic rules and wear seat belt while driving! This guy needs to follow driving rules at least.,https://yt3.ggpht.com/ytc/AGIKgqMuViIpQuNwCPw_8HUXQGb6AMe6kiD8uOsiCd3Cuw=s48-c-k-c0x00ffffff-no-rj,10
Rameez ray,2 years ago,10 min silence for those who think that this prank is real ,https://yt3.ggpht.com/ytc/AGIKgqMtApXviPN9bTkH43cIRZCGjamcsyDLH_cFOh77Qg=s48-c-k-c0x00ffffff-no-rj,35
Mohammad Bilal,2 years ago,Finally something worth watching ️ amazing video really enjoyed,https://yt3.ggpht.com/ytc/AGIKgqOa-ea3WL6vtv3rJ-pbjnGT-XxJpwH35brFCzCw=s48-c-k-c0x00ffffff-no-rj,7
moiztr,2 years ago,This whole video is example of me trying not to be boring in family gatherings,https://yt3.ggpht.com/aKZua9lcJ2MWlY5Pj55_4f957iWSI7B6rsLbbNHo3CLvOlVTO8_JI5vBeRi5DR8BaHviyu7sPg=s48-c-k-c0x00ffffff-no-rj,0
Shabber Hussain,2 years ago,We are proud to be pakistani bc alots of tallented people here like You Haris,https://yt3.ggpht.com/ytc/AGIKgqPmGmJ-C8TBohpM7roO-5VBLnC650M-cB1SdQ=s48-c-k-c0x00ffffff-no-rj,5
Jarrar Abbas,2 years ago,I just waited the whole video to see her reaction when he'll say it's a prank,https://yt3.ggpht.com/ytc/AGIKgqM1bv2ThTvM8CzqEnbasX3xk2O6PIvYintVxw=s48-c-k-c0x00ffffff-no-rj,14
Tyba Idrees,2 years ago,I love her expressions.,https://yt3.ggpht.com/ytc/AGIKgqNNozSp4XQogFLaYjNgJ1fI97tznhjOQ6Zofw=s48-c-k-c0x00ffffff-no-rj,29
Adan Rehman,2 years ago,The only prankster i love in Pakistan ️️,https://yt3.ggpht.com/ytc/AGIKgqMx6sZfz4caohL3D3I0AMdD8ktZPs4XQiSd47ltPA=s48-c-k-c0x00ffffff-no-rj,71
Zoro,2 years ago,I'm not sure if this is staged or not but  it's hilarious af...,,3
Fatima Baig,2 years ago,Confidence level,,33
M_R KiNG,8 months ago,Confidence level amazing video bruh ️,,0
imran adver,2 years ago,haris every time impressing a girl: buy 1 get 1 ki deal lagi hui thi,,66
Arpit Khan,2 years ago (edited),"Very cute girl 
Love From India ",,5
