Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Naveed,8 days ago,The king of confidence The one and only Our Haris awan lov u bro️,https://yt3.ggpht.com/jG92SirnMOkwGRrcGryIecG88l0Gq4TeKtkWV62ByqqYi7eC7IoBisp_l1SogGRvZG0-eufnuGM=s48-c-k-c0x00ffffff-no-rj,25
ALAUDDIN KHILJI,6 days ago,Yr Haris Bhai  outstanding performance ,https://yt3.ggpht.com/ytc/AGIKgqN2VD_3gkAOb2s4Bi4h_pF81XYUrpcnCicTzLJFkA=s48-c-k-c0x00ffffff-no-rj,1
Moon,8 days ago,RAMZAN MUBARAK TO ALL FRIENDS ,https://yt3.ggpht.com/vY_1vehApZGYHGOUPWJs3nhqE8Poit3mzLlZrOBrMQmWkKd375FmYgUXFyoQCna3IobXwYL-Ng=s48-c-k-c0x00ffffff-no-rj,11
Fiaz Ahsan,8 days ago,Old Haris is back,https://yt3.ggpht.com/ytc/AGIKgqMwblzdDuyMWpjRDOEIJ6ToPk4hRwf5Dv0ztEseaA=s48-c-k-c0x00ffffff-no-rj,10
Arman Ali,7 days ago,Lahori people are so cute ️,,5
Dill e Jaan,3 days ago,Action mar leti  this one smile oxm ,,1
Fareed sajjad,6 days ago,"keep it up bro
I'm taking admission in BNU after watching this",,1
Shahroz Baloch,8 days ago,Beautiful  ,,5
Honey Bhai Vlogs,8 days ago,Haris tu bara wo hai jo har larki ko pata leta hai,,14
Dullah tech,7 days ago,You are the great haris bhai and you are the only boss of prank  star ,,1
Raja Usman,8 days ago,FANTASTIC HARIS BROO,,1
shah yasir,8 days ago,Legend,,2
Hussain RaNa,8 days ago,Heavy yr Haris Love you ,https://yt3.ggpht.com/ytc/AGIKgqNiZSd43C4hHKLHnr5vJxgeDtIIUHep2ERrLYNeORwh9A841ttOgyghJL1Sz8oh=s48-c-k-c0x00ffffff-no-rj,3
usama serious cricketer,8 days ago,Style is crazy haris awan,https://yt3.ggpht.com/a7ipq6bkZGJft6ZvHSpYr2wkLOUAvkoL5ljWroqNCBn-feVZF9KsWKBItiWeFUgIbNlggeFVTQ=s48-c-k-c0x00ffffff-no-rj,0
Foysal Khan,2 days ago,First reaction very cute,https://yt3.ggpht.com/ytc/AGIKgqPLEif8ts1CZiAbtQh7cdg9ad6pBsrTlNMwTg=s48-c-k-c0x00ffffff-no-rj,0
yo-yo kidz,7 days ago,Gg brother love your content ,https://yt3.ggpht.com/ytc/AGIKgqMhDQ8_v-jO0DBbCKmsQ-8rBvBTX8WdhNteh3_657zWljqFG3ND7h0EBarMs-EI=s48-c-k-c0x00ffffff-no-rj,0
Aslam Maroof,8 days ago,Mza aya🇵🇰,https://yt3.ggpht.com/ytc/AGIKgqNepUO0oX29cyxA7gOFAPlapUk5BUQaUjaJBQ=s48-c-k-c0x00ffffff-no-rj,5
shoaib mirani,8 days ago,Really  from my heart ,https://yt3.ggpht.com/ytc/AGIKgqO8mj3p2WOGbCd4AxT-ffRh8ejVJ7XIPNEYz5oN3w=s48-c-k-c0x00ffffff-no-rj,2
Ali Umair,1 day ago,Bro this is so hard to watch  awkward,https://yt3.ggpht.com/ytc/AGIKgqP7-IZLCFb4yEwAFIn1aY7Yx8AulstOQJMZsk9R9g=s48-c-k-c0x00ffffff-no-rj,2
Adnan Shahzad,8 days ago,Haris love you ,https://yt3.ggpht.com/ytc/AGIKgqNCNNtT3MeJQR3u1_TDGImpD_gN7KGHBm-beo8-J1jVngFpWB3i74v7jn__uQ38=s48-c-k-c0x00ffffff-no-rj,0
Shahid rajpoot,6 days ago,Confidence level hai bro,https://yt3.ggpht.com/ciGshrk4Rs06fWKz8jCXxCg8_nibDN-qArJmMlWBjTJW_m9uE4voHfrXIyEroVNcLTBI1xMaTg=s48-c-k-c0x00ffffff-no-rj,0
Peace ♥️,8 days ago,No Words To Explain LVL yaar,https://yt3.ggpht.com/xEBSf8YYKqnuEDiaHiybpNps3hOYKRgvo2drQ9tku5BnDFGg8_bWysayCfcqnRqNEvlsHWRu=s48-c-k-c0x00ffffff-no-rj,2
Musa Faizan,8 days ago,Very nice vedio ,https://yt3.ggpht.com/ytc/AGIKgqNjMQgHcdtcWHfQYJH9nxeShZSoEJUnJ48ggZ3clj4YVGgOEQKAly5Tl19CFX1_=s48-c-k-c0x00ffffff-no-rj,0
Everythings are memories,7 days ago,Pranks ka asli maqsad chaske lena he,https://yt3.ggpht.com/TyNpNfI0HxgI2gQA903xxXtFTtTDCcrQe0tSafcxECEyPBVG3vw_yJnstKxOqrdFnSYcSBa0zQ=s48-c-k-c0x00ffffff-no-rj,1
sad Lofi,7 days ago,Love you bro ️,https://yt3.ggpht.com/sORTeR1FDyYShyWHwomjCsrA5VTO-7ZRHe0yNgaHuf0qkp6zZRumI_LXBYyCNTtjIszFDCN9e0c=s48-c-k-c0x00ffffff-no-rj,1
Adnan abbas Adnan abbas,3 days ago,LOVE FROM BHAKKAR CITY JUST ASAD ,,0
Rai Zaib,6 days ago,Big fan Bru ,,0
SP Arslan,7 days ago,Haris awan Bhai Big fan  I love you juno ️️,,1
