Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Abdul Rehman Khan,3 days ago,Man you're best I can't stop laughing ,https://yt3.ggpht.com/ytc/AGIKgqNcN7sDMJoyRvIMunkF1c6aL2ZwauAknXdRFtvF-A=s48-c-k-c0x00ffffff-no-rj,34
Sheraz Gill,8 hours ago,"oh man, I can't stop laughing.
Big fan of your omegle series. Keep it up.",https://yt3.ggpht.com/ytc/AGIKgqNdc-EboLkQHS1slJZR5q_3WTDZpQB_AWCgqIQecg=s48-c-k-c0x00ffffff-no-rj,0
Thrust,3 days ago,Old Haris is back  ,https://yt3.ggpht.com/QlYmtiq551jqHou2hBgPPTh2Aeoh4c25rBhlvg9VHtxPJn1wpdfQfshZd25g_tgRRfgSZdAxQQ=s48-c-k-c0x00ffffff-no-rj,15
Khawaja Shuja,3 days ago,You are a mood changer ,,3
Muhammad Umar,3 days ago,Last one is hilarious ,,20
M4 MOEEZ,2 days ago,First time watching pakistani funny omegle . Big Respect 🫡 ,,1
Kabir Khan,2 days ago,We need another part of this birrr love from india man 🇮🇳,,4
LibzZz ~,3 days ago,LMAO can't stop laughing ,,2
Muhib Ur Rehman,3 days ago,this one was really nice after so long,,3
MoosterBeast,2 days ago,That last joke made me LOL,,0
Mehar Hassan,3 days ago,Best series on your channel ,,10
Moon Writes,2 days ago,Yes We Want At Daily Bases ,,0
AUN KHAN MALEZAI,3 days ago,Last one was hilarious ,https://yt3.ggpht.com/JNZC9xydk6ygokoTvflgbNTfSQkOA0Naoxc3D4236rbK5c6Jt4jAkcjoyl6zFX_ZXAVorHlgifQ=s48-c-k-c0x00ffffff-no-rj,5
shoaib ahmed Kahloon,3 days ago,"One of the Best video u made Man 
Level",https://yt3.ggpht.com/ytc/AGIKgqNRiUWmAVQpRbEIGwBBQ1973_2kjLKnZyVP5tjL=s48-c-k-c0x00ffffff-no-rj,0
naile Fahad,3 days ago,We want part 2 Haris bhai ,https://yt3.ggpht.com/ytc/AGIKgqPJkFfN8iMvPaq1QxOmu_JkUW6A2XHpHjWlEw=s48-c-k-c0x00ffffff-no-rj,1
Mussawir Khan,3 days ago,This one was the best haris bro  mza aaa gya,https://yt3.ggpht.com/6MrpORVnw7FCw634K0QFOtLG0bDXeOzjZJ0fGe18RfTsApy_2M5op6B-ELEGl3ZnNk032X3G0Q=s48-c-k-c0x00ffffff-no-rj,0
SMEXY•MAFIA,3 days ago,Make more parts  please ,https://yt3.ggpht.com/9uogU9BBuiSCxlKhUujgHX165MKItb0bohebJpSBYTrtgYdS5mu54--nrO93RjDX2BUzx-zlf3s=s48-c-k-c0x00ffffff-no-rj,1
Asif Awan,2 days ago, bro it's damn funny ,https://yt3.ggpht.com/ytc/AGIKgqNV_TFsmCVFaHC248mMYVZ2aoGSI6C8CjQJZbRFSQ=s48-c-k-c0x00ffffff-no-rj,0
Hamza Adnan Official,3 days ago,Can't stop laughing... Ruzana ek part bnta ha ,https://yt3.ggpht.com/PTZif7J5sWUaqRCFp14OV3aGEu0KMGkC_h65nI7IfnY-Xs6xVR8KSAtlnF1GZVsGyiGuCgWI=s48-c-k-c0x00ffffff-no-rj,2
♡ Shabi ♡,2 days ago,"That part ""Hello! Beautiful lady "" ",https://yt3.ggpht.com/RniQSpEaurXdikziyoDt8rYA1tnpM2Q-rf-doMPXakbaSuftg9jx7F_DqXd_LblujXEYbihFsoc=s48-c-k-c0x00ffffff-no-rj,1
Success Mindset,3 days ago,Jani need parts daily,https://yt3.ggpht.com/GKjM7ceotO0LaKUwOsCqOMlqgnPvjAw8CxHHjrkUKyyZ8WUIYIplumjVadrpzdGp2ziQOD-60A=s48-c-k-c0x00ffffff-no-rj,1
SARIM NOOB FF,3 days ago,THE part at which you are finding others black gus was awesome.,https://yt3.ggpht.com/GmuKFolKkaPXggIvmPCAsjaa5gX1jP7pFoxYKpx8mBPsneyz7UEBdQYcetqWg_ggpEx6eF5U=s48-c-k-c0x00ffffff-no-rj,0
