Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Alina Ali,3 years ago,"Guard was good.. He said ""my son"" to him so sweetly.. He didn't misbehaved.. He was fulfilling his duty",https://yt3.ggpht.com/ytc/AGIKgqPl_JKpD-I3dDyBOOQLJQmolx-gZIGK6bYIzg=s48-c-k-c0x00ffffff-no-rj,1.2K
Abu bakr,4 years ago,These guards are forced from hotel management to stop people dressed like this no matter they've money or not..but I liked the way guard stopped him..he could simply let him go by saying harsh words..but he sent him in a good way :),https://yt3.ggpht.com/ytc/AGIKgqNYFPUH1nDoIUHFShz3La8lj8MYDFr4GwWYDA=s48-c-k-c0x00ffffff-no-rj,2K
BorokoK,3 years ago,I don't blame watchman he's just doing his duty. So I blame his boss,https://yt3.ggpht.com/ytc/AGIKgqOTSMESjwW8B0AIpMagB4sqF11t3pU0dDI9s4rRew=s48-c-k-c0x00ffffff-no-rj,293
TruthSeeker,3 years ago,Guard was correct in this case... salute to guard who still didn’t break his heart or mistreated him.,,378
Arisha Aziz,4 years ago,This was the best message anyone could convey.  That's the reason our country is still lagging behind others.,,1
valiullah O.M,3 years ago,"If guard allow him inside, guard will fire by his owner, don't blame guard",,984
Atif Latif,3 years ago,"Salute to the guard who treated you sooo humbly considering you are poor and he referred you to a cheap hotel rather then saying its expensive, u cant afford etc. Stop playing with that gentleman guard.",,16
Iman Fatima,4 years ago,"This one is literally heartouching :) 
Guard was such a kind person.It was not his mistake, its his duty :)) 
anyways man you got my Respect.",,26
Abdul Rehman,4 years ago (edited),"This type of experiments spread awareness and develop a sense of pain for poor in the society.
Hats off for great work!",,0
Adv. Mokshada,2 years ago,Such pranks can make poor security guards lose their jobs.. thank goodness he told the manager about it  ,,4
Harshita Lahoti,4 years ago,road side hotels are the best ! they never judge a person by his appearance  they know the real human values. i always prefer street food over the 5 star resturants!,,120
SURAT SAREES  VF exportss,3 years ago,security wala is such a humble person he didnt allowed poor man in such a polite way,,72
Sparkle,4 years ago,You deserve a chance for acting in tv media  best wishes mate,,294
Raiha Ali,4 years ago,"This is sad reality not just in Pakistan in many more countries too but this experiment should be done. 
Keep up the good work ",https://yt3.ggpht.com/ytc/AGIKgqM9M_w0v6Nt1f_rfQJy2CXNPAIpCkWWJz0KyS-Zow=s48-c-k-c0x00ffffff-no-rj,7
Waqas Ali,4 years ago,"Although I watch your pranks plenty of times, but the very first thought that came to mind after watching this video was the same...This guy deserves a chance to be an actor.",https://yt3.ggpht.com/ytc/AGIKgqMPpOSuIRsLeVT0_T2XmDOMCAFFVOMUfZMa4NxCGsIrqAz66vsOv7yqpcyU2-FG=s48-c-k-c0x00ffffff-no-rj,0
