Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Haris Awan,4 years ago,"""No one has ever become poor by giving""
Show your love by Liking and Sharing the video <3",https://yt3.ggpht.com/ytc/AGIKgqPMUCqlH9bgZz6o3LXGi18l4NPZfHgdhVSOZZawBg=s48-c-k-c0x00ffffff-no-rj,4.2K
Mujahid Rangreez,4 years ago,kaun kaun gareeb ko sabse accha samajhta h,https://yt3.ggpht.com/ytc/AGIKgqNSAEyaWOQhp2pGE9tHuWp_PM98INTsAmDwksv4=s48-c-k-c0x00ffffff-no-rj,3.3K
Dewansh Gupta,4 years ago (edited),"True 
Rich people have money 
Poor people have heart 
Love u bhaijaan love from India 🇮🇳️",https://yt3.ggpht.com/ytc/AGIKgqOw0izXLOUaIlxXMwRVyp5p1mwzOb7bnhvUp-rtSg=s48-c-k-c0x00ffffff-no-rj,614
Mr Killer,3 years ago (edited),"Rich : I want This and that
Poor:I want everyone to be happy ",,368
Ryan Bajwa,2 years ago (edited),Pathan's are very honest . We should be thankful for having them ️,,56
Afifah Ahmed,3 years ago,He is not poor .. actually he is a rich man by heart and has a perfect belief on ALLAH ..,,781
Zulaikh Shahjahan,1 year ago,SUCH A GOOD MAN. EVEN IF HE IS POOR HE STILL GAVE THE PIZZA TO HIM. MAY ALLAH BLESS HIM AMD ENTER HIM TO HEAVEN. SUCH A NICE MAN.,,3
TEER GI,3 years ago,"I just want to hug that so called “poor” guy, I said so called because he’s richer than loads of us. ️",,206
Em Ali,4 years ago,"I love your videos because I can see the hard work in it and your social experiments those are actually really important to spread awareness and I really appreciate them. Unlike other people who have no talent and passion in it and  make disgusting videos just for views.
Keep going I really enjoy them. 
Thank you . ",,0
Neham Khan,2 years ago,He is the rich by heart...️,,100
Adds !,4 years ago (edited),Humanity at it's best. Thank you Haris for creating this video and thanks a million to that kind sir who fed you. May Allah (SWT) bless that gentleman always and kind people like him. Ameen.,,4
Nusrath Ismayeel,3 years ago,"You should have given him some money, he deserves it ",,26
Abdulrehman Khan,3 years ago,"Riches Got Money!
Poors Got Humanity!",,894
Areej Iqbal,4 years ago,Tears rolled into my eyes... this is so amazing.. our heart are black inside... i just realized that we're nothing with our huge amount... keep it up man.. stay blessed,https://yt3.ggpht.com/ytc/AGIKgqNFM8pBPcw8iutUgDy3k__D25utL4Vd8smTDw=s48-c-k-c0x00ffffff-no-rj,0
MRO Gamer,4 years ago,"Poor people might be dirty,uneducated,jobless,homless but one thing that nobody has is what they have and that thing is kindness and having a big heart",https://yt3.ggpht.com/ytc/AGIKgqP50tuiLzmLolcifK7lDZjXuhl9OtwuHpVZvPPgfg=s48-c-k-c0x00ffffff-no-rj,29
Alina Hussain,2 years ago,"This video took tears in my eyes as we are all here in this society holding smart phones and money in wallet but not having humanity in heart.    And still. Poor has humanity, kindness for others.  As he was not having branded food but he gave it to some other.   I can't explain what i felt.",https://yt3.ggpht.com/ytc/AGIKgqNYrdzGJIyEoXukitRb4gA_CxBzP0Qtc5v2tw=s48-c-k-c0x00ffffff-no-rj,10
Ahmad Afzal,4 years ago,"never commented on any video before, but this video made me do it. Amazing stuff Haris, Keep it up. Social awareness is what we are lacking as a nation",https://yt3.ggpht.com/ytc/AGIKgqM1Q3Hqn1zq8P3DyePeO6qt3Ywl6kzvrk0x7Bfa0Q=s48-c-k-c0x00ffffff-no-rj,0
Harshal Style Editz,1 year ago,I Respect everyone who were involved in this seriously the best piece that l've ever seen on YouTube .HATS OFF TO YOU️️️️,https://yt3.ggpht.com/nApV39X7yG4qaqmXRklRrcnr2ULkIBP_eRSctPlseUVAHQzqZaHv8v4U0QFQnL7tv5qtpmX2=s48-c-k-c0x00ffffff-no-rj,1
Immad Khan,4 years ago (edited),Khan are the most kind hearted people of Pakistan I'm proud that I'm Pathan ! ,https://yt3.ggpht.com/ytc/AGIKgqNiPcUj7y47kUFN8HDL6leYI_JkFzJhyLJVnoII=s48-c-k-c0x00ffffff-no-rj,216
Vinit GautM,4 years ago,"heart warming video
 love from india.! 🇮🇳",https://yt3.ggpht.com/ytc/AGIKgqNtZnLn70XG2O7PPj667oHetK8X0H9uNF3YyW1cVqo=s48-c-k-c0x00ffffff-no-rj,5
A walk to infinity,3 years ago,"It touched my heart.. the poor man was really generous.. 
Love from India️",https://yt3.ggpht.com/ytc/AGIKgqNKWq1X5oDdJ8LF31G2Lhhx5_Os6-BSqiKk7Hh8cg=s48-c-k-c0x00ffffff-no-rj,5
BIBHU BHAI 😎,1 year ago,Our Muslim brothers are so good and kind hearted,https://yt3.ggpht.com/yxv1DFRpmB3yRDcRWZCQ0bstDLoSVu3hvWbvrgp_QHO7GzVFsc8aHp8QxNsOxoOSmP_k7eiQAw=s48-c-k-c0x00ffffff-no-rj,2
PRIYADHARSHINI V,4 years ago,He is human ......with humanity️poor by status but rich by heart let All pray for him,https://yt3.ggpht.com/ytc/AGIKgqOUqjd55yqV4ZVU4llCVziy-s1tLfBQ7OEFKlQAQg=s48-c-k-c0x00ffffff-no-rj,50
