Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Haris Awan,2 weeks ago,"Link: https://olymptrade.drln.me/youtube/5cd558fb046b
promocode: HARIS",https://yt3.ggpht.com/ytc/AGIKgqPMUCqlH9bgZz6o3LXGi18l4NPZfHgdhVSOZZawBg=s48-c-k-c0x00ffffff-no-rj,12
No One,2 weeks ago,Can't control laughing,https://yt3.ggpht.com/UC4B2FtTJx77oBRuVZiQIulIYxyv_K6ChPjDZjatuMvTArMlwMvvBCpQZBy7hnLQXbeP3mjVAzw=s48-c-k-c0x00ffffff-no-rj,6
KHAN Writes,2 weeks ago,Old Haris is back with best content,https://yt3.ggpht.com/R7sFzcyM0B3IwMr3ApFudi8KwNnA0Es66hxhJyxvA7wDkbG8kmE15k1aNSKhgyS8pUIMjo00hhI=s48-c-k-c0x00ffffff-no-rj,6
ERROR,2 weeks ago,I guess this is the only Prankster which really makes me laugh ,,4
Em Fahad,7 days ago,Love u haris  for making us smile ,,0
Rohit Roy 🇮🇳,2 weeks ago,Abe Bhai .... Bahut funny tha yar ,,3
Hydra X Gamerz 2,2 weeks ago,your pranks are too funny .make more videos,,2
Omair Tech,2 weeks ago,Thanks for making real pranks these days.,,2
DARKxGaminG,2 weeks ago,Next sleeping with stranger whole night prank ,,0
Em Fahad,7 days ago,Best pranks ,,0
Azlan Khan,2 weeks ago,Nice,,0
AARISH KHAN VLOGS,2 weeks ago,Legend army watching this again and again love from india.,,0
Fahadameer Ameer,2 weeks ago,Yar bhai haris confidence level he yar tera,,1
wildae,2 weeks ago,thx for making a genuine prank,https://yt3.ggpht.com/ytc/AGIKgqOmc2Uju8cXOveSHrdZ_w-bHR5tffySmiNoVcjY=s48-c-k-c0x00ffffff-no-rj,0
Hammad Amjad,2 weeks ago,"بات صرف ضد اور جہالت کی ہے ورنہ دنیا جانتی ہے کہ عمران احمد خان نیازی سچا، ایماندار، دلیر، محب وطن🇵🇰   انسان ""لیڈر"" ہے ️",https://yt3.ggpht.com/ytc/AGIKgqOXhy3JPgnR2O_3WA6JKWx9ubWiUrQkIjpY3g=s48-c-k-c0x00ffffff-no-rj,3
A&Zee Info Hub,2 weeks ago,Harish lala good work,https://yt3.ggpht.com/Pkusit-lwvbxY90jLm726GZGuLSfzF-3aQS7kcstFt7IYMaEJ2yk9sItMU9FQWORK9yhjc1b=s48-c-k-c0x00ffffff-no-rj,0
Muneeb Ur Rehman,8 days ago,Wah yar haris love,https://yt3.ggpht.com/xFvttFMrNR52KKRbtPzZyesmC-RlGsARAFwC79dpFfj4TYn6Y5kzTWYAzGVTydylBEql6CWX=s48-c-k-c0x00ffffff-no-rj,0
Abdulrehmann Akram,2 weeks ago,Itna confidence kahan sa late ho  ap ,https://yt3.ggpht.com/ytc/AGIKgqMMuUrykvrcTK1Zg-D42m44pmFWGKhOsu3We6dXJs5yBkkGuDbg6MoTTIaHLvPH=s48-c-k-c0x00ffffff-no-rj,3
Me cutelicious,2 weeks ago,Haris Awan plz do comment trolling prank ,https://yt3.ggpht.com/ytc/AGIKgqMrz5IRuzkMo7uF835iC1mIKGp9jcYBGOiozeha=s48-c-k-c0x00ffffff-no-rj,1
Asim Khan,2 weeks ago,You are so funny video,https://yt3.ggpht.com/ytc/AGIKgqMw_3rxHNWDuq6lZYg8ECoNUrQrzlAwGk84sQ=s48-c-k-c0x00ffffff-no-rj,0
sP乂آصفk2,2 weeks ago,Haris Bhai ajj to alag seen hai ,https://yt3.ggpht.com/3jhSsjfLAM8j2D8PyEczwq2xekZuAOXnOCb6NFMlSCKimREIKNNNJ-oWi9Xve86_8V_eTZt0rg=s48-c-k-c0x00ffffff-no-rj,0
Mian saad,2 weeks ago,"First comment
Big fan Haris bro",https://yt3.ggpht.com/JllTqIliWJ3fVOb-hO0FY9shqdTYzrV4MxDc1va1yd9-5weeHs-estBG2etyGz-e1nipd4P5_Q=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Ameen,7 days ago,Plz haris bhai asa hi vedio banata raho,https://yt3.ggpht.com/ytc/AGIKgqODmEjME03HwtK5TOfCyYNxUZefgyDqZ2YN6ySvimlcFyamAUQ_I3EkP2nLGFGV=s48-c-k-c0x00ffffff-no-rj,0
Ayesha Rehman,2 weeks ago,,https://yt3.ggpht.com/ytc/AGIKgqOB19TvfJIAWjdeRUbN_8U35LsgwTBSTaLzhA=s48-c-k-c0x00ffffff-no-rj,0
Zahid Ali,2 weeks ago,Love you Bhai g jeo and nice video bro good luck ,https://yt3.ggpht.com/ytc/AGIKgqOfOm4jklistTtWQjX1qLTglSMNV0nbtnFhuWNAZCUlJVgtHxOjBf9_Zel1CL5H=s48-c-k-c0x00ffffff-no-rj,0
HASSO CREATIONS,2 weeks ago,Love You hogya Haris Bhai ,,0
Usama Khan,2 weeks ago,Nice bro ,,0
Ali Raza,2 weeks ago,Big fan sir,,0
Ayesha Rehman,2 weeks ago,So funny ,,1
Anwar Khan Voice,2 weeks ago,,,0
Usama Khan,2 weeks ago,puarana haris wapis,,21
Usama Hassan,2 weeks ago,,,1
Informative vice,2 weeks ago (edited),Snatch phones from girls dare,https://yt3.ggpht.com/etNLZSYl-ocyxs1UXXz3rrkb7ZqFWSiZAr83bm2y-0wE0EIGIlJw4WA2Xq6lrVc_LLWdPx33=s48-c-k-c0x00ffffff-no-rj,1
Amir Khan Daher,2 weeks ago,Haris is back,https://yt3.ggpht.com/ytc/AGIKgqMZUDfNe-TFcRVsjSoh26y-MFU-DeYj0W1Vdg=s48-c-k-c0x00ffffff-no-rj,0
