Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
KHAN Writes,3 weeks ago,Old haris is back with the best content,https://yt3.ggpht.com/R7sFzcyM0B3IwMr3ApFudi8KwNnA0Es66hxhJyxvA7wDkbG8kmE15k1aNSKhgyS8pUIMjo00hhI=s48-c-k-c0x00ffffff-no-rj,10
ALAUDDIN KHILJI,3 weeks ago,jani your pickup line series are the best among all in Pakistan,https://yt3.ggpht.com/ytc/AGIKgqN2VD_3gkAOb2s4Bi4h_pF81XYUrpcnCicTzLJFkA=s48-c-k-c0x00ffffff-no-rj,0
Hassan Masood,3 weeks ago,Old haris is back ,https://yt3.ggpht.com/UxadEbzEAqko-rIMQEqPMdIMzscAO37kRaTDqgVMmkSWljeYTJzIBeyT2IlB58h9dD9QIGLyaw=s48-c-k-c0x00ffffff-no-rj,46
Abdulrehmann Akram,3 weeks ago,This video made my day ,https://yt3.ggpht.com/ytc/AGIKgqMMuUrykvrcTK1Zg-D42m44pmFWGKhOsu3We6dXJs5yBkkGuDbg6MoTTIaHLvPH=s48-c-k-c0x00ffffff-no-rj,7
SALMAN ahmed,3 weeks ago,Thuuk wala part was best,,52
Faizan Bhatti,3 weeks ago," level haris bro 
Awesome prank always ",,4
M4 KING,3 weeks ago,Haris is back ,,5
New life truth,3 weeks ago,Watching for the first time any Hindi prank like this it's great . It's not cringe . Great ,,5
Sadeem Mansoor,2 weeks ago,And suddenly she felt in love at first sight ,,0
Sid's BARBER,3 weeks ago,It's time to do  real pranks with famous YouTubeers,,3
Sarah Nadym,3 weeks ago,Haha Love it  I posted a reaction of my dad on the prank you did with Me.. ,,4
Hussain RaNa,8 days ago,Yr Haris Tara conference Level OMG yr Awesome ,,0
zeeshan awan,8 days ago,Haris is back ,,0
ASIM FF,3 weeks ago,Love from india from kerala by Asim ️,https://yt3.ggpht.com/Fuqxkb4dzfU5DsXf5T1TZQJuHDMskOASE82OAv1-RhVhxQx0It7ZDrtOxU0o7959ElN7Yp_i0v4=s48-c-k-c0x00ffffff-no-rj,6
Khalid Khan,3 weeks ago,اللہ پاک ہم سب کو رمضان المبارک کی خوشیاں نصیب کرے آمین ,https://yt3.ggpht.com/5tXMN10rvTkfIwW4Xrm3doHcWfiRYneNmF2MP11ObN5Kbc1VT0wn5trm_Vnw2hZ9R-gzA8Ckyes=s48-c-k-c0x00ffffff-no-rj,2
Dilshad Ahmed,3 weeks ago,"رمضان المبارک 
Haris Bhai apka Apna s level hai ️",https://yt3.ggpht.com/rkH1sEg9Au13_nsNcFk_mDycqpFN5s_rrtWe3r4Upajvane3RR_0zBVGb_bIruUup8jIpr81=s48-c-k-c0x00ffffff-no-rj,4
Mateen_Mughal👑🙂,3 weeks ago,️,https://yt3.ggpht.com/As100qp2QqQnF6x_U6G3Qb2W0V__Z77LAZv0CPhFUsWaSsfnipUPCqpwuPot2X6QhvtEjsoVQQ=s48-c-k-c0x00ffffff-no-rj,0
Aslam Maroof,3 weeks ago,"Funny thaa Bhai jaan
Best wishes for Haris Awan🇵🇰",https://yt3.ggpht.com/ytc/AGIKgqNepUO0oX29cyxA7gOFAPlapUk5BUQaUjaJBQ=s48-c-k-c0x00ffffff-no-rj,3
Hussain 🇵🇰,3 weeks ago (edited),Haris bhai very funny,https://yt3.ggpht.com/9vZcun6dH3QVO8JRUJt8VR4jbCz5KEACDvS2glnrUvb0qrMNiemW5dqFYeLKNrKWWUdpIs4XSQ=s48-c-k-c0x00ffffff-no-rj,2
PAKISTAN PIGEON,3 weeks ago,ALLAH is the greatest of all ,https://yt3.ggpht.com/eJ8dyPIFzLZjNYkYfaFAOyM2SxeC3dxjMehhYfDRglkgSPAdbRGvIXP5x5SoG5ESdXP9Dpp0=s48-c-k-c0x00ffffff-no-rj,1
All About Overseas,3 weeks ago,"East And West 
Haris is Best",https://yt3.ggpht.com/v0eSAiDeI10JFcjQpNzdmqutmpOt7OQLdxvlzPcFx3aMIvJA8W6swOXnNHhck7sY8Q-RMJMxW38=s48-c-k-c0x00ffffff-no-rj,1
Me cutelicious,3 weeks ago,Haris Awan plz do comment trolling on girls plzzz ,https://yt3.ggpht.com/ytc/AGIKgqMrz5IRuzkMo7uF835iC1mIKGp9jcYBGOiozeha=s48-c-k-c0x00ffffff-no-rj,2
Azlan Khan,3 weeks ago,Nice ,https://yt3.ggpht.com/ytc/AGIKgqOkEiLKuI-jo7HsTtQpRWEfmd7TBqFTpby2OcU33BSZcK2Zt7B5W-HycpAaIwnV=s48-c-k-c0x00ffffff-no-rj,1
Films & Clips,3 weeks ago,Ramzan Mubarik Bhai jaan️️,https://yt3.ggpht.com/lGWpm6yhWfKK1j5JnBgtgyYuAkyYdA-m1WzPDrRDue9l59sOdqt3gLaq9nt40WSR_Oqkuw7U_g=s48-c-k-c0x00ffffff-no-rj,1
Rajon Ahmed Raju,3 weeks ago,Apke prank k intejar me rehtahulove haris vai,https://yt3.ggpht.com/P0T0lH-p0NV-4XDweG_MmQ9zx_iLTknKSax7UWQp9Dd9tKCiCTKNt87hXTxXoxw-KblWMIK-aA0=s48-c-k-c0x00ffffff-no-rj,1
babar rashid,3 weeks ago,comedy King is back,,1
Mr AصiF,3 weeks ago,HARIS Bhai ,,3
Rajon Ahmed Raju,3 weeks ago,Love form Bangladesh 🇧🇩🇧🇩,,1
Amazing Yash World,2 weeks ago,"Haris bhai so nice, watching from Tharparkar District Pakistan",,0
FYME SUFYAN🥀,3 weeks ago,Video 15 Sy 20 Minutes Ki Bnaya Kr...Love You Haris ,,1
Ali Aetezaz,3 weeks ago,kamal kardiya,,2
TM TALKS,3 weeks ago,Mahallah very nice sharing beautiful vlogfull watch video dear God bless yougood luckgood work ,,0
Dope Bars,3 weeks ago,1:37 ,https://yt3.ggpht.com/ytc/AGIKgqOlCwMskghZg4QXJM96yg1KPxzusSzVMW5yj-vT=s48-c-k-c0x00ffffff-no-rj,3
Sadeem Mansoor,2 weeks ago,Best version of haris,https://yt3.ggpht.com/ytc/AGIKgqMhyD4vsWL3LmDZWPPJImS7uGw-fhDkBoe37xnl=s48-c-k-c0x00ffffff-no-rj,0
