Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@AnwarKhanVoice786,1 year ago,دنیا میں ہر شخص کامیاب ہونا چاہتا ہے لیکن ہوتا وہی ہے جو سخت محنت کرتا ہے اور اللہ پر بھروسہ رکھتا ہے,https://yt3.ggpht.com/rxB2WdYj0IfECtTs6csbtbmxFCkqdmSfn4k4e_xnxcnkm05m1dyNvXguL35fGMseeQ23sQYE=s48-c-k-c0x00ffffff-no-rj,61
@iftikharahmed1841,1 year ago,اللہ پاک ہماری آنکھوں میں حیاء پیدا کرے آمین,https://yt3.ggpht.com/ytc/AGIKgqNyUGkkT7NYvIKmZKemCKv-ob22kz2O0Prdw_NQQ5xS8oV6fp16PN8eh96ijM7L=s48-c-k-c0x00ffffff-no-rj,9
@SaniaKitchen,1 year ago,Who is the biggest lover of محمد ﷺ ️,https://yt3.ggpht.com/zJOC3xH_GWeRd17uMpj-edOByjyAhaK1ygbeQWUPydZ5LbdV5rCWJI-w2Zcj8t9CKKZlT33Jhw=s48-c-k-c0x00ffffff-no-rj,332
@mash4591,8 months ago,اللہ تعالیٰ خود ہی سن لیتا ہے خاموش دلوں کی التجاء ️️,https://yt3.ggpht.com/soEpokayNAdlNSkgPVwFmgGLpMDWMBExKdPIvWct7_rvW_i4MRYHCEce3iYuk6cHLl-eqzJP3g=s48-c-k-c0x00ffffff-no-rj,1
@satisfiedenglish14130,1 year ago,Nowadays Khan Ali is making scripted pranks,https://yt3.ggpht.com/gQv9k0KPkSp-hw1O_h0KWrcjb7nvgMWfGnCIvvs1lhJ829lz1YcVx_OMGNLQ84Bg2Dl0VRh4=s48-c-k-c0x00ffffff-no-rj,39
@SajidAli-bk6ru,1 year ago,ماشااللہ علی بھائی اللہ پاک آپ کو سلامت رکھے آمین,https://yt3.ggpht.com/ytc/AGIKgqOBS_5wfVyVGGW2L0Hz8V2YZMGUp73jGBpR_Q=s48-c-k-c0x00ffffff-no-rj,4
@alivillageofficial9087,1 year ago,ضرورت کے وقت کسی کے کام آنا بہت بڑی نیکی ہے آپ کا ایک کلیک میری زندگی بدل سکتا ہے اللہ تعالی آپ کے ہر جائز مراد پوری کرے آمین,https://yt3.ggpht.com/E-j4CNGUIkwCIPBbxnbw1S7NHkin4WqhVr2Hn-DxE4qEs6nHCrn_FKtyaXwPSG0hxyetsKFNpg=s48-c-k-c0x00ffffff-no-rj,3
@jui78,1 year ago,لبیک لبیک لبیک یارسول اللہ صلی اللہ علیہ وسلم,https://yt3.ggpht.com/-Es67RKfGznftVVTP8Zq0l-pFmdt0vBG-IDkd82ZyZCYOqoaNeBrWQzrS0RQGIUGcFQRSpYM=s48-c-k-c0x00ffffff-no-rj,3
@manajuttkabaddi2257,11 months ago,Beautiful,https://yt3.ggpht.com/ytc/AGIKgqPvspf1KTuIqw4krLpy5Zo8bCPPy8SF6oc12WYKPw=s48-c-k-c0x00ffffff-no-rj,1
@ALI-hr6zq,1 year ago,"Plz dont scripted prank bhai jan....i request,my family ur big fan..",https://yt3.ggpht.com/crYj9uBPAR_IVCPWQ7IdIFscbh83avaIM446L3pvTNAsFiFQZHRTRMvuxHQQWC-U-S0ZNY02ag=s48-c-k-c0x00ffffff-no-rj,21
