Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@abdullahbukhari7528,5 months ago,"Very Nice, Good Efforts",https://yt3.ggpht.com/ytc/AGIKgqPC_4xjy3G8j5aALOpw7hFha18P1WZUPQcltVLVTzt5hK3SxDfDemO3IxubBdgu=s48-c-k-c0x00ffffff-no-rj,2
@mariakhalidofficial,7 months ago,"May Allah bless you and give success to those who are supporting us. May Allah bless them with lots of happiness. 
اللّه پاک آپکو خوش رکھے کامیابی عطا فرمایے جو ہمیں سپورٹ کر رہے ہیں اللّه پاک انکو ڈھیرو خوشیاں نصیب فرمایے امین سم امین",https://yt3.ggpht.com/6j3pmYb2q-WWjmFtnZhfWswtPp44disWd4ELUmGxkhZrgT6e3TRZPVTswWkmPmvF2-_NxbBN7w=s48-c-k-c0x00ffffff-no-rj,7
@qarirustam4524,6 months ago,Allah itne majboor logo ki madat farmaa,https://yt3.ggpht.com/ytc/AGIKgqPcr231OVpri1x8LatT2bYmFTP3FYWNS61o0vNABamKA7_Tny9_tdb1eoxPNiB5=s48-c-k-c0x00ffffff-no-rj,10
@zahirgul5158,7 months ago,افسوس ہیں ایسی لڑکیوں پر,,10
@chup870,7 months ago,"2 part  bro please  Please  ️
Love from napal ️",,13
@KhanG-jq6cm,7 months ago,Excellent work,,3
@aliwaqastech,7 months ago,So beautiful,,4
@Smart_Appliances_,7 months ago, only rupees wali dosti ,,9
@asadminhas8106,7 months ago,Ya Allah Pakistan ky hal py rahm frma mery Allah,,8
@ahsanjani9285,7 months ago,Love  bro maza aa gya ,,4
@mumer9673,7 months ago,Waiting for next part,,9
@amintanwariofficialuaepak2959,7 months ago,Nice ,,2
@asaboor1555,7 months ago,very nice ali bhi ,https://yt3.ggpht.com/ytc/AGIKgqMmBPLG0sIwRR2y04bHc8HBi_8C4BWHUVxlk1HqTdc=s48-c-k-c0x00ffffff-no-rj,5
@mahmoodgujjar8507,7 months ago,Very nice I Love ,https://yt3.ggpht.com/ytc/AGIKgqPuUjGUbhV0LGgvCEGt0T2A11W-VKSne7vOeg=s48-c-k-c0x00ffffff-no-rj,4
@norazleenleen6117,1 month ago,"Wasy achy khadaan ki Hain ,,, Allah paak in ki help kren, ameen inshallah",https://yt3.ggpht.com/ytc/AGIKgqOa-rmDhCSP-EzGPcJPZLDnXKqIXcXZtjJBqQrpZdijdGwgj750JtzPpH-B7hWw=s48-c-k-c0x00ffffff-no-rj,0
@umairahmed3475,4 months ago,Good efforts ,https://yt3.ggpht.com/Ch556J6uZGTlkeEL5QRgb-ZPWyp7NMbwxeYSsTiGcjDlYdha6-iGNx-1ciU0e5g_OcFuU3ERXw=s48-c-k-c0x00ffffff-no-rj,0
@nasirmehmood2906,7 months ago,Islam zinda bad TLP zinda bad,https://yt3.ggpht.com/ytc/AGIKgqOul1EIcm8mZVRiUp89clJUqbpxDQiDv0sf9g=s48-c-k-c0x00ffffff-no-rj,1
@Arham145,4 months ago,Legend girl ,https://yt3.ggpht.com/Tby2j9c-GCttfVhC-QCAfKqtVFlVgZSwgZMDMsSomhzsKd6HMwfG2kHamPEA__PWQrcMpZiVUw=s48-c-k-c0x00ffffff-no-rj,1
@umarali2907,7 months ago,Hahahah Khan Bahi tusi great ,https://yt3.ggpht.com/ytc/AGIKgqMSwYdvPSvhZkhZXg2IoQ41YE-IsnQZvzb8KtTw1Q=s48-c-k-c0x00ffffff-no-rj,3
@princeasad5999,4 months ago,Gol Maaal Han ,https://yt3.ggpht.com/PlyRwzYIoCcCOpOMa-6Uy9KRliOp5nFgnJAoeoJJcspKsXBQkzCl0zlp5-wRg1d0ULYhN5ZN=s48-c-k-c0x00ffffff-no-rj,0
@raotahir1576,4 months ago,"Through this video we can easily predict the thinking level of girls although I’m not talking about all the girls but mostly in our society are clever and cunning. We should avoid to make friendships with such kind of people
Bewaqoof bnte raho gay tu aise log, app logon ko chuttia bnate rahey gay",https://yt3.ggpht.com/ytc/AGIKgqNl0pESak5D3A2HV9Ro4gxi8a6q76FGxhEa62SW=s48-c-k-c0x00ffffff-no-rj,0
@mazarali1303,7 months ago,"Brother, such people are deceiving",https://yt3.ggpht.com/0j3T2hFQdxVw8k-6BCorIqPhBpkgmhrD_FtsQbUKJl-9_L9EyIvqVxh92oIM92u1Y9KI8qXYqQ=s48-c-k-c0x00ffffff-no-rj,2
@pakjlt224,7 months ago,good  nice job,https://yt3.ggpht.com/ytc/AGIKgqNXSvCwS1TOWVFerZnmVI0QUk67HH0L_JsLvYgdOcMZ3yqDye-lKr_Yt49S1GfS=s48-c-k-c0x00ffffff-no-rj,2
@guddujee9654,7 months ago,Hahaha ,https://yt3.ggpht.com/tNpJZOy1ubiizddyGXEo3KA12260hSnJFq4aaGB6MHEgIZ0bwQEW4waWvVE93zI9alRl1TAzkRs=s48-c-k-c0x00ffffff-no-rj,3
@kabirbutt6595,7 months ago,Next part ali bhai please ,https://yt3.ggpht.com/ytc/AGIKgqPYeNHHKLUt0PuwoDM5b2CoOxp2dNRqJBubPtxNKQ=s48-c-k-c0x00ffffff-no-rj,1
@asgharmahi5425,3 months ago,Assalamu Alaikum Janab bahut acche Janab Le Lo Kya Baat Hai Janab Allah aapko,,0
@zubairbutt5383,7 months ago,She like money ,,3
@Muhammadilyas-rs8mg,7 months ago,,,0
@shokitrajashokit9,7 months ago,"Khan Ali Bhai it is better to give money to a poor person, Allah will give him the reward.",,0
@rehmanali-vz6fc,7 months ago,20 30 hazar de dety to shayad khana khanay bhi chali jati otherwise bhar me jaye apka juice,,7
@zohaibali5220,7 months ago,Nice,,6
@mohammedjahangiraliali1127,5 months ago,️,,1
@voiceofkohistan7802,6 months ago,Anty ke awaz bhut kam hai ager Volume thoda zeyada ho to ,https://yt3.ggpht.com/gSbteSe3m7oJI4W_lLxVbwjykA9kvKWrk3822oRwk_1I0rixMdP5kW-YtGj1Q7Qbw5wgzwJmvA=s48-c-k-c0x00ffffff-no-rj,0
@gulasgharakhtargul9049,6 months ago,,https://yt3.ggpht.com/1af-NRNHIZZgYOYLwFKhQMWFVWVda5uQLojdl8mgKdWhP10tzzAgcwdC-7Pru98biLXCVzykEA=s48-c-k-c0x00ffffff-no-rj,0
@sajidkhan-ek3uk,7 months ago,ali bhai ap bht achy or bht mazy k prank bnaty ho Allah pak apko kamyab kry agr ap bhai wight kam kr lo thora sa me b ap ki tara mota tha phly,https://yt3.ggpht.com/ytc/AGIKgqMF0s0190P79SXiknAzW_mFW0yePsPgC419zYszcjwN2NNe4yCh-zWiTT2n78gp=s48-c-k-c0x00ffffff-no-rj,2
