Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@Villagelife111,1 year ago,Millions of books but Quran Majeed is the greatest holy book duniya wa akhrat️in the world,https://yt3.ggpht.com/szvWRIzQov5tsX5q3IRGfIeisv8qG91T1Kx1TOdaeqPH18_Op0JD7Qh8Jig2_ty_15Ybht2y=s48-c-k-c0x00ffffff-no-rj,118
@ihmislamicbayan8578,1 year ago,#اختلافات کے باوجود کسی کے ساتھ احترام سے پیش آنا کمزوری نہیں بلکہ بہترین تربیت اور خاندانی ہونے کا دلیل ہے…,https://yt3.ggpht.com/MK0h8yq47JdOUAWqB9HhSf8xqApV4UTDbFTcR0fZ1VRt95vJw4dSfvmC6oZljtHiFWKJDhjG=s48-c-k-c0x00ffffff-no-rj,28
@khaneaglefire6300,1 year ago,"Billions of books But ""*QURAN MAJEED* Is best.",https://yt3.ggpht.com/g9rZHnw8wBFcfCqRC3wXYqz0r5EOEKMTSwVXu-RaoXkvem6VfffD7qy5wuThUKZKHq6ATjT2xn0=s48-c-k-c0x00ffffff-no-rj,22
@aliasad7564,1 year ago,I can't stop my laugh ,,2
@naeemali6998,1 year ago,Apke sare pranks bht kamal hote hai ,,17
@nocopyrightmusic8144,1 year ago,The strongest people make time to help others Even They Are Struggling With There Own Problems Your One click Can change My Whole Life.God bless You,,6
@AbrahamRashid-nh4wm,1 year ago,So much nice video making I am so much enjoy this interview she is also so sweet actor,,7
@funyvideos2699,1 year ago,Hahah maza aa gya dusara part bi hona chaey janab ️,,6
@mithutanveerofficial7333,1 year ago,"ہمارے دور رہنے  کا ایک سبب یہ بھی ہے 
سنا ہے وہ روز روز ملنے والوں کو یاد نہیں کیا کرتے",,4
@salahuddinkhan5058,8 months ago,I am from India aap ka support karta hu Bhai No 1,,1
@mbilalkhan1766,1 year ago,ٹک ٹاکر  برادری کو بہت بہت لانت قبول ہو,,21
@sajidsalaria9133,1 year ago,I can't stop my laugh   ,,1
@pardeepsharma8554,1 year ago,"good job khan ali from india , punjab , amritsar",,1
