Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@user-ub6cw8bd6w,1 year ago,مُحَمَّد ﷺ ہمارے بڑی شان والے,https://yt3.ggpht.com/hFCBHTqkcxepNb-fY9sTf_FY65fIH9a7iibxKLwsBqMhLfsR276DnIQGqntykRtG4-6J-gI2=s48-c-k-c0x00ffffff-no-rj,72
@Noneofyourb,1 year ago,There will be a lot of parents crying tonight about how dishonest their daughters are...,https://yt3.ggpht.com/ytc/AGIKgqN-TcEZ-ucLJaeEFHQGjX9nURmoqOPjGiV8FjaJ=s48-c-k-c0x00ffffff-no-rj,37
@SaniaKitchen,1 year ago,Who is the biggest lover of محمد ﷺ ️,https://yt3.ggpht.com/zJOC3xH_GWeRd17uMpj-edOByjyAhaK1ygbeQWUPydZ5LbdV5rCWJI-w2Zcj8t9CKKZlT33Jhw=s48-c-k-c0x00ffffff-no-rj,196
@ZafarIqbal-qe2po,1 year ago,"Khan Ali is creative, genuious and hilarious all at the same time  - he must be rewarded for his work - Pakistan has to grow out from dishonesty and bigotry. Thank you ",,5
@pathanrasulkhan9181,1 year ago,"We praud as Indian muslim..
Jai hind..",,3
@salmankhan-qg9go,1 year ago,"Hmm, I am a teacher and it's very disgusting to see how our new generation is shamless and surprisingly dishonest. My students no integrity, lie everytime and that too with confidence. As Alexandare Hamilton said ""If you don't stand for something, you will fall for  anything"".",,7
@khan140847,1 year ago,This is the state of honesty,,15
@atiquemian7825,1 year ago,"Unbelievable, no honesty. How do we expect their kids going to be honest. I am shocked",,26
@ImranKhan-ri7ly,1 year ago,حضور نبی کریم ﷺ نے فرمایا : جب تم حیا نہ کرو تو پھر جو چاہے کرو ۔  بخاری :3483,,38
@rajugurung5340,1 year ago,Love from nepal 🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵 sir nd sister amazing love u ,,5
@khanmohammed2826,2 months ago,Shows how honest people are in Pakistan these days.,,0
@aounshahid9846,1 year ago,I am big fan Hazrat Muhammad PBUH,,1
@ammazingchannel1161,7 months ago,This is the level of  honesty of our common people & we expected an honest leader how it possible Nabi s.a ka qool hai jaise awam waise hukumran,,1
@unbekannt1168,1 year ago,"Kese kese loog rehte hain yaha pe
Hadd hote hain ",https://yt3.ggpht.com/ytc/AGIKgqPwo3irTT3Xx9OYnkqjBxjPagSV9GSrvaGJtK-9=s48-c-k-c0x00ffffff-no-rj,7
@user-rm7ge9tc4c,1 year ago,خان علی صاحب اللہ تعالیٰ آپ کو جنت الفردوس میں اعلی مقام عطا فرمائے آمین آپ کو حج و عمرہ  کروائے جس طرح آپ لوگوں کی طرف توجہ فرما رہے ہیں اُن کی مدد کر رہے ہیں آپ کو اللہ تعالیٰ ہر مصیبت سے بچا کے رکھے امین,https://yt3.ggpht.com/ty95R7Ocoz5HZ1Y9L-KYyOoGZ3JJ-EMvHPkj60U6Oxnlmas7aAG03phm2IhxgbCZWQcGePUZ=s48-c-k-c0x00ffffff-no-rj,5
@mazhermuhammadkashmiri3445,1 year ago,One of the best example of honest peoples in my country,https://yt3.ggpht.com/ytc/AGIKgqMZnlCICE9QQewzeH0oUStxbGbvm4uXcg2BVw=s48-c-k-c0x00ffffff-no-rj,2
@rafiquerafique6344,1 year ago,یہ ہے ہمارا معاشرہ ؛ جھوٹ کا پلندہ ,https://yt3.ggpht.com/ytc/AGIKgqNM4HC0f04LD3v4G0OEMqbXw7KRSfG6naCZ_g=s48-c-k-c0x00ffffff-no-rj,27
@pathanrasulkhan9181,1 year ago,"Khan ye kaam se aap logon ka sahi chera samne late ho..
Brave men...All the best ..bhai .",https://yt3.ggpht.com/ytc/AGIKgqNljX-Bv6XLK-xWyXKjihEjFtkjNkkhaiFk-A=s48-c-k-c0x00ffffff-no-rj,1
@MuhammadArslan-rw1td,1 year ago,Khan Ali Pa Ji Tuhada Show Entertainment Leii Boht Wadiya Wa 🇵🇰,https://yt3.ggpht.com/ytc/AGIKgqMMrK3XYUUXsSxQaEYoDCfg_D3SDPACd1WxzDXrSbrpUuT04IxWA5AIqItFud_V=s48-c-k-c0x00ffffff-no-rj,0
@user-bc8yp2tu2z,1 year ago,شائستگی اور پرورش کا فقدان اور جس دن باپ اور ماں فطری طور پر حرام مال کمائیں گے، وہ اسی فطرت کا بچہ ہوگا۔ دعا اور خدا پر ایمان ہی وہ ہے جو آپ کو بچاتا ہے اور آپ کے درجات کو بلند کرتا ہے۔,https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj,6
@ahsamkashmiri6347,9 months ago (edited),توبہ توبہ خوبصورت لوگوں کا ضمیر بہت کالا ہے۔۔ ,https://yt3.ggpht.com/ytc/AGIKgqPhmquwCxY562SU5fPS2RGWtDB94KWUmIOSQuamBQ=s48-c-k-c0x00ffffff-no-rj,5
@alaahoruskeyrasoolkibate,6 months ago,Jab tak parda nahi ho ga imaan b nahi ho ga ,https://yt3.ggpht.com/JH3GUF3LX7HVcIuviSEBPmtvYKWeOwGDPU2ycWoccSaF6ztaJmC2FijwzqBwJybT8HWNf_qEH1U=s48-c-k-c0x00ffffff-no-rj,2
