Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@benjaminfranklin2776,5 months ago,"I'm 58 and my wife and I are VERY worried about our future, gas and food prices rising daily. We have had our savings dwindle with the cost of living into the stratosphere, we are finding it impossible to replace it. We can get by, but cant seem to get ahead. My condolences to anyone retiring in this crisis, 40years nonstop just for a crooked system to take all you worked for",https://yt3.ggpht.com/Zh4jrvI0RGc1eiVTqUIoXO3zlMx1nrKbZZmX0_r8VPBTqxvXtv44gKuuKr7nOXGnJoC_ynJAog=s48-c-k-c0x00ffffff-no-rj,32
@user-no7hs6qz3s,5 months ago,ماشاءاللہ بہت ہی عمدہ پروگرام ہے,https://yt3.ggpht.com/ytc/AGIKgqO7ahdKnLRj83LojZ-WOY6AfveJ0JD801KeKnSRzQ=s48-c-k-c0x00ffffff-no-rj,3
@Abid234,2 months ago,Who lovers hazrat Muhammad',https://yt3.ggpht.com/OU7UipG8VaKUU8iqStwOxPnL5zRwH56nvT5cGj_pPosbgIvTolHoxP-Qn-l09gn1soqLEl_3=s48-c-k-c0x00ffffff-no-rj,5
@user-pz2ik5vd4m,4 months ago,Watching from USA 🇺🇲best Ali bai,,7
@sukhwindersandhu9489,4 months ago,Very good job brother Ludhiana Punjab India 🇮🇳🇮🇳🇮🇳🇮🇳,,9
@ramjibk3067,5 months ago,Big fan I'm from Nepal ,,14
@alihussainali4915,7 days ago, love you Ali bhai From Pakistan ....Gilgitbaltistan,,0
@sajidiqbal2725,1 month ago,Watching from Canada hahahaha,,0
@sajeemmanjeri,4 months ago,"appka sara video ham deka bahuth achahe i,m from india ",,5
@wikistones7268,3 months ago,Hahahaha very very nice khan Ali .,,0
@amirkhan-sy1nc,1 month ago,good job ,,0
@birdsbeautyofficial6124,2 months ago,Hahah im from multan khaan bhi love u,,1
@polarjtt6460,5 months ago,🖒,https://yt3.ggpht.com/ytc/AGIKgqOVEeYYTanxIxRdF7yTesFEkzZt-VW7mfL8esKDumm6Mer6letgHPUxqGv8p4GO=s48-c-k-c0x00ffffff-no-rj,0
@ImranRajput102,2 weeks ago,,https://yt3.ggpht.com/v0OxA9dnuaQ7RzGu-zUAx1llcCuDBbqd0UX2i4TU4CxuR1s85UbGvM5lnxjXAzRVZe1AwR1Jkgw=s48-c-k-c0x00ffffff-no-rj,0
@aghakamiofficial8909,3 months ago,,https://yt3.ggpht.com/6kYHd9uz6256fk5JF3MP5flrbqUFx8q9ZUVaBVBaI0aE6GVAzMKb0wSrBTAph6u8bhLpphEt=s48-c-k-c0x00ffffff-no-rj,1
@mahmoodgujjar8507,2 months ago (edited),Very nice I Love  Khan Ali  Bhai G ,https://yt3.ggpht.com/ytc/AGIKgqPuUjGUbhV0LGgvCEGt0T2A11W-VKSne7vOeg=s48-c-k-c0x00ffffff-no-rj,0
@babarchbabar8698,2 months ago,Nice bro,https://yt3.ggpht.com/ytc/AGIKgqM-60916RFiGsnL-MuPAxLzmcd8RYmCzGbqRcHlNpoyIHOdIZotl6MGb7KAYPhJ=s48-c-k-c0x00ffffff-no-rj,1
@naturtech8051,1 month ago,Zaberdast sir jii khush raho ┌(・。・)┘♪,https://yt3.ggpht.com/ytc/AGIKgqPlYnt5p7BrON84JwNLfuo_iPqA7RewbZChfQ3hcXR9Dt_jCEz_kpEpVR6t-I30=s48-c-k-c0x00ffffff-no-rj,0
@kamrannawaz86,5 months ago,,https://yt3.ggpht.com/ytc/AGIKgqNQNddMe0uaYgadUdxHm7aV-4lpnN70ysGs1nq6KJSlCwyNYrkcNN_5x7Ax0Qss=s48-c-k-c0x00ffffff-no-rj,0
@shaziaghaffarvlogs9376,4 months ago,,https://yt3.ggpht.com/4U_U0OsxU4iGA6K_PFET5whQPCh9ywkSeGOzQvx_iwDKxdZ4E6NnuG_voKoQlRrHi5QLBAX9dQ=s48-c-k-c0x00ffffff-no-rj,0
@kumarjakhu7132,5 months ago, India 🇮🇳 Pakistan 🇵🇰  Jindabad ️,https://yt3.ggpht.com/ytc/AGIKgqMLQSGM2Rh-suukkUYosFgz2IrHDOyLum9Fb0Lomg=s48-c-k-c0x00ffffff-no-rj,2
@hamidfarooq2218,3 months ago,Very nice bro,https://yt3.ggpht.com/Nb679MGBGFqhLOgXCkOrxpf3B9STcPbQuDQjkcSi6s1dyx_pL0StXBjXYgppWHI2ALSrUww5Rqc=s48-c-k-c0x00ffffff-no-rj,0
@IrshadAhmad-fy4bt,5 months ago,Hahaha  bilkull Sahi hy,https://yt3.ggpht.com/ytc/AGIKgqNQl7HqLMRiDG_5XenjRz9YJ7sUNIqTJUz3OSvZ_MVvdIJQzDnTeNUROE28rzo5=s48-c-k-c0x00ffffff-no-rj,1
@naeemiqbal5578,5 months ago,Very good work bro,https://yt3.ggpht.com/ytc/AGIKgqM_MQjPF1PXp-E6pU30W4p4EskVC5-abH14sQ=s48-c-k-c0x00ffffff-no-rj,0
@GoldRecoveryofficial,2 weeks ago,,https://yt3.ggpht.com/qarhf021xa0DP9thJ1qG-9FCYx31QdxRw3pBfgV5OF3P4fN8PC-lAMrO70WRLEFe9dQ0H3k-MA=s48-c-k-c0x00ffffff-no-rj,0
@TahirKhan-hm5qo,4 months ago,hahaha ,,0
@ahmedsajid3787,4 months ago,,,0
@akaunsaya376,4 months ago,Very good ,,0
@musharrafscorpiotelent3099,1 month ago,Khan Ali  Yar tumSocial media pe Itna Zayada mashour ho Pani ka Kaam Zaruri Karna hy ,,0
@flybirdsbird6593,4 months ago,,,0
@mariakhalil6408,4 months ago,Kamal bhai,,0
@rajamajid9667,5 months ago,,,0
@mfaisalnnf7670,4 months ago,🇰🇼,https://yt3.ggpht.com/Q-Cqp5EHpa4We3NQBNh3chD2vUiUnXMHqQ8m3AI7oD7AqmcjwBVadFXRtMecXlGq-GecXGN2Vg=s48-c-k-c0x00ffffff-no-rj,0
