Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@alonehappy9790,5 months ago,Brother Mike's wire is visible ,https://yt3.ggpht.com/E_gouYPzv0w_8l9BNTFA7dMm8HwfIxQ49GyAlLoiG-UJzNuX8r59g73apuYF6OwFd_eE-7PNAw=s48-c-k-c0x00ffffff-no-rj,4
@thestoryofquran8769,6 months ago,Larki ka bat krny ka tarika bhot acha h koi batmizi ni ki appreciated ,https://yt3.ggpht.com/opr-v0m3h4KqerBYLPnY5uajAn-MA8-JVnGGQkbrAx05uLIagatu4-2accUMo5rE2eyhP9Cr=s48-c-k-c0x00ffffff-no-rj,10
@AliRaza-tk4rp,6 months ago,Me bhi Kashmir se ho I love you Kashmir and love you Pakistan Khan Ali very good ️️,https://yt3.ggpht.com/qjSm0QXa8ovdKMuWpJGD7OZMdAYdlk2yVhotGhjMuxncR070YOKJZn044n4iiEXkNGBQMRDfNw=s48-c-k-c0x00ffffff-no-rj,5
@DaniBabaPhones,6 months ago,"Who is proud to be part of (ummat e Mohammad SAW)️️
One Subs For Allah e",https://yt3.ggpht.com/_lPhxhTnLqfoH_9DlGZkPjBQ5NLysKHNoQpOkpXYap2wQGmMxoKgxNE6NwYVhTJ9b3Gg-KpT=s48-c-k-c0x00ffffff-no-rj,12
@nxtraja9197,6 months ago,Sooo Funny ,,0
@AnwarKhanVoice786,6 months ago,"Hahaaa, khan Ali nice Acting, Scripted prank",,1
@AmmarNasir-hj7qz,4 months ago,"very nice girl and spook with very calm nice person
",,0
@mahmoodgujjar8507,2 months ago,Very nice I Love ,,0
@mdjoynalabdinjoynal9129,6 months ago,Nice bro I'm always watching your video and I'm big fan of u,,0
@abamar1831,4 months ago,,,0
@waqasvirk1244,6 months ago,️🇵🇰,,0
@vlogsofficial8504,6 months ago,,,0
@malikchheena1338,6 months ago,,https://yt3.ggpht.com/ytc/AGIKgqNsRycjQJuI-AlzuZ_7XfXeCi_4dcM-3W1GdYMkE-LqoC2U27ho0zZZ-7hrir56=s48-c-k-c0x00ffffff-no-rj,0
@sadaqatali56tiktokerjustfu5,6 months ago,Nice  vdeio please 2cd part coming next vdeio,https://yt3.ggpht.com/eLKbEiqhdxEXNRLrJ-QJ-9oz0YcfL1kW4yGPIt7y1gq-WwoEmUnTLAiFqr0vj665UZMLTfop9zY=s48-c-k-c0x00ffffff-no-rj,0
