Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@WaseemKhan-jv1bg,4 months ago,I Love My Allah ️️️️️️️️️️️️,https://yt3.ggpht.com/ytc/AGIKgqMv_1BZ89VkGuYOdLT3EFPS-6HRwRMDZwLWa16dBByqAdFwyMKU0Wpoh98kQqYr=s48-c-k-c0x00ffffff-no-rj,52
@theycallmelodhi_,3 months ago,This should be a gold digger prank ,https://yt3.ggpht.com/e8DONbd7OEB52wcZ8U0e4ihH1HAC927cHgLyRzJr5c2iG-o0D9cBJBhDnqJtqnGIzovqLQpG0w=s48-c-k-c0x00ffffff-no-rj,11
@Abrarkhan-op9rx,2 weeks ago,Pata Nhi 10 minutes beth to gya h isky sth beshak Prank tha,https://yt3.ggpht.com/ytc/AGIKgqM3H3iRNWYLAghSYt2f3_STA1S5Rjd2C-G2fAdJ8g=s48-c-k-c0x00ffffff-no-rj,1
@mohammadalivlog1859,2 months ago,"*دنیا میں ایسے لوگ بہت کم ملتے ہیں یا شاید آپکو کہیں نہیں ملیں گے, جو آپ کے غم میں برابر کے شریک ہوں... جو آپ کے آنسو دیکھ کے اپنی مسکراہٹ کو چھپا لیں...*",,9
@YaseenKhanjui,4 months ago,"Someone will marry him too, look at his appearance",,7
@vicedailyofficial102,4 months ago,Pechay azan ho rahi ha jes ny note kiya like kar,,24
@wasimfitness7620,2 months ago,"She wants servent in Husband.
King of pranks khan Ali ",,2
@jamalmalik4053,4 months ago,Hahaha prank hum awam kay sath hogya wah bhi phlay say fix prank tha,,24
@Navi_Islamic_TV-01,2 months ago,Maza aaya ,,5
@manzarbabababa1210,4 months ago,plzzz part 2 ,,5
@azizwave1396,4 months ago,She Looking Husband + Manager,,7
@ameeropridayyy7743,4 months ago,Khan Ali boht khob...Love and respect from KpK.peshawar,,5
@birdsbeautyofficial6124,2 months ago,App k hr video kmal hoti ha tension free hojate ha kherr ho apki,https://yt3.ggpht.com/5FQ0TAsFz5ilQoDkoVtvBOkA4Iv7zV3xLAK312Zc-9E_gAEhGwo6mKny7a7FGIOHSr6e0YzCIF0=s48-c-k-c0x00ffffff-no-rj,0
