Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@zakirzawarqaiserabbashaida8825,2 months ago,علی خان بھائی اس معصوم لڑکی سے اپ معافی مانگ لیں یہ بہت شریف لڑکی ہیں اور بھولی بھی تھی مولا اسکا اچھا نصیب کرے,https://yt3.ggpht.com/QAi9usprIr4-4iXpt3XtwXv_djIVPPYrq5eru0PYfzA1mW87b-0CT9edEU-oJsgHhch60rg3vQ=s48-c-k-c0x00ffffff-no-rj,17
@ukabunkotal,13 days ago,یار اس طرح نہ کر ۔ اللہ سے ڈر ۔ اللہ اس بہن کے نصیب اچھے کرے ۔ اس کا بہت اچھی جگہ رشتہ ہو ۔ اور پوری زندگی ایمان پہ گزرے اور خاتمہ ایمان پر ہو ۔ آمین یا رب العالمین,https://yt3.ggpht.com/ytc/AGIKgqNEQTY_LaP6OPPKawuS0gNrqsQb-O4g4dEgnXFw_MjhOFhV8DIUVmWpL0th2UcG=s48-c-k-c0x00ffffff-no-rj,3
@mehndidesignshairstyles7980,3 months ago,Bohat achi larki hai Allah SWT isska naseeb acha karay,https://yt3.ggpht.com/Z4JolFu-aEXBZZY4RDv-qfDmkDfFsXqpo-WIbSmUOiOzKIXCMgjVtlquxe-cPIKR1MlNX9XQ=s48-c-k-c0x00ffffff-no-rj,39
@mahmoodmaseh4157,2 months ago,She's good girl God bless her and give her according to her heart,,6
@hameedjan3436,3 months ago,Aesa Naa kare Khan Ali please ALLAH KA VASTHA,,18
@muhammadjunaid9656,1 month ago,such a good actress 100%,,0
@sajidiqbal-mt9og,1 month ago,دل توڑ دیا یار,,1
@QasimAli-js5hg,3 months ago,ظلم ہے زیادتی ہے بندہ بڑی امیدیں وابستہ کر کے گھر سے نکلتا ہے ,,37
@villelogsanjupop1m,3 months ago,"Ali brother, you did not do good by calling the girl poor. 
The poverty of the girl has disturbed the news. ",,9
@azimkahan8391,3 months ago,یار  مزاق تو  اپنی جگہ لیکن آپ نے دل توڑ دیا  بچاری کا۔ آج کل ایسی لڑکیوں کی  مدد کرنی چاہئے  ۔پتہ نہیں  اس کی کیا  مجبوری  ہو گی اور  وہ ایک ٹیچر  بھی تھی۔ آپ اس سے معزرت کریں ۔ اور اس کی مدد کریں ۔ مجھے  اس کی  حالت پر بہت  رحم آیا ۔ الله  تعالیٰ  ایسی لڑکیوں کی  اپنی خزانہ  غیب سے مدد فرمائے  تاکہ وہ اپنے گھر کی ہو جائیں ۔,,39
@abidentertainment5249,2 months ago,Masha Allah,,3
@alizeeshan9020,3 months ago,Ali bhai first time dukh hova aap ka behave dakh kr kisi asi video na bnaye jis bnda tot hi jayeallah is k naseeb achy kry,,9
@abidbashir9969,3 months ago,Allah kre ye prank public ke sath ho.eese mjbor lrkiyon k sath ni.,https://yt3.ggpht.com/ytc/AGIKgqMQG23cx3xETFC-FfyPwxU8k6S_m-pa0jpU5A1lbBhmoBAgnq7pw2YIp4cBfqYP=s48-c-k-c0x00ffffff-no-rj,7
@aftabahmed1599,3 months ago,She is very nice quiet girl thi good job bro I’m from England I like it one more,https://yt3.ggpht.com/ytc/AGIKgqPLhhKcVo1CG57_6NWTG6oK-Eh_wUpBWyNLqg=s48-c-k-c0x00ffffff-no-rj,8
@user-fi9gh6jc8d,3 months ago,Love you   from USA 🇺🇸 ,https://yt3.ggpht.com/zZJoksW_Kalzjyf4BbtgsA0F5YIYQ3EgTZlAIRKl7tjgXIuphF_ZVQDY5SDUOhDsd5-vOxSlmg=s48-c-k-c0x00ffffff-no-rj,6
@sharifshahzad9918,2 months ago,Best khan ali hhhhh,https://yt3.ggpht.com/ytc/AGIKgqPcmNEZqbE7cDkQ8x1G7fNoqj_8Cvgq1rGZ09dKPWoBzVfqG6Sied0A0ko7vRTr=s48-c-k-c0x00ffffff-no-rj,3
@hfygut8226,1 month ago,Allah pak Pakistan 🇵🇰 ki garib awam ka mdd kare Ameen️,https://yt3.ggpht.com/ytc/AGIKgqPP2Got0ZvRUNX-tIbvIcUoNbj_KTuEDS7wLADwWO_08UVL_SJDFj1gqKC9XX0m=s48-c-k-c0x00ffffff-no-rj,0
@faizanartist6048,3 months ago,O loro kise ka dill azare nhi krty ,https://yt3.ggpht.com/4Sfn0DMJP1nRQ-iX44KJQej0VDWZI1w3OUkT4K02hLtkA5ul35AnYXn8TFbAXZA4-kXvEM9KVg=s48-c-k-c0x00ffffff-no-rj,7
@theprofessionalpatangbazi8354,2 months ago,Ali bahi I see your clip lot of you are real hero if you make a Islamic movie and you come to hero inshallah that movie coming of no 1 movie in the world ️️️,https://yt3.ggpht.com/7w2bg-eYEoAEQ0x4Xcp7gf_Go1TnQ5JX6s_otlEe_crWyL5wmghX4m6SmQLHwSohYY1tI5AUFQ=s48-c-k-c0x00ffffff-no-rj,2
@mshamim282,3 months ago,"Khan Ali burri bat ha, esa serious mazaaq na kiya kro logu k sath",https://yt3.ggpht.com/ytc/AGIKgqPOdgsi6r5nNiJbmmBHaGJn5bDFxCABZb07OQ=s48-c-k-c0x00ffffff-no-rj,5
