Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@thewishmaster2353,7 months ago,"My prayers are with all the people affected by the flooding in Pakistan, may god restore peace, and harmony to all affected ",https://yt3.ggpht.com/ytc/AGIKgqPf5fKaCx2X4EOfnPNxQIrbCMgjCTBfCazpRw=s48-c-k-c0x00ffffff-no-rj,12
@Shehroz_vid,8 months ago,ناکامی کا منہ انسان کو اس وقت دیکھنا پڑتا ہے جب ہم کامیابی کے حصول کے لیے اپنے الله کے اصول توڑ دیتے ہیں,https://yt3.ggpht.com/djqRG9bXIDWENZOpAt9G3T9GQD1Pvt_U6mK0BgbDavtzaustpF-LRCI4Ci0xTq3I8t2fwzzHNys=s48-c-k-c0x00ffffff-no-rj,23
@mdshemul6962,8 months ago,️️️,https://yt3.ggpht.com/ytc/AGIKgqMOaH5WF6DM5bkcNgzc3FXinKeEjmI7-50BNw=s48-c-k-c0x00ffffff-no-rj,9
@himmatkumar6117,8 months ago,Love u paji from Punjab india,,7
@HamzaOfficials,8 months ago,wonderful sharing ,,6
@worldknowledge88,7 months ago,,,1
@rajamehran1102,7 months ago,Hahaha haye haye mast video maza aagaya ali bhai ,,3
@salamhabibsalam6901,7 months ago,"مرشد آپنے ماں جیسی ہستی کے نام پے دس ہزار روپے نقد رہیں 
اللہ پاک دس ارب روپے آپنے خزانے سے آپکو عطاء فرمائے آمین آمین آمین آمین آمین 
باقی محترمہ صاحبہ کی آپنی نیت",,16
@skynewsnetwork4682,8 months ago,خان بھائی آپ نے اچھی نیت سے پیسے دیے ہیں اس کا اجر اللہ پاک آپ کو دے گا باقی اس کا اپنا عمل ھے وہ جھوٹ بول رہی ہے یا سچ بول رہی ہے ۔,,19
@edwardjones5041,8 months ago,"Ohh yaaar,  aap to sach mein mazzey daar pranks banatey hain !  ",,8
@sadosadoali3198,8 months ago,Nice,,5
@rustamali507,8 months ago,Khan Ali zabardast ,https://yt3.ggpht.com/ytc/AGIKgqNHJcYJqZeNGUgt2pEfOwceScz33TaxRxWjXgiM_76nIkcdrqyip1KC7EOo8d5N=s48-c-k-c0x00ffffff-no-rj,7
@prakashchand5554,8 months ago,"V gd work ,help Pak ladakiya acchi h, shareef h, gd job Ali bhai",https://yt3.ggpht.com/ytc/AGIKgqPQ-2pLIN1Jt_SnrHV6-5yGTWfUZ_24XY4-=s48-c-k-c0x00ffffff-no-rj,7
@azhershah3034,2 months ago,good,https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj,1
@naveedhassan9219,8 months ago,YES PART 2 PLZ,https://yt3.ggpht.com/ytc/AGIKgqNGqnTD7wUG1BCzv-snIUBJ5yjB4S0axCdaJw=s48-c-k-c0x00ffffff-no-rj,6
@sharifshahzad9918,8 months ago,God mere ustad ji ,https://yt3.ggpht.com/ytc/AGIKgqPcmNEZqbE7cDkQ8x1G7fNoqj_8Cvgq1rGZ09dKPWoBzVfqG6Sied0A0ko7vRTr=s48-c-k-c0x00ffffff-no-rj,4
@asifrana202,8 months ago,"Khan Bhai aaaap bohat meetha Bolte ha 
Stay blessed",https://yt3.ggpht.com/ytc/AGIKgqO_9Vz7vnitK4MT7Sj8ZCwSxZaTdhe8ngUUN5owIA=s48-c-k-c0x00ffffff-no-rj,6
@AhmadAli-fw5wv,8 months ago,part 2 plz,https://yt3.ggpht.com/FeLRjGEXapgiRfm_vmQdvNikgx2feuYBnP81TaM-Jid1RETK-bpd9KMxn_ujIt5NNoeSOMc_QQ=s48-c-k-c0x00ffffff-no-rj,11
@Hindikikahaniya626,7 months ago,Very interesting video bhai️️️,https://yt3.ggpht.com/ZH5Vy4B_fbs4wTMqEMhgVvNmqRhOYN0STNZJwAS6ZVlV5U4jWtL-1o6RIyFas21Iv-kkYBkJbA=s48-c-k-c0x00ffffff-no-rj,2
@alimujtaba6456,8 months ago,"Kal dobAra 10000 ly kr Ana.. 
Allah pak sab KY liye asaniyan paida kre",https://yt3.ggpht.com/ytc/AGIKgqOs2oaRKqpX8-dhOtH_YQA_SP74Xo2FJKfvAA=s48-c-k-c0x00ffffff-no-rj,4
@tauqeerkhan224,8 months ago,️ bhai iske face pata chal raha hai dhokha degi ,https://yt3.ggpht.com/9uS3FDRIq1ZFnhI7ADCgZeImFzdRQpEjaMKKjcNhCHz4HLsm7aSsPYZYMc23_BHUfM_mKFAHrg=s48-c-k-c0x00ffffff-no-rj,3
@azharnaaz2,6 months ago,,https://yt3.ggpht.com/tO461R_oShGVtEc7d1Fy4-aKu8Q25br4qcWZRCBaBaHY9WIKwWXVH_Bk5QJX68hIg1KIKLA8vVU=s48-c-k-c0x00ffffff-no-rj,1
@jaggisingh7050,8 months ago,love uu pajii ,https://yt3.ggpht.com/byH9DyhGdikWoj-IsG2e5e0bGxnobKD77zAzF8opuhezessathSlem9THK13-P840aZJ_U7fY2I=s48-c-k-c0x00ffffff-no-rj,8
@aliasif720,7 months ago,God🇵🇰,https://yt3.ggpht.com/ytc/AGIKgqNQgziHg-foS3iRQ1iyDDSpMFTCmDhZcb2HGA=s48-c-k-c0x00ffffff-no-rj,1
