Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@pssandhu9908,10 months ago,always great videos love from punjab🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqMv-fNR_QysobXkQynoN1IvRxYjktqQvL3X3qrfeQ=s48-c-k-c0x00ffffff-no-rj,11
@saramalikofficial125,1 year ago,It's so nice to hear from you ,https://yt3.ggpht.com/Kg4t13OlArq3kzPbpRil-JhfNrkVrNPdjfBMrCoCFINz9Z6a2mhBcdinjeJ0UvzCRrvr3qHFtw=s48-c-k-c0x00ffffff-no-rj,18
@user-yl4ur4in1m,1 year ago,Love you Ali veeree. From punjab India ️️️️,https://yt3.ggpht.com/Ltg1gvdsPGurHeKhQDHpcKIBvZvhgVIPCU--oNCphUMNHBveK-JkjZst1eOrMsWvbEfcV4Wh5ds=s48-c-k-c0x00ffffff-no-rj,19
@thalcreations5626,1 year ago,"One of the people who support this  will be a billion one day  """""" """""""""" GOD BLESS YOU """"""""""""""""""...........",https://yt3.ggpht.com/qQ6jc3zlVD0wezPozeqJmnfZf0KfM_4looDPIwijsGBYuQcGSOhKEsah4QAVnTf6-FPtiPGH=s48-c-k-c0x00ffffff-no-rj,21
@sirfwali1200,11 months ago,I am from Indian mashallah Ali Bhai Zabardast prank,,6
@zafaraesakhelvi240,1 year ago,Beautiful ,,6
@rashidhanif3536,1 year ago,"آللہ تعالیٰ سعودی حکمرانوں کو لوگوں کا درد اور دکھ سمجھنے کی توفیق عطا فرمائے لوگوں کے چولہے بجھ چکے ہیں براہ راست جانے کی اجازت دے کر مخلوق خدا کے لئے آسانیاں پیدا کریں وہ ملک بھی تو ہیں جو واپسی پر کرونا ٹیسٹ بھی نہیں لیتے۔اللہ تعالیٰ پر کامل اور مکمل بھروسہ
رکھیں۔",,18
@navjotsandhu7456,1 year ago,Love you Ali bro from panjab India ,,12
@kuhrramsahzad2990,1 year ago,,,3
@atarsingh9960,1 year ago,Bahut wadhia ji bai ji Dhanwad ji,,7
@rashidhanif3536,1 year ago,زبردست خان صاحب,,5
@naderk1356,1 year ago,Bhai lots love from india ,,10
@musafartv8293,11 months ago,Good video ️,https://yt3.ggpht.com/wd3UXV1E3PodY8kDonDJe80Pvd9hPi0F7NnoUk5aDuFTdMDSuXmQULJ7LXL-WzMdgEzXT3P9=s48-c-k-c0x00ffffff-no-rj,3
@sikanderali9273,1 year ago,"Hehe kamall bhai
Love you Saudi Arabia se️",https://yt3.ggpht.com/ytc/AGIKgqP4uVr2uLH2xFksJ4qZ6cKG9J2VIYlVRASv18rbJJbW5x-ROUmR-rDzcMr5yJm2=s48-c-k-c0x00ffffff-no-rj,5
@faizzafar5697,1 year ago,Lajawaab Punjabi bolti ho..aap Waah.. ,https://yt3.ggpht.com/ytc/AGIKgqPpC8639SW2oasU3aBm6A8xcuKoi6yViQvO2g=s48-c-k-c0x00ffffff-no-rj,5
