Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
@ihmislamicbayan8578,1 year ago,دنیا میں سب سے خوبصورت جوڑا حضرت محمد صلی اللّٰہ علیہ وسلم اور بی بی خدیجہ کا ہے۔۔,https://yt3.ggpht.com/MK0h8yq47JdOUAWqB9HhSf8xqApV4UTDbFTcR0fZ1VRt95vJw4dSfvmC6oZljtHiFWKJDhjG=s48-c-k-c0x00ffffff-no-rj,189
@xenialxerous2441,1 year ago,"You truly are a gentleman, I really liked that about you. You are so calm and composed. Very sober and commendable act.",https://yt3.ggpht.com/ytc/AGIKgqOr1CHcNpupWgFU2gnwsSyjqG0RDKQRJEQIOMx0wN4=s48-c-k-c0x00ffffff-no-rj,10
@factmind8186,1 year ago,یا اللہ تعالیٰ سب کی مشکلات دور فرما اور سب کو خوشیاں عطا فرما آمین ثم آمین ️️️️️,https://yt3.ggpht.com/hcqIL2qlwOr98vOygYzpsj5IuwmNopMvNQrhd2WXTElg4CbwfFCyCajFVvv5bq9jiNk7TMBoOQ=s48-c-k-c0x00ffffff-no-rj,120
@jacktom9575,1 year ago,The first girl is so cute and innocent ,,37
@ZafarIqbal-qe2po,1 year ago,"Khan Ali super hilarious wow - very funny ,  he speaks his mind ",,4
@gopalsingh3836,9 months ago,"सर आपका बोलने का अन्दाज बेहद अच्छा है मुझे आपका विडियों बहुत अच्छा लगता हैं ,अजमेर शरीफ हिन्दुस्तान धन्यवाद।",,1
@saimak5336,1 year ago,Amazing  love from🇮🇳🇮🇳,,16
@najeemhussain4019,1 year ago,Khan ali saab you're great talented actor....your favourite dialogue( batmeeze ni karni mere nal) allaha bless you khan ali saab from (jammu & kashmir),,14
@mtjawan1551,1 year ago,"hahahaha Brother Excellent work..

And one of the best prank of u... Very cute both of u specially 1st girl",,5
@tajveer3333,9 months ago,Very nice  funny videofrom India punjab,,1
@danishdani4558,1 year ago,"Kmal yar 
 u r legend of laughter khan ali amazing prank star",,5
@abubakarrasheed4871,10 months ago, very funny ,,2
@batmeezofficial9699,1 year ago,You're A Great  Prank Star ... luv u Boss,,6
@sidhumoosewale240,1 year ago,Love it ️,https://yt3.ggpht.com/iyymrm7kMya7_HMIRAMaOi5MCJqx0zotZU7GRD_CnRuQdwR3owKw-K8mOdZbEqSnEzcd7A3o=s48-c-k-c0x00ffffff-no-rj,12
@nocopyrightmusic8144,1 year ago,The strongest people make time to help others Even They Are Struggling With There Own Problems Your One click Can change My Whole Life. God bless You,https://yt3.ggpht.com/80sKoj5MRee5v6PxhE5ojJbUPCkeGoRRU5IBbg921kbq0RSOujqRbKnNs1PH6XczQqjGamQi-A=s48-c-k-c0x00ffffff-no-rj,6
@ALI-hr6zq,1 year ago,KHAN ALI IS BIG BOSSS OF MY LOVELY PAKISTAN...LOVE FRM KUWAIT CITY,https://yt3.ggpht.com/crYj9uBPAR_IVCPWQ7IdIFscbh83avaIM446L3pvTNAsFiFQZHRTRMvuxHQQWC-U-S0ZNY02ag=s48-c-k-c0x00ffffff-no-rj,12
@Vicky-xv9ct,9 months ago,khan bhai aapke pranks sabse best hote hain ........,https://yt3.ggpht.com/ytc/AGIKgqOdJWQPzdDPXz4XTMZPnIgqQm4pM2BhoP5aMw=s48-c-k-c0x00ffffff-no-rj,0
@grparvaaz9820,1 year ago,I'm from jammu and kashmir very nice video ️️,https://yt3.ggpht.com/j7a3esM4039HDUztGAmSPECOkcRC12UlLKn0Qq9Vz6wVlgxEyaJjotwhA0Kvrosb30Y_zzQ7Xw=s48-c-k-c0x00ffffff-no-rj,3
@tumsabkijanbhaijan7732,1 year ago,ALLAH ap ko salamat raka bahot hansa te ho Khan bhai zinda bad ️️,https://yt3.ggpht.com/i9UcogOpnK2HB6-zwWUD0qIicOckOUGwRCM6tmPErq_9ezJhHCHQ6_T-OT6KbkCBqKEC2_Bs=s48-c-k-c0x00ffffff-no-rj,12
@malikkhizarshoukat5320,1 year ago,"Very nice and decent prank, first time urs prank is fantastic urs urdu is also very good",https://yt3.ggpht.com/ytc/AGIKgqMq1maGWBKzxzVl3ECZ_Z5VFB6GfiPTvA1mHg=s48-c-k-c0x00ffffff-no-rj,6
@zainkhan4110,1 year ago,That was extremely cool...I appreciated man,https://yt3.ggpht.com/eXrNBzqIamCFitQw8CDCL_pZ0DOFem3n5jgFf_i5YEGCa0P9zUP4h9zvntwNx78Tc_wSiCxwxQ=s48-c-k-c0x00ffffff-no-rj,8
@farmanhussain4208,5 months ago,Khan ali kia Baat hain nice,https://yt3.ggpht.com/ytc/AGIKgqPQrcl0PmwVj8mekoIM25wQq91bB7tRJwz_X9VgyRwda7npBfskn8z7xZYU9g1T=s48-c-k-c0x00ffffff-no-rj,0
@goharmasood6977,1 year ago,Khan Ali is a champion ,https://yt3.ggpht.com/ytc/AGIKgqMFt-wKSzVzKF5_1BV10iPT9-PFsckPURBoYV1Q=s48-c-k-c0x00ffffff-no-rj,2
@jibreelahmadjibreelahmad1373,1 year ago,आपका प्रैंक साफ सुथरा है अच्छा लगा,https://yt3.ggpht.com/ytc/AGIKgqNOKcDyToW4K_qLQuD_b4fHC8SlwpZAOQy8DQ=s48-c-k-c0x00ffffff-no-rj,1
@sumeshsaini7062,1 year ago,Get together for two minutes   Khan bhai do original pranks ,https://yt3.ggpht.com/ytc/AGIKgqMhHPnlkt6hl5IQTIskhWqxjF75tGF5CJPNLg=s48-c-k-c0x00ffffff-no-rj,4
@Villagelife111,1 year ago,Good man great work keep it up you're making smiling every people on the face,,12
@gujranwalacagemaker5915,1 year ago,یااللہ خان علی بھائی کو سیدھا راستہ دیکھا آمین,,4
@ArunSharma-rf5yu,8 months ago,"वेले लोगों को सादर नमस्कार,जयपुर इंडिया",,0
@edwardjones5041,8 months ago,Ohh God !   Kassum se bohoot interesting pranks hotey hain aapkey.,,2
@catlover6577,1 year ago,"Beautiful video  
Love ️ from Canada 🇨🇦 
",,0
@mrtunialbum4541,1 year ago,Khan Ali World wide Star ️,,13
@mrbharat696,1 year ago,"Khan ali make video , with girls clean flirting and appreciation on beautiful and suits,,, it's  going next level ,as well as pro.  Love you khan  bhaiii",,8
@mmd1139,1 year ago,"اچھا شوٹ کیا خان صاحب دونوں لڑکیوں کے ساتھ 
لیکن پہلے والی لڑکی کی باتیں اور وہ خود بھی بہت پیاری ہے سچی",,3
