Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Syed Faateh Sultan Kazmi,2 years ago,MaShaAllah you're doing great. Mostly pakistani university students are unaware of market trends. It is great to have a mentor/guide :),https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,4
beluga,2 years ago,"honestly, im thankful your providing so much valuable guidance on youtube. This is all i needed <3",https://yt3.ggpht.com/ytc/AGIKgqP8wo0mMEOP_O2zxXqugfABB4FOl_tNkSJCj_7X3pHj0rbl_fDEmWe9PB8u0DwO=s48-c-k-c0x00ffffff-no-rj,7
Motivational World,1 year ago (edited),"Assalam-o-Alaikum Sir!
I hope you're doing well. Sir I've done my bachelor degree in Computer Science. Please tell me which one is better MS Software Engineering or MS Engineering Management??",https://yt3.ggpht.com/tU5hWmd8-0CmMcqnUNF6mWAH86FJOtxI6gby2Z9-weXxfle8OdQMgeCeBkuv3DuVo3JvgzJWg7E=s48-c-k-c0x00ffffff-no-rj,0
Rohail Iqbal,1 year ago,Sir I am currently learning Java( spring boot ) as a 3rd sem student so should I stay on this or go for another domain ? But I am highly interested to be a full stack Java developer,,0
Syed Faizan Abbas Kazmi,1 year ago,"Brother, When to Start Internships and how to get one? (i.e :- During BS) (1st sem, 2nd sem?) And where to get that extra knowledge that cuts you and the rest?",,0
Muhammad Uzair,1 year ago,"this live video teach me alot 
thanks sir for guide",,0
IMRAN YOUNAS,2 years ago,"Thank you so much sir ️
Aap ne itni saari jo myth th vo clear kr di hai or sir yeh channel apka bht help kr raha hai. Thank you again ",,2
Ali Jutt,1 year ago,brother i am you fresh subscriber first of all i will highly appreciate your content MashaAllah it helped me a lot to get my answers of different queries....! bro i am doing BsCs from Bahria university islamabad....i want to know what is the salary of a fresh BsCs graguate ?,,0
Diwan Muhammad Ali,1 year ago,Brother really love what you are doing. It really helps....,,0
Huraira Khan,2 years ago,Really amazing guidance,,0
Muzzammil Asif,5 months ago,Which is better BS Software Engineering or BE Software Engineering?,,0
beluga,2 years ago,"Sir could u make video on guidance? How to start, what language to learn etc.",,0
Farhan Bajwa,2 years ago,Sir when you will host the next live Q/A session?,,0
umar rajpoot,1 year ago,I just found your channel yesterdy and subscribed it as well your content is amazing.,https://yt3.ggpht.com/ytc/AGIKgqNzq1aCekH0tdqGoxAzP4YPh8KI3QeiVf_40uT8=s48-c-k-c0x00ffffff-no-rj,0
Zia Rasool,2 years ago,sir can you guide us in the field of ML/DL/Data Scientist in pakistan?,https://yt3.ggpht.com/ytc/AGIKgqOrI6tTp0IZPYLBTBDzdMk52ztnMdx4KPSUvUFk3A=s48-c-k-c0x00ffffff-no-rj,0
Usama Naseer,2 years ago,What should I answer if company asks me whats your salary expectation?,https://yt3.ggpht.com/ytc/AGIKgqOBTbk9tw0FH1ggVv0aFsdNo73BDt-7a3RJi3Ub5w=s48-c-k-c0x00ffffff-no-rj,0
Zain Khan,9 months ago,Sir Bs software engineering from sukkar IBA is a good option or Not.?,https://yt3.ggpht.com/ytc/AGIKgqPH5LRfYFWbrNGfoVt0lCa0WHh9qHvn6HXTbQ=s48-c-k-c0x00ffffff-no-rj,0
Syed Muhammad Baqir,2 years ago,Thanku soo much it was really helpful ALLAH khush rakhe apko.,https://yt3.ggpht.com/ytc/AGIKgqNWizBQkl0NW1sNZgWh4u7iRvvD71nVAScatWG1=s48-c-k-c0x00ffffff-no-rj,1
Alizba Ali,1 year ago,As a software engineer kia degree ka PEC register hona must ha?,https://yt3.ggpht.com/Rl2dkbTUz_aqpK_K2qwb3T9QhFs7nP8RXJmLDEXmbvmudD0ORfFenl-xe9JYaBp2ESEjWW7yYg=s48-c-k-c0x00ffffff-no-rj,0
Umer Farooq,1 year ago,Great sir,https://yt3.ggpht.com/ytc/AGIKgqN9GcJjKchgqiDAOcSDujrQyw46MM15ja9rLDMfIi4=s48-c-k-c0x00ffffff-no-rj,0
