Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
GameFactFilez,2 months ago,"Hello sir!
I'm in 3rd year of DAE in ELECTRICAL (I hate most). SO my question is, Can I go to software engineering after completing it?",https://yt3.ggpht.com/mqJyK22hyJp5yBBPX7GIOxl7U7gyUKJmZQaBx0247jbg5QMJbD4U0rgr8aPm8pX7ZnmWghuzOpM=s48-c-k-c0x00ffffff-no-rj,1
Hani,7 months ago,Can you do a video on should you go for a startup or a big company if you are a fresh graduate?,https://yt3.ggpht.com/ytc/AGIKgqPG5SOnOUlI92V_UIE62jG9HPqN_j2dbwbs1w=s48-c-k-c0x00ffffff-no-rj,0
Hina Jabeen,6 months ago,"Assalamualaikum Sir, just exploring your YouTube channel nowadays.  A lot of your videos is about software engineering, university life and the way forward.  My question is that can someone become a software developer without a degree or someone with a non tech background.",https://yt3.ggpht.com/ytc/AGIKgqNe8-c1Yz5rxfZDIbFt3GGti7pqmuau3JeGgSa0nnGjipka6olfBXXsuQx7yxCj=s48-c-k-c0x00ffffff-no-rj,0
Hajira,4 months ago,Sir I am inter part 2 student. I am also willing to become a software engineer. I just want to know from u that is Islamic university Islamabad suitable for this or not?,,0
no iam,6 months ago (edited),AA  brother kindly make video on fyp for SE students and all possibilities and if someone wants to do his fyp with  companies or Arbisoft.,,0
Haris Malik,7 months ago,Ehmed bhai why most of the companies and startups in  Pakistan are service based.? Why we don't build products?,,0
Subhan Liaqat,7 months ago,"Thank you for your sharing amazing content.

Can you please check your mice? You voice was too low.",,0
arham amI,5 months ago,still waiting for the next episode,,0
Hasnain Haider,7 months ago,Best best series ever,,0
M Hassan,7 months ago,Sir kindly make a video on Blockchain development,,0
arham amI,7 months ago,totally worth the time,,0
Hamza Butt,7 months ago,Hello bro recently i apply in university for software engineering and i am selected in Dha Suffa university Tell me bro is dha suffa is good university for se,https://yt3.ggpht.com/nj7lx5NjVYagZZBT4SM8x0ihsmrBor6RL6PwgRwuo699F6hjuFivlLKHIDeQ4gkF9_8Jxn1GtQ=s48-c-k-c0x00ffffff-no-rj,0
ANNAN AKRAM,5 months ago,Sir kia kisi computer ki degree krne ke liye ICS krna zaroori hai FSc pre engeeniering krky agar computer ki koi degree kray tooo mushkil hogi ya nhi please sir make video on this topic,https://yt3.ggpht.com/ytc/AGIKgqMloC6zHte3y8XUpFLUMa79evwDSI3_SpjetJtT1Q=s48-c-k-c0x00ffffff-no-rj,0
A,2 months ago,sir next part?,https://yt3.ggpht.com/ytc/AGIKgqOkEiLKuI-jo7HsTtQpRWEfmd7TBqFTpby2OcU33BSZcK2Zt7B5W-HycpAaIwnV=s48-c-k-c0x00ffffff-no-rj,0
Ali Nasir,6 months ago,Sir ek video Network Architect pe bhi video bana dein ke kia value hai is ki pakistan me,https://yt3.ggpht.com/ytc/AGIKgqPgOg0w-aBQhAgf39CPKP3OkceHFZcAnfm-lw=s48-c-k-c0x00ffffff-no-rj,0
Scot Detchon,7 months ago,Ｐｒⓞм𝕠𝕤𝐌 ,https://yt3.ggpht.com/uFR9z3ke5C47CfVrkY67BKqbzVexxyJ-Rlq4OF6LJs9bL4hJvPgpKGHiHdrh9k1_WvWW5lxt=s48-c-k-c0x00ffffff-no-rj,0
Hasnain Haider,7 months ago,Next episode kb a rahi h sir?,https://yt3.ggpht.com/i47fHO3IcbKcmmIZRKDmHOs6PqqvpHMMVzbqvX0NZ8l10EqbvqiumeX7ZfNDKXqqDTeyy1kl=s48-c-k-c0x00ffffff-no-rj,0
Aizaz Haider,7 months ago,audio volume boht low hai,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Abubakar,7 months ago,Thanks,https://yt3.ggpht.com/ytc/AGIKgqM8BcSmVn5olgWjllDTaUfbN4dqcd0_pE5eMZh8JQ=s48-c-k-c0x00ffffff-no-rj,0
Jony Bhi,7 months ago,plz put Short cuts to jump,https://yt3.ggpht.com/vCeZdnYt5N2NqcE1AhkqU88hnhl0vdgucfjj8za5bDC3RcNm35Zwr1XudUHp1NB1hYwLWL2cXg=s48-c-k-c0x00ffffff-no-rj,0
zakria,7 months ago,Cs ki degree  kisi low fee university ya college sy la lo tu koi farq parta hai ?please anser me?,https://yt3.ggpht.com/L7hERCwebts94mb1z7EwB5JmHhlBo9yj07FOsZuQjRWVi_k4TAsd7YzfhucT--hOZO0uHHmkHXo=s48-c-k-c0x00ffffff-no-rj,0
