Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Syed Ali Hassan,1 month ago,"Finally that you are back, please also  invite cyber security researchers and bug hunters on the podcast. Specifically Etizaz Mohsin, Rafay Baloch and some other famous Pakistani cybersec guys. I've watched some of their podcasts but they weren't tech focused. I believe if you invite them you could have a better conversation with them.",https://yt3.ggpht.com/ytc/AGIKgqPphuD6Yvv6CZzbuXiiYcZDLypjWMrEdUXEZP2_=s48-c-k-c0x00ffffff-no-rj,3
Introvert Person,1 month ago,"such a great masterpiece
love to watch your podcasts",https://yt3.ggpht.com/ytc/AGIKgqMBOzMD_PgVOs3wHMokg1OwegKpctbIj1SIFwxMhkIFjIILNCXwMcDwzhT0JNVF=s48-c-k-c0x00ffffff-no-rj,0
Nyctophile,1 month ago,Mostly project/product managers are from business background. At most you need business degree for this role.,https://yt3.ggpht.com/mt2bovS3EnCNq-AWe8Vr5olBlFkF4oGDjhSi2QSvaivvLuHlgKb_uk9nlNpCeZo-o-HRT35rn0Y=s48-c-k-c0x00ffffff-no-rj,0
Faaiz Aslam,1 month ago,Please invite a DevOps Engineer to your podcast and how to switch to DevOps from as a fresh grad ?,,0
Asad Mehdi,1 month ago,How to start a successful software company in Pakistan.Your content is really helpful.,,0
Saad Ali,1 month ago,"From a DevOps perspective, I might disagree on the point that you have to take all the blame on yourself, but the rest is true.",,0
Ahmed Raza,1 month ago,Ehmad you are just awesome bro.,,0
Adeel Irshad,1 month ago,"Thank God, you are back.",https://yt3.ggpht.com/ytc/AGIKgqN75OP0fmzQGqI2dJV4ymo8osNxLF0ZhXBjfNwJJg=s48-c-k-c0x00ffffff-no-rj,0
Mansha Ali,1 month ago (edited),Bhai please make video. How to crack product base companies like Google from Pakistan as a student. Is it actually possible,https://yt3.ggpht.com/02wu1SnG5NOfH-saCNmRFIi-kfSJkJBLmzfp2esp4AYPz5eUjeKf8Dfl78JuME4hxH0F3TGI=s48-c-k-c0x00ffffff-no-rj,1
The Dark Khan,2 weeks ago,"Usman is the man! 🫡
MashaAllah",https://yt3.ggpht.com/ytc/AGIKgqO_usIgVisTUoi1Bb6roVWkC6pR14i6OdjOzw=s48-c-k-c0x00ffffff-no-rj,0
Fazila Hand Embroidery,1 month ago,Hlo emaad plz make a video how to start a software company.Thanks,https://yt3.ggpht.com/w1JQ9do6Zmn0rNS8bh5Uds_3fX0yMzFLRqgSdCSvLUEB7AbRXkGMaIWwxb-FvuY5fZAhsp05=s48-c-k-c0x00ffffff-no-rj,1
arham amI,1 month ago,awesome man,https://yt3.ggpht.com/ytc/AGIKgqMd7P_MIV3Lj56FKdqs9Zd8Ytz_z7mS-v9FFw=s48-c-k-c0x00ffffff-no-rj,0
Hasnain Naveed,1 month ago,Good one,https://yt3.ggpht.com/ytc/AGIKgqMnyjIKig9Il2_IryLtFzCPiJhO6Fhn6CLMlfvXEQ=s48-c-k-c0x00ffffff-no-rj,0
shaguftakhanswati,1 month ago,,https://yt3.ggpht.com/AkomPgGY1ZG7LJE41gxdH0RQWk43wfPB3g9hPewy4izUGaoNhPjjNSH_MpcRrIwD0sxH_Pm3GA=s48-c-k-c0x00ffffff-no-rj,0
Camper School,1 month ago,Finally,https://yt3.ggpht.com/iGEe7h0OjR5-ahLOIh9UptnokX36beQcw7BwRbot8XllT7Qvy7iCEuPr9rKWVmaVIwGVq8YsDQ=s48-c-k-c0x00ffffff-no-rj,0
Hammad Ali,1 month ago,"YESSS, back again",https://yt3.ggpht.com/ytc/AGIKgqMots0turvZT8XzGBRC4i7aDinXOEv7wX59u1AWRg=s48-c-k-c0x00ffffff-no-rj,0
