Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Arsal,2 years ago,"Thanks Sir Ehmad for doing this. Returning after more than a year, just to recall how this bootcamp gave me the push I needed to pursue a degree in Data Science after Electrical Engineering - more aptly, overcoming the fear of coding.",https://yt3.ggpht.com/VYsSU4T3fhWOpsxHvGyS8LQsem_B_mfd-TX-lmuXepECIou1QpWWP25i0eMFcrWkjl82A1pl=s48-c-k-c0x00ffffff-no-rj,1
Ahmad Waheed,2 years ago,Great teacher :),https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
Jazib Babar,3 years ago,"Good stuff, Ehmad!",https://yt3.ggpht.com/ytc/AGIKgqNX-y-sOXSa_cfutFk8yJbBN7NU8FfLfgmxWebSoBo=s48-c-k-c0x00ffffff-no-rj,1
Ehmad Zubair,4 years ago,Notes - https://github.com/ehmadzubair/python-bootcamp/blob/master/week-1.md,,0
Sehrish Ilyas,1 year ago,Started following this bootcamp today!,,0
Abdullah Tahir,1 year ago,Please make video for django framework also.,,0
Walking Tales,4 years ago,Nicely done,,0
Ejaz Waheed,3 years ago,Great Job man really,,0
Muhammad Hamza Rauf,3 years ago,Sorry Ehmad I am really sorry that I did singed up this course but didn't attended it but I have just started this and will catchup you next week. In sha Allah,,0
Nadeem khan,4 years ago,Great Keep it up,,0
Umair Mehmood,1 year ago,"These are good 

Timestamp:

00:00 Dicussion 
07:27 Prerequisite
09:05 Let's Start
09:35 About Pycharm
10:00 How to run code in Pycharm
11:10 Vairables",,2
Ahmed,2 years ago,Bro keep it up️,,0
rehan Siddique,3 years ago,Excellent Job,,0
sami sid,2 years ago,Brother I am the fan of you... I don't completed my intermediate but I completed my DAE in (CIT) so mujhy konsi university join karni chahiya jahn asani sy admission bhi mil jaye or may apni study complete nh krun balkay waqai kuch sekhon life may wahn sy kuch log mujhy keh rahay hain iqra university may admission ly lo kuch guide kar dain mujhy,https://yt3.ggpht.com/ytc/AGIKgqMofqB3KPfie-ymVdtAVRn0cEVrkaCAC5Z6qmOM=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Zaeem Javed,3 years ago,bht alaa session Ehmad bhai.,https://yt3.ggpht.com/ytc/AGIKgqMlBr5o0GWXX9XMzwispWOkn8QS5qtkjc-tGuQt=s48-c-k-c0x00ffffff-no-rj,1
NFAK STATUS 🌹,6 months ago,"brother i no idea about python how can i start i am a begnier
can you guide me about basics",https://yt3.ggpht.com/XgKOHHfS1PzDavSCvn4Qzgxr8LtWU3t7zntooS5OfUDEPe3we5fsSyhZsP8WRlRnGZ8G4jef=s48-c-k-c0x00ffffff-no-rj,0
Haseeb ahmed,2 years ago,sir which language is more preferable nowadays in the industry....?,https://yt3.ggpht.com/ytc/AGIKgqPRvh596WOK3Ptgq_iLeI68ZGKZ-WL_k45sAQ=s48-c-k-c0x00ffffff-no-rj,0
Hammad Arif,2 years ago,What is the procedure to add in google class room,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,0
Bilal Chughtai,3 years ago,I am in!,https://yt3.ggpht.com/ytc/AGIKgqOpJazsSs7CiL34dWLrlCX812MkkfUvN6VErNxrLQ=s48-c-k-c0x00ffffff-no-rj,1
Akib Fauji,1 year ago,Sar ji mujhe software kam karne ka bahut shaukmujhe bahut sohai aap se raat Tak main aapko d,https://yt3.ggpht.com/ytc/AGIKgqO3Sm-AqqgOFzPHcJk1VhCmQLkQ0pFD-dsgviJ3d8d6A08HcJLJbtAkhBkbn0cz=s48-c-k-c0x00ffffff-no-rj,0
Hashim Jawed,2 years ago,Sir yee editor konsa  use kr rhay python k lye?? or i5 3rd gen 4gb ram 500 hdd main editor chal jayga??,https://yt3.ggpht.com/ytc/AGIKgqN3E0CErBU5iNKWzbNIzMYxdSKlsZkbJgGYSfJU=s48-c-k-c0x00ffffff-no-rj,1
Hammad Rafiq,2 years ago,Kya Ye Artificial Intelligence k liye ha python.,https://yt3.ggpht.com/ytc/AGIKgqOKJ3uQJEmiYJevkeARxcLypFZRwgsZ4gNSxS4J5Q=s48-c-k-c0x00ffffff-no-rj,0
Status World786,2 years ago,Sir agr koi student apse contact krna chaye to kese kre??,https://yt3.ggpht.com/ytc/AGIKgqOQ7tKY9WzqRaXSiRo9vyeYGvueVaNmDyewt_s3=s48-c-k-c0x00ffffff-no-rj,0
Hamza Shahzad EB20_038,1 year ago,Urbr,https://yt3.ggpht.com/ytc/AGIKgqOdoasptOtbG8zfnlKLDXHTWFkILOS9tXt5hw=s48-c-k-c0x00ffffff-no-rj,0
Muneeb Ur Rehman,10 months ago,Bump,https://yt3.ggpht.com/ytc/AGIKgqMmhS_K7A7tVDkDGGvphWQItPyeKuulYr2FOjBp1s-_PiyKvjiePWVNPYfB_gcV=s48-c-k-c0x00ffffff-no-rj,0
