Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,0
Uzair Ahmad,11 months ago,"Through this video I realized the prospect of recruiters, and noted down the points which should we keep in mind while creating a CV.
Bye the way, thank you very much for reviewing my resume. It is a Worthy feel to listen from a most senior software engineer that my resume stands out.️",https://yt3.ggpht.com/ytc/AGIKgqPhAq_3_SOQbGgVZHF9vD9YQi6kfDQnG9cH_tekIg=s48-c-k-c0x00ffffff-no-rj,3
Jawad Ali,11 months ago,"Now as you know Artificial Intelligence and Data Science is an Emerging Feild, Now students are more interested in this emerging field, please interview somebody who is an expert and has a lot of industry knowledge that will guide, how to build career as a data scientist or Machine Learning Engineer and stuff like That, May Allah Bless You",https://yt3.ggpht.com/ytc/AGIKgqMkewkxkcd8yRgz8YrtHgWMWOpunzQHlGyM_vr_fA=s48-c-k-c0x00ffffff-no-rj,1
AAR. Ahsan abdur Rehman,11 months ago,"Thank you very much for the review Ehmad bhai, will redesign it keeping your points in mind. Keep the amazing content coming ",,5
Ahsan Saleem,11 months ago (edited),"Sir plz make a video on this topic ""after lending first internship in software house what are our responsibilities or how to interact with mentors, how to got knowledge form mentors or senior unless they have busy work hours, or lastly when was asked to company for salary... And also share your internships experience",,2
Mohid Ahmed,11 months ago,"Thanks for the review, I really appreciate that. And I'll improve the mentioned mistakes ASAP. Keep coming with these kinda content.",,1
Zain Waseem,11 months ago,"Great 
Always Learning and pure content
ThankYou sir. ️",,0
TaHir Butt,11 months ago,Really helpful for keep things appropriate like recruiters want..,,0
Ali Jutt,8 months ago,"Assalam-i-Alikum brother....brother i'm dropped out of Bahria University Islamabad recently from 4th semester , i was doing BSCS and because i had studied Bio in matric and Chemistry in Fsc i got into too much trouble in first two semesters of Programming jiski wja sy probs lag gayen etc.....now i am confused in life kh ab keya krna ha.....Everyone says Degree and Cgpa doesn't matter in the field of CS , app mein bus skill honi chahye etc to should i re-start my degree and again 4 years lagaoun yaa should i learn to do programming online or from short courses etc because now i know the basics of programming and i had almost completed my half degree so i know how university things work too....what you suggest Sir.....? you're the literally first person who came into my mind who can guide me. 
waiting for your response brother , JazakAllah",,1
Jawad Ali,11 months ago,"Thank You So Much , This Youtube Channel is really a blessing for a fresh graduates",,0
Hadi Ali,11 months ago,"Love the video.
great one episode.
plz do a online mock interview on your channel.",,0
talib farooq,11 months ago,I want my CV to be reviewed,,2
Abdul Wahab,11 months ago,"Another wonderful video, keep it up bro.",,1
Shahzaib Rind,11 months ago,Great Efforts. Thanks sir,,0
Taha Soomro,11 months ago,makes u reealise how tough the market is and how average a person seems at a glance,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,0
Abdullah Tariq,11 months ago,"good insight. points taken.

mine was missed though ",https://yt3.ggpht.com/ytc/AGIKgqN25wXUvpXBFZ--3rh4c4p8lVK1NZeO2WBED3DyfXY=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Fahim,11 months ago,thank you for reviewing my CV. :),https://yt3.ggpht.com/ytc/AGIKgqPlQqhW0-C_mVqAZBv45FftIIcjaRe8PL4tDRnE=s48-c-k-c0x00ffffff-no-rj,0
