Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Wasiq Karim,10 months ago,Please make video on scope of Project Management in Pakistan. What is the salary growth as compared to a developer,https://yt3.ggpht.com/ytc/AGIKgqPZaYlFhOhFzmdBTdCecY08S-u0tspJopmKWDaFlQ=s48-c-k-c0x00ffffff-no-rj,0
Naeem Ullah,4 months ago,Thank you so much sir for informative videos. Very helpful videos for all  fresh graduates.,https://yt3.ggpht.com/ytc/AGIKgqMYmgnijQh4MTG2QPrAFFRDCmdApTcKJ2BLvWru=s48-c-k-c0x00ffffff-no-rj,0
Aizaz Haider,10 months ago,waiting for project management and career growth videos.,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,4
Muhammad Aashir,9 months ago,Wish this video would have been published a year ago! I wouldn't have wasted myself by joining such a company...,https://yt3.ggpht.com/ytc/AGIKgqO4RwEQ-xdK9ka_NdGxGjqkRx6HhGFaC0y3ybBHRw=s48-c-k-c0x00ffffff-no-rj,2
Diwan Muhammad Ali,10 months ago,My FYP was in dotnet winform and and now I'm learning ASP dotnet. Do i need to change my path now. If yes then what do i go for?. I also have interest in UI/UX designing is it a better option or should i stick with development?,,2
Ahmad Waheed,10 months ago,Thanks for uploading this video.,,1
MudiBadshah,8 months ago,Thank you sir for this great info,,0
Muhammad Araiz Bin Saqib,2 weeks ago,how do we see that PASHA report for 2023 year average salary,,0
MR Mack,10 months ago,"In Fast Nuces Lahore, 80k-100k is average while above average candidates are getting offers around 110k, 125k, 130k, 160k.",,4
Muhammad Tayyab,2 months ago,Well professional Anylses sir,,0
Sam Billings,8 months ago,Islamic university is good for CS???,,0
Anas Ishaq,10 months ago (edited),"Plz plz do reply
Is Air University Islamabad or UET Taxila good for BSc.CS?",,2
STAR KING,9 months ago,Ehmad bhai ap kitna earn karlaty ha month ma please reply,https://yt3.ggpht.com/LXs5jkb0KDw0oHx_5YwQ40dvNHfYefwBuCXM5tZ48hs-4sZHsdIoWJufdQf-6TEsTXyg2DBf__o=s48-c-k-c0x00ffffff-no-rj,2
Atif Ali,3 months ago,PHP is really dying?,https://yt3.ggpht.com/ytc/AGIKgqOlZTV8nzpror_MVPKbRw3x5l-WK-bUSnHswDnYxw=s48-c-k-c0x00ffffff-no-rj,0
Taha Soomro,10 months ago,noice,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,1
Faiz Khan,10 months ago,"@Ehmad Zubair bahi meri ghr ky gareeb university federal urdu university hai kia m usma admission ly kia wo sahi rahi as a software eng ky liya 
ek tu us uni ki fee kaam hai or ghar ky bhi kareeb hai please ap guide kr dy 
Thank you",https://yt3.ggpht.com/ytc/AGIKgqOBsROtuediJRQC16r1DPJp0KthVgWspCVftMjF=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Usman Akram,10 months ago,How can I contact you??,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj,2
Syed Hassaan Ahmed,10 months ago,Can you justify that dotnet is dying?,https://yt3.ggpht.com/ytc/AGIKgqMhPqUS-tPsltJ4MbR9uE_htOyLobSuJi8ayQ=s48-c-k-c0x00ffffff-no-rj,1
WISAM KAYANI,7 days ago (edited),"i'm  from pucit . got letter of 105k from devsinc . is it higher side but my friends have got 120,140k ..",https://yt3.ggpht.com/ytc/AGIKgqPiLpeDwBC97bQ65xGm7DuWxk5Q47TudcDl4h3N7w=s48-c-k-c0x00ffffff-no-rj,0
