Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Moeez Ahmad,8 months ago (edited),"Sir this series will be one of the best content I have ever consumed. It's Love. And thanks a lot for the book recommendation it was also much needed.
 Jazakallah for your efforts Ahmad bhai",https://yt3.ggpht.com/ytc/AGIKgqO2FV2p10DwTmxG9Xg2WkTIY5uQEkhxIhdMK81TxQ=s48-c-k-c0x00ffffff-no-rj,1
Kamlesh Kumar,7 months ago,"One of the most useful series not only for Software engineers but in general. I really appreciate your efforts, sir.",https://yt3.ggpht.com/ytc/AGIKgqMbppXbvCU-H0OWrU9YzoNimfjqlcJ1JmVmfcbt=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Waheed,8 months ago,Extremely happy to see you uploading videos consistently.,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,1
Abdullah Tahir,8 months ago,"Great work!
Plz make some videos on data science/Analyst
Role,perks,d/f between software developer and data scientist as compare to self growth and much more kindly!",,1
Musawir Butt,8 months ago,Great Work Sir ️,,0
awww,7 months ago,Your vids are helping us a lot. Plz make a video on how to become a self taught programmer....Degree necessary h?,,0
A I.,8 months ago,Love this series.,,0
Muhammad Irfan,7 months ago,"Dear love ur way of delivering knowledge .
I want ask very basic question is their anyway/ shortcut to start carrier in IT. If i'm unable to join 4 year CS program due some reason but passionate to do some extraordinary. 
Your valuable suggestions really helpful.
Thanks",,0
touqeer,7 months ago,Great Work Sir Ehmad,,0
arham amI,8 months ago,Loving the series,,0
Anonymous,8 months ago,Loved this series,,0
Designing with Hassan,7 months ago,"bahi please tell about computer engineering as a career, please!!",,0
Shahzaib Abdul Rasheed,7 months ago,"Great bro, good series.",https://yt3.ggpht.com/ytc/AGIKgqNi_kuRPXDg4SqCTyxBTWopZNji1NpynnhNy_-P=s48-c-k-c0x00ffffff-no-rj,0
Fasih Mohammad,8 months ago,Ehmad bhai kindly reply my q i want information that what is the starting salary of devops engineer ?,https://yt3.ggpht.com/ytc/AGIKgqPGdpCcOG7ioIhLIZwi_phX83BsMkrL2nsQzLrTlHV10bvObEZRLscyrEaUsw7e=s48-c-k-c0x00ffffff-no-rj,0
Zaman Ali - 0045,8 months ago,Amazing ️,https://yt3.ggpht.com/ytc/AGIKgqOyhPYNhqckAmieXJiEazIj3EUbYGuX50fhUOxB=s48-c-k-c0x00ffffff-no-rj,0
syed farhan,7 months ago,Bhai can u please suggest a good laptop for university software engineering,https://yt3.ggpht.com/ytc/AGIKgqP7DXmXf_CUdbdjVF57xuh8aIl4sRIHw9o1n6KK=s48-c-k-c0x00ffffff-no-rj,0
Shaheer Ahmed,7 months ago,Bhai I just want to add something its my thinking it can be wrong that you should bring a student of middle level university and talk about what are you studying in uni. I am in my last year and wallah uni didn't teach a single thing. They just teach syntax . Eventhough teachers also don't know what we should teach. Jo hmary teachers han unkay pass experience nhi ha. They are like es ko rta mar lo yeh paper may aye ga. Its my opinion you should bring some students and guide what students are doing wrong and also about teachers. I can be wrong but I think this would be helpful for most of the people,https://yt3.ggpht.com/ytc/AGIKgqOiw7S91_uEA1_HiBa3EYC4g8n6DSP7UCnDoQ=s48-c-k-c0x00ffffff-no-rj,0
Sam Billings,8 months ago,waiting for your podcasts......,https://yt3.ggpht.com/a1RmWUOorob1heKZ73fxzZ2sSEB7P3V-26-bC5WEZiwGSGrxwJAjhkiXq2P7gSuynKsTHj9kzA=s48-c-k-c0x00ffffff-no-rj,0
M Hassan,8 months ago,sir kindly make a video on blockchain,https://yt3.ggpht.com/ytc/AGIKgqPyYKtomuOvvZ37oA-4OjvqDG-_YmFUqaG9Aw=s48-c-k-c0x00ffffff-no-rj,0
Hamza,7 months ago,sir IT or Computer engineering CS ke branches hn ?,https://yt3.ggpht.com/ytc/AGIKgqPBmPw90F2FSJtrznPGQ2bX6c36iuWADeklkNrP=s48-c-k-c0x00ffffff-no-rj,0
M. Sammed,8 months ago,Love you sir,https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj,0
