Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Saif,1 year ago (edited),Please also interview someone who is in the field of Artificial intelligence. What's it's scope in Pakistan and how a fresher can pursue AI,https://yt3.ggpht.com/ytc/AGIKgqPZMqmIY0YCnoxrbbl4IydK8HriT1qBfsBZtLPG0w=s48-c-k-c0x00ffffff-no-rj,11
Rizz Rullzz,1 year ago,"Ma sha Allah Another masterpeice , ️️, Now waiting for More Roadmaps In Different Software Eng Fields , Like Cyber security , Machine Learning etc️",https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,2
data academy,1 year ago,Ehmad Bahi How to improve communication skills + How to prepare for arbisoft internship test ?,https://yt3.ggpht.com/ipGz14CeUQbpznb0WVg16QjVglwD810aPseduxNMtaCJIX3jlg3Qop6joDQf2UmVkKq6OxNVXA=s48-c-k-c0x00ffffff-no-rj,11
Pervaiz Para,1 year ago,Well done  great efforts great initiatives and finally great achievements. God bless you ️.,,1
Diwan Muhammad Ali,1 year ago,Brother please tell me I've completed my IT and can i go for software engineer interview or related field in software engineering or I've to choose another domain for this or can i go for software engineer jobs with the right knowledge about the basic development knowledge?,,0
Numan Ghani,1 year ago,Masha Allah it's  a very informative video ,,0
thrival man,1 year ago,Emad kindly add time stamps in your videos if possible,,0
Ahmed Aleem,1 year ago,Please invite someone from the blockchain development side also.,,1
Naveed Amjad,1 year ago,Thank you for an informative session.,,0
Syed Basit Raza,1 year ago (edited),Really helpful video ,,0
Muhammad Masab,1 year ago,Well done sir ,,0
Kamlesh Kumar,11 months ago,Loved the session.,,0
Shozib Rehman,10 months ago,I'm also a PUCIT || FCIT student ,https://yt3.ggpht.com/MLmDvWdVhGOmsONrFjOWhOOJmzWHwBnouY9mtqgzNuSAzmjzypdpTOR11UFZN_DgggVVyCcWkw=s48-c-k-c0x00ffffff-no-rj,1
Adeen Ahmad Zia,1 year ago,Love u brother may allah bless u and ur family️️,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,0
