Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
aqib,8 days ago,Love you so much mufti tariq masood saab,https://yt3.ggpht.com/9YPFVsnMQhPadPOHozYx-lJGkxEhCacGdK8BxGuFpscvSZVzfHZQ0UBf0eyncqjP-IO53GW3Xw=s48-c-k-c0x00ffffff-no-rj,1
Bilal Prehnu,9 days ago,I love u Mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqOBASGCBBVhb2886LTS52t_6nNWl-U7E-W5mg=s48-c-k-c0x00ffffff-no-rj,2
mubarik Ali,10 days ago,Masha allah,https://yt3.ggpht.com/kPIlyPg_X2Xi395RgEO9qi_jOLME6TAIRrQ6M4ejReFGE9Ti6WUtW9k1gEJ8YtYRj3cfnIDk_M0=s48-c-k-c0x00ffffff-no-rj,2
Wajeeha Mahnoor,10 days ago,ماشاء اللہ مفتی صاحب بہت خوب ۔,https://yt3.ggpht.com/ln7FnuhJsiPyPKBRkFxFoafXW_uyJbvwtTZ6pSfi1RAOZ1QghhwarbJ1__O_KEoAiKsxUi2CTg=s48-c-k-c0x00ffffff-no-rj,1
DUBAI LOVE,10 days ago,"Amazing  
So funny",,1
"Life hacks, Quick & Easy Crafts",8 days ago,aslmo alikum mufti sahb....masha Allah bht acha vlog hai apka,,0
Humaira Masroor,10 days ago,Zaberdast Vlog ️,,0
Rahees Azad,10 days ago,Thanks God bless you...,,0
Bilal Prehnu,9 days ago,Meri jaan Mufti tariq masood,,0
AzamFitness,8 days ago,mufti sahab please ak dua mere liye,,0
Mudaser Chaudhary,4 days ago,Mufti saab 2 ya 3 shadi ka sunkr bohat khush hoty,,1
"Life hacks, Quick & Easy Crafts",8 days ago,"mra ik sawal ha ap se
..ajkal forsage business bht ziyada urooj pe aya hwa hai uski sarhi hukam kiya hai please ap btayen ...kuin k ap masha Allah bht zabardast jawab byan farmaty hn log apki baat smj jaen gy inshallah...ramzan k sadqy ma jawab dein .....",https://yt3.ggpht.com/ytc/AGIKgqPpRrCyDT_uXZ7U8eU16lHV3M8piYJIDfKPshsu=s48-c-k-c0x00ffffff-no-rj,0
Peaceful World,5 days ago,mofti saab vlogs zara chota banaya karo ,https://yt3.ggpht.com/ytc/AGIKgqOMUqF3H_2PZOLp_1E33qHd6KnDn8CL_1FeJQ=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,10 days ago,Mufti sb kmal vlog bnaya,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,0
𝚃𝙱_Wʀɪᴛᴇs,10 days ago,Allah Map Kre aaj Kal Mofti vlog banate hai Allah Map Kre,https://yt3.ggpht.com/Tn5Lkqi6VtqV3SZWFQK3WlXJLE2qQiGcD_2D65Xlg90dVgGtfqaiHP1NuQjwM_pM1znz4Z3IuA=s48-c-k-c0x00ffffff-no-rj,0
Saif Ullah,10 days ago,,https://yt3.ggpht.com/m5b6gI6WFrjviwDksEYMEIX8CR32SzoL8HJ5Hgwnz920q2BCjIGz1L8hagaccbjLeACvx9RYfzs=s48-c-k-c0x00ffffff-no-rj,0
A.F,10 days ago,,https://yt3.ggpht.com/F1iwJUo4JFyhQObSLfXBXaJJKmILQuAnBLzfPoSaGZ2I-WKQqEL7FyvxsEcdwgqYYnzppug8qJw=s48-c-k-c0x00ffffff-no-rj,0
shemu gamer,10 days ago,"Assalamualaikum
Ummid hai aap kheriyet se honge Mufti sahab baad salam masnun ek zaruri guzarish aap se ye thi ke Aaj kal ek channel hai ex Muslim sahil ke name se Jo musalmano par kichad uchal Rahi hai plzz aap kisi bhi tarah uska difaa kijiye",https://yt3.ggpht.com/ytc/AGIKgqOl4_aT1x3ljziQ-5z9re9Lf2UgxqcprVqijHfT=s48-c-k-c0x00ffffff-no-rj,0
