Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zahid Khan,12 days ago,"Congratulations  for successfully completing  a great assignment in Turkeya and now heading towards Holy city of Madinah.
I just returned from Makkah 2 days before Ramadan.
Please  convey my Salam at Roza e Rasool SAWW,if possible. 
Salam from karachi.",https://yt3.ggpht.com/ytc/AGIKgqM8j8yBP36axU182YF64NluV_pL25loiD1_Fr5EykVHHbcEkpEHFHSQQDUYd1kf=s48-c-k-c0x00ffffff-no-rj,13
Raahe Jannat Official,12 days ago,"Muje to mufti sahab bahot pasand hai, mera dil mufti sahab ke liye",https://yt3.ggpht.com/4FGONBiJGVqjDDdhfEWrRCncqcdp_JfSz6OlMd0BpgdpkfmFqlEdcsR29X8XXp7aH8r8Audk=s48-c-k-c0x00ffffff-no-rj,16
Yasir Aftab  • 7.7M views • 4 hours ago,12 days ago,Mufti Tariq Masood saheb ka fan kaun kaun hai ,https://yt3.ggpht.com/CFo-dA7aSgFbhtp9C_A1VtoqmoNkbS3cNBWxB0YnIBZFk8s3tUkMzORsmmtDhVoekr_HWtDg2Q=s48-c-k-c0x00ffffff-no-rj,148
Islamic Track (Irfan),11 days ago,"Mera koi aisa din nahi jaata ki mai Mufti sahab ka bayan na sunu , alhamdulillah for everything.
My Allah prolong Mufti sahab's life ",,3
Samsu,13 days ago (edited),"AAP meri life ka hissa h Mufti Sahab 
 Main aapke bayan Roz sunata hu masa allah 
Pichle 2 year s
Allah aapko salamat rakhe 
From Indian🇮🇳🇮🇳",,26
Yas,12 days ago,Alhumdulillah a lot to learn from his bayanat and now this wonder channel as well,,3
Gufran Mahrajganjvi Official,11 days ago,اۓ خدا مجھ حقیر و فقیر بنده بے توقیر کو دیار رسول اللہ علیہ وسلم کی زیارت نصیب فرما ,,3
Ruhul Amin,2 weeks ago,"Main dua chahta hu, ke Allah Ta'ala hamein bhi kobul formaye Makkah Madina Jiyarat ke liye.... From Bangladesh",,19
Shaheer Khan,10 days ago,May Allah give u alot success in this world and after here pray for us plzz,,0
Humaira Masroor,12 days ago,5:39 Sallallahu Alaihe wasallam ️,,6
Hafiz Ali Muawiya Awan,12 days ago,ماشاالله مفتی صاحب,,3
Qamrul Haque,12 days ago,اللہ تعالیٰ حضرت کی عمر میں برکت عطا فرمائے اور آپ کا سایہ امت مسلمہ پر تادیر قائم رہے,,4
s3 savage,12 days ago,Subhan Allah ️ Alhamdulillah ️ Allah u Akbar ️,https://yt3.ggpht.com/ytc/AGIKgqP4X91XuY2BdCwO5-pVTmjFySQ9GZ32PIGiEBdpng=s48-c-k-c0x00ffffff-no-rj,3
Stories and Riddles,9 days ago,"MashaAllah I love Mufti Tariq Masood.
From USA United States of America 🇺🇸 to Pakistan and From Pakistan🇵🇰 to Japan🇯🇵. Everyone loves him.",https://yt3.ggpht.com/T20TVx2fUZCWDPR91Ya1vI8T4V7YEjnJ4A_uGnPwxH1Bt-Nj5kmWYUfnBX_QeN_bhOsm244KWWs=s48-c-k-c0x00ffffff-no-rj,0
Rashid ahmad,12 days ago,Mashaallah ,https://yt3.ggpht.com/-SBSzIBR4mpDeCc27rRRgUuyJSsbc5F0fVhXAoH3AJdMF3tZrUMC6oidk2BS5jyC6W2VmnAkZg=s48-c-k-c0x00ffffff-no-rj,3
Abdullah Khan,11 days ago,Mashallah ️,https://yt3.ggpht.com/ytc/AGIKgqMQG23cx3xETFC-FfyPwxU8k6S_m-pa0jpU5A1lbBhmoBAgnq7pw2YIp4cBfqYP=s48-c-k-c0x00ffffff-no-rj,2
Qamrul Haque,12 days ago,اے اللہ ہمیں بھی اپنے محبوب کے روضے کی زیارت نصیب فرما,https://yt3.ggpht.com/ytc/AGIKgqP2nXNn_XX_XtReelKkW_CWH9yicC49CnN_Za69hg=s48-c-k-c0x00ffffff-no-rj,11
A Khan,12 days ago,Ma Sha Allah,https://yt3.ggpht.com/-4e501BMnQax_QUpRtR42wnc5aTkBdcgd8crnOkOjh_fSKeSSFydDdJBpKeJekfng8HDNjse-A=s48-c-k-c0x00ffffff-no-rj,3
Bobby Sodhi,12 days ago,Jazak Allah khair ️,https://yt3.ggpht.com/ytc/AGIKgqMZ3Q2Pg-vHJu21ZVQYVtnlHK5otANPptj8QaLf6MMZwY6LZBIMpE-0v9fmaDbz=s48-c-k-c0x00ffffff-no-rj,0
kashif Qamar Official,12 days ago,Allah Hamain bhi ek baar apne gher ki jiyarat karwade  Aameen ,https://yt3.ggpht.com/7D1VKH7F0N0tSaTZtVb1JtQZjaCVBkgKRlXvXrChaSvdWR2y9dO0R22VB5ZJa5oTbhGRVhVsyA=s48-c-k-c0x00ffffff-no-rj,6
Daniyal Ahmed,5 days ago,"Allah pak mufti Sahab ko,buri nazron se bachaay.hamare sir pe salamat karkhe aapko.",https://yt3.ggpht.com/ytc/AGIKgqMFPzx9mauJzBToLgSswsBcIb5iThkOP7PaxvsyjovwkPly2ZCVQEIKsz3i0IpS=s48-c-k-c0x00ffffff-no-rj,0
Shoq Lafi,12 days ago,‏بيض الله وجهك سيد أستاذ طارق المسعود بالعافية نتقابل في المدينة الله يطول عمرك ويحفظك,https://yt3.ggpht.com/ytc/AGIKgqPySCQgRcrxDjeVti8f_C6njDIe0TYG_4hZRA=s48-c-k-c0x00ffffff-no-rj,3
Misbah Ashfaq,12 days ago,Allah hamay bhi ye Sadat naseeb frmae Ameen,https://yt3.ggpht.com/ytc/AGIKgqOmcvEGdvXfhNsiUkznvAYGo-o3weSBm9FAFg=s48-c-k-c0x00ffffff-no-rj,2
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,12 days ago,Masha Allah. Humare liye bhi dua kijiyega . K main apni puri family k ammi abba k sath sath Makka Madina jay.,https://yt3.ggpht.com/RZxMLHH1Kh487gLi_5iJfYzjOYYLHXVUzPXskT4srD2Ck1qSH4SbUlpbhzzj_gkU0h6td3Vm=s48-c-k-c0x00ffffff-no-rj,2
Sumaya Akter,12 days ago,Allah mujhe bi hajj ki  taufik de  amin 🇧🇩,https://yt3.ggpht.com/ytc/AGIKgqM-KM5Grm2tlsaZpkz6KxPlYYQp64yNsNWkzw=s48-c-k-c0x00ffffff-no-rj,2
Dani Khan,12 days ago,ماشاءاللہ بہت خوب اللّٰہ پاک ہمیں بھی قبول فرمائی دل کے ارمان آنسو میں بہ گی۔,,2
Usman Ahmed,12 days ago,جزاک اللہ خیرا کثیرا مفتی صاحب آ پ نے مدینہ منورہ کا دیدار کروا دیا الحمدللہ ,,1
Classic music,12 days ago,Allah hu akbar ,,2
Molana Ibraheem Yaseen Vlogs,12 days ago,اللہ پاک آپ کے سفر کو قبول فرمائے آمین,,2
Humaira Masroor,12 days ago,"Lovely Vlog, Allah subko Madina dikha dy,aamin",,7
Mohd Hamzan Mohd Hamza,11 days ago,مفتی صاحب اپنی دعاؤں میں یاد رکھئے گا روضہ اقدس پر سلام شوق ضرور عرض کریگا,,1
ام عمر,12 days ago (edited),مدینے کا آرام دہ سفر طے کرتے ہوئے وہ واقعہ ذہن میں آتا ہے۔ جب نبی کریم صلی اللہ علیہ وآلہ وسلم اپنی جان بچاتے ہوئے کس مشکل سے اپنے ساتھی حضرت ابوبکر صدیق رضی اللّہ تعالیٰ عنہ کے ساتھ  مکے سے ہجرت  فرماکر  اتنے دنوں میں مدینہ  پہنچے تھے۔,,6
Rahmani,12 days ago,Allah ham sab ko haj ki taofeeq naseeb farmaaye aameen,https://yt3.ggpht.com/ytc/AGIKgqOz5HZYZolZ9LR4CNqxKdkrLSIiwI6LGwjanL3cl0aaZR7rSHeFmXzF7hqv6aco=s48-c-k-c0x00ffffff-no-rj,1
