Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ayesha Imran,2 months ago,Mashallah ️,https://yt3.ggpht.com/npjqtJ8Yd_vVTLWaxg2tOr21C8u6FhTEpSPcbZYntRu01Wl4qj-8TRRdNzDi-oPvTrRq0bKA=s48-c-k-c0x00ffffff-no-rj,4
ItsTalent,1 month ago,Masha Allah mufti Sahab good to hear you speaking English too ,https://yt3.ggpht.com/mnO-t3fwl9cFI8RFMj2PWzHJdBDHqmPE5GrWdPBiZnYzd9Ds-3ShNUH6o7IK-XoBk-DQTo5wEA=s48-c-k-c0x00ffffff-no-rj,4
Humaira Masroor,1 month ago,Ma Sha'a Allah ,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,3
Abdul Rahman,2 months ago,صلو علی الحبیب,https://yt3.ggpht.com/7xDjZ4rB5e5RY1_q2a6RYT722dHzW8SAODAxdGsqprP_6UtpSN0pkbwqUYgT0UglfhR6iqdtYQ=s48-c-k-c0x00ffffff-no-rj,4
Mohd Taufiq,2 days ago,"Mashaallah, Feel nice to see some intelligent peoples",,0
ItsTalent,1 month ago,"Masha Allah
Brother !!! 
تقبل الله منا ومنكم صالح الاعمال",,0
Muhammad Ali,1 month ago,Mashallah tabarak Allah,,2
Bisma Rida,1 month ago,"Mashallah allah sub ko Islam may aane ki aur usper khatam rahene ki taufiq de , ameen",,3
Khalid Ansari,3 weeks ago,Allah Tablighi Zamat Walo ko Apne Hafzo imaan Me Rakhe Ameen,,2
Al Muhaimin shorts,2 months ago,Mashallah,,2
محمد رضی اللہ انصاری,1 month ago,Masha allah🇮🇳 bihar,,0
md Yaseen,1 month ago,Mashallah subhanallah subhanallah subhanallah,https://yt3.ggpht.com/ytc/AGIKgqNSrIoyatAQAcPA-APxuQ_XmsU4c0DUGg5yruwy7w=s48-c-k-c0x00ffffff-no-rj,1
tourest in pk 21,1 month ago,Mashallah we are are support to u thanks jazakallah,https://yt3.ggpht.com/UUTjNgaK48oT79CFePGHffnQWSLySKJWUeqmoZKawV08_w98dXEAhFQWxbhWydlkz4Rowda6=s48-c-k-c0x00ffffff-no-rj,0
Amar Mostwanted,1 month ago,Alhamdulillah,https://yt3.ggpht.com/ZiJWaiV0C39B_uiItywkXO3N04GRTkSuHdXKNODvx-9ocJ5RuXPHrxNGKIczRK4BQDxwxyK9=s48-c-k-c0x00ffffff-no-rj,0
Arsalan Khan,2 months ago,Assalam alekum mufti sahab from bhopal,https://yt3.ggpht.com/ytc/AGIKgqNNJD4iyTzawxgq7tqrZxomaAxdIcjNG51JUQ=s48-c-k-c0x00ffffff-no-rj,3
Khalif ansari,2 months ago,Behtereen,https://yt3.ggpht.com/ytc/AGIKgqNNNuAF_Z7nlCu-Sai1jtJH8Emrwxw6uZMnmVCkjQ=s48-c-k-c0x00ffffff-no-rj,3
Usman Jutt,1 month ago,ماشاءاللہ,https://yt3.ggpht.com/ytc/AGIKgqPtQu-AoX6CNruvhTrwmLbUXR2avZZdvIx7VvHfYAAoGX9MsZA_RB7TbMptx2V9=s48-c-k-c0x00ffffff-no-rj,1
Subah Sawere,2 weeks ago,Kitna sanjeeda insan hai bhai,https://yt3.ggpht.com/rnD5NnX0xMhw3k1yfPsIuEjZeE6fs_hoxDz5DnaMWzRDb14QGkM1xk9H-NibebCsl76E0ikxRA=s48-c-k-c0x00ffffff-no-rj,0
Umair Gamer,1 month ago,دعوت وتبلیغ زندہ باد,https://yt3.ggpht.com/PN3abiCaPfAbxgiUuQ0HotCrGDC7m3sA_PK12ST373ixo5G5KYAO6BxlsCs_r2-_PrCFCQ4cgw=s48-c-k-c0x00ffffff-no-rj,1
Guddu pathan,3 weeks ago,Mufti shahb Nepal khatmand aiye,https://yt3.ggpht.com/ytc/AGIKgqPifNgCTtvN29tQTlodCG7YdKMUSYsOcfepxIXIK7cZCsydd9LnsoBs00_BHiU9=s48-c-k-c0x00ffffff-no-rj,0
