Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ikram Ansari,2 months ago,"السلام علیکم ورحمۃ اللہ وبرکاتہ 
حضرت استاد جی خدا کا واسطہ آپ کھلے عام یو ڈاکوؤں کی مخالفت نہ کیجیے اللّه آپ کو اور آپ کے اہل و عیال کی ہر شر سے حفاظت فرمائے آمین 🇮🇳🇮🇳🇮🇳",https://yt3.ggpht.com/ytc/AGIKgqOUcR_ijVcjA7B6LIL3SlejSSmSbH-I1IvvSKOr-ZA59Cr9GXqN9eiP56YqeU7A=s48-c-k-c0x00ffffff-no-rj,10
M Ahmad,2 months ago,Love mufti Tariq Masood Sahab ️ Allah pak mufti Sahab ki umer mein barkat dein Ameen summa Ameen ,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,4
Abdul Rahman,2 months ago,Hato bachcho ho gaya,https://yt3.ggpht.com/7xDjZ4rB5e5RY1_q2a6RYT722dHzW8SAODAxdGsqprP_6UtpSN0pkbwqUYgT0UglfhR6iqdtYQ=s48-c-k-c0x00ffffff-no-rj,22
fitness cat,2 months ago,Salute to this police officer we have to be proud of them.,https://yt3.ggpht.com/0rjseN51IdTKtHiJ1kblrAdAE7_XIIlwDdv-7ulXlbq4zKqobqJQ3CROrqeU7AHJE9F6CGlM=s48-c-k-c0x00ffffff-no-rj,3
Humaira Masroor,1 month ago,Good One mufti sb ️,,3
Ayesha Imran,2 months ago,اللّٰہ تعالیٰ کراچی کو اچھے رہنما عطا فرمائے آمین,,2
A Khan,1 month ago,Allah Pak hamarae hkumat kon bahtr kare my mufti Tariq Masood,,3
Iftikhar official H,1 month ago,Asslamu alaikum mufti Sahab allah aapki hifazat kare aap khule aam badmasho ki mukhalfat na kare,,2
Asif Rahman,2 months ago,Jazakallah mufti sahib hamary 7 apni rozmara life share kar rahy hy,,3
Mahar g,1 month ago,Mufti sb app rash main na jaya kren. Allah app ki hifazat frmaey Amen sum amen,,2
Mohd Umar Aarif Khan,2 months ago,Bohot khub Mufti saab,,0
DANIYAL,1 month ago,MUFTI TARIQ MASOOD ️ Kiya karre hoon yaar,,0
KM TV,4 days ago,Wah,https://yt3.ggpht.com/ytc/AGIKgqNJfwP1uDMmzTEo-Whdce_5P1BB2K0RVI_tUw1CCA=s48-c-k-c0x00ffffff-no-rj,0
Najamul Saqib,1 month ago,Mashallah mufti sb khandani kam hwa hai,https://yt3.ggpht.com/ytc/AGIKgqMUfYIheo-hVr4h9im2g6GdQ8uRRiTFQN5rOA=s48-c-k-c0x00ffffff-no-rj,0
Ayesha Imran,2 months ago,الحمدللہ,https://yt3.ggpht.com/npjqtJ8Yd_vVTLWaxg2tOr21C8u6FhTEpSPcbZYntRu01Wl4qj-8TRRdNzDi-oPvTrRq0bKA=s48-c-k-c0x00ffffff-no-rj,1
Zuhaib World,4 weeks ago,Karachi woh wahid city hy jahan aap ublaty chashmy bhi dekh skty hain aur desert safari bhi kr skty hain only in city of Karachi,https://yt3.ggpht.com/jPXH_LRza9-VHiB86uBwIm-6fLfFKoGXn3Lng-P9gTVNZQ_BHa8APw-w9SIoNtDLRqWrxyy3UA=s48-c-k-c0x00ffffff-no-rj,1
KidsOnDeen,2 months ago,"Maulana saab.. Ap ispe bayan de, naujawan in chizon me na pade? ?mulk ka Masla kya hai?",https://yt3.ggpht.com/2KhVxV7gY_3C0NhPjiBaiqnNN0DJJsKEuSfyW4PEoPz_EObhaUUDEfqtt7mVCR0T-2DE424x4g=s48-c-k-c0x00ffffff-no-rj,0
Huzaifa Khan,2 months ago,J baat,https://yt3.ggpht.com/ytc/AGIKgqM6JU3JMRAFapf8txHKia4RjuinDvu-tY0IdVljGQ=s48-c-k-c0x00ffffff-no-rj,0
Peerzada Mohd Yousf,1 month ago (edited),"Pakistani paris 
Allah pak nazre badd se bachaye iss paris ko.",https://yt3.ggpht.com/ytc/AGIKgqNQKOOoj4pYFjQwgn75zfL8QWJsewkHw9JkEA=s48-c-k-c0x00ffffff-no-rj,1
HASSAAN MALIK HERE,4 weeks ago,Log pareshan hain dakuu sy kiya kren jo pakra jaata hai uss pr agle pichle sb nikal dete hain,https://yt3.ggpht.com/YmSZISKeVisI7KYo1tr2xVaFNO_Iyk0Vf7rj3q-YjFVkO_cBXhG-DJYuLKkmm3VR3FEUKYgu=s48-c-k-c0x00ffffff-no-rj,0
Arfa Khatoon,1 month ago,,https://yt3.ggpht.com/ytc/AGIKgqOzCGe6I7OJ-MSzj5S255XavFzo2SGMIQmjqQ=s48-c-k-c0x00ffffff-no-rj,0
