Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
MTJ Fans Page,3 weeks ago,"May ALLAHﷻ grant us the ability to follow the beloved ways of our beloved Prophet Muhammad Mustafa ﷺ, Ameen ۔",https://yt3.ggpht.com/28EiPWoggrd9cc6Pp44nDVDYH4hUy7aX3f_mtlrO_XGHStV_ACJU85VTP_wV8jabVeii3qeMDQ=s48-c-k-c0x00ffffff-no-rj,29
mustkeem Ahmad,3 weeks ago,Subhan Allah khoobsurat city hai our wahan ke log bhi️🇮🇳,https://yt3.ggpht.com/3ZyI5h_8IF_37CAknFPBN1JIQyr4J_GcN636gniVz4MDGi1GoEbosEPKVN4AFAAL1IW8NF0n9gM=s48-c-k-c0x00ffffff-no-rj,6
AL MALIK,3 weeks ago,Please pray for  my brother  he is blood cancer  patients...Allah pak  ham sab ko hefajat  karo  is bemare sa amin.,https://yt3.ggpht.com/ytc/AGIKgqOJpHDGKpdFt7YUpZMcDt8FHnh9pwg04CSJMA=s48-c-k-c0x00ffffff-no-rj,68
Daniel Rao,6 days ago,Mashallah Turkiye is very beautiful iconic ️,,1
Aaftab fabrics Official,3 weeks ago,MashaAllah ️  Turkey zindabaad 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,,4
Bokoyo,3 weeks ago,"May Allah grant Baraqah to Rajjab Taiyyab Erdogan, His family and supporters and Mufti Sahab too. Aameen ya Rabb ",,4
Doctor Bond,3 weeks ago,We have spent alot of time over here..Amazing   ,,5
Nabeel Khan,3 weeks ago,Mai Bhi Turkey Jane wala hun Dua kariye Inshallah,,27
LUMINOUS,2 weeks ago,As salamu alekum Mufti sahab main India se hoon our aap ka follower bhi hoon mujhe aap ke videos bohut acche lagte hain ... knowledge with humour yeh combination koi Mufti mein nahi.,,0
Ghost Rider,3 weeks ago,Mufti Sahab KY eyes Sy  duniya KY seer ,,12
latifa Sahebzadah,3 weeks ago,Subhanallah ,,5
A Khan,3 weeks ago,Ma Sha Allah ️ mufti Tariq Masood shahib ,,3
MD Imran,3 weeks ago,Inshaallah ham bhi ek din babri masjid me namaz padhenge,,1
Kaif Khan Vlogs,3 weeks ago (edited),"ALLAH Mufti sahab ko jaza e khair de my favourite 
Mahshallah khandani vlog hato bacho",https://yt3.ggpht.com/IODM8WsnHI3_dmnaJnnMdtv6II8y7cLfD2FVx_HmOpmD-t6S0AKy8p2bJC8mXGxS70qjbxCjUg=s48-c-k-c0x00ffffff-no-rj,5
Deen ki baten,2 weeks ago,Subhan Allah ,https://yt3.ggpht.com/2wgOQzRBiuWYFH8TAqhSrLJ_rZV9vMZSh11-bKbOR5qeIoEvAkWOr4NFqCwwUzE_JR685SB8uQ=s48-c-k-c0x00ffffff-no-rj,1
Adil Husain,2 weeks ago,Ma sha Allah ماشاءاللہ,https://yt3.ggpht.com/ytc/AGIKgqPCu6JJ12q8FRwte7f6bUXqLa97OArD0d8sGQ=s48-c-k-c0x00ffffff-no-rj,0
Maddy bahi,3 weeks ago,MashaAllah baba u do great work ,https://yt3.ggpht.com/2_pa5TM6XuTDi09bSALaOwRT74AWp6_ZGQlJg1CY5QB_8jeRziF5Sy6_FRWjnCA38XHKFrJR=s48-c-k-c0x00ffffff-no-rj,5
Ask Mufti Tariq Masood Official,3 weeks ago,Masha Allah Mufti Sahab  Indian Muslim,https://yt3.ggpht.com/Y2qXOvyhI9bwjuXs89TKLu6YC7DrTEOFI2dL5ywtsflplc8dZfeE5OLBUx2Al3OvODhiWx153g=s48-c-k-c0x00ffffff-no-rj,5
Dhia Ul Haq,3 weeks ago,"The problem with Pakistanis and Indians(to a lesser extent Bengalis) is that we want to change the world but are unwilling to change ourselves!
The Quraan says that Allah will not change the condition of a people until they change themselves ",https://yt3.ggpht.com/ytc/AGIKgqPD7KmOJhndcGMaf4b4J5eDn5KMMpLvhn9kG0qK=s48-c-k-c0x00ffffff-no-rj,2
Feroz Unar,3 weeks ago, turkey ki madad farma ya Allah in chotay bacho ko Apne hifzo amaan mein rakh in chotay bacho ko lambi umar dein humesha khush rahay Ameen,https://yt3.ggpht.com/ytc/AGIKgqNXZXZxCsIB7XKOmCL9umHh2D3gZ2iaIVS4wsV76wSg4Ut0EWjXYGf6O-84seOh=s48-c-k-c0x00ffffff-no-rj,1
bint farooq,2 weeks ago,Tayib urdgaan is a blessing to whole ummah. May Allah swt protect him,https://yt3.ggpht.com/ytc/AGIKgqM3pUwOp5DfiPuAFEMklMKXhGWJrtVSHBHubdQ4L88Jw7bwaclJmfsMP6Ycfk2_=s48-c-k-c0x00ffffff-no-rj,0
