Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
M Ahmad,3 weeks ago (edited),Love mufti Tariq Masood Sahab ️ Allah pak Apki Hifazat farmain Ameen ,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,5
bint farooq,3 weeks ago,Beautiful azan ,https://yt3.ggpht.com/ytc/AGIKgqM3pUwOp5DfiPuAFEMklMKXhGWJrtVSHBHubdQ4L88Jw7bwaclJmfsMP6Ycfk2_=s48-c-k-c0x00ffffff-no-rj,10
Sakina Mehveesh,3 weeks ago,Im from India Allah paak moulana ku apni hifzo Maan me rakhe ameen azan sunane k liye jazakallahu khair,https://yt3.ggpht.com/ytc/AGIKgqM_997laNkKHnSuSWKDOmqiWjzGsfW-TNAE0g=s48-c-k-c0x00ffffff-no-rj,2
Fatima,3 weeks ago,Mufti sahab ke vlogs bhi khandani hoty hai really ,https://yt3.ggpht.com/OBUD0RJtUZ6bhy8mhQy4K4nrEWcGjvv7MSzBADHqSRPUvEgEOR_6v87zO6PcS5COBfSZVmBLQA=s48-c-k-c0x00ffffff-no-rj,6
A.F,3 weeks ago,MashaAllah mufti saheb khush rahe Salamat Rahe,,6
SANA ULLAH,3 weeks ago,Mashallah very beautiful voice of azan,,1
Kaif Khan Vlogs,3 weeks ago,ALLAH jaza e khair de my favourite ,,0
MolanaMaqsood,3 weeks ago,Azan sun kr dil me hulchal ho jati he,,13
Amir shaikh murad,3 weeks ago,Love you MUFTI sahab ️️️,,0
AASMA NASIR,3 weeks ago,"MASHA ALLAH ALLAH Subhana wa Tala Apko Hmesha Apni Rehmat kay saye Mai Rakhe Mufti Sahib ☆Apki Waja say Hum Dunya ki Khubsurat Jaghon wa Manazir ki Videos Daikh pa Rahe Hai ☆
Jazakallah FROM SIALKOT",,4
Rana Saleem,3 weeks ago,ماشاءاللہﷻ.بہت خوب حضرت مفتی صاحب,,5
Julie Fernandes,3 weeks ago,Masha Allah Azan voice is Egypt🇪🇬,,3
s3 savage,3 weeks ago,Subhan Allah ️ Alhamdulillah ️ Allah u Akbar ️,,1
Amir Subhani,3 weeks ago,"اللہ تعالیٰ آپ کو جزائے خیر عطا فرمائے آمین
ترکی میں زلزلہ کے متاثرین کےغم میں شریک ہونےکا میرا بھی دل چاہ رہا تھا مگر وہاں اللہ تعالیٰ آپ جیسے لوگوں کو قبول کیا ۔اللہ تعالیٰ آپ کی خدمت کو قبول فرمائے آمین",https://yt3.ggpht.com/ytc/AGIKgqPl1gHbhunxme_YEPm9R9WvHcQih5-2eO8_3w=s48-c-k-c0x00ffffff-no-rj,3
Recess KID,3 weeks ago,Masha Allah Azaan sun ka dil kon sukoon milgya,https://yt3.ggpht.com/ytc/AGIKgqNvK0iT3CZ4EAI--thLjt0DrOtBCzDm2FHD_VmbwA=s48-c-k-c0x00ffffff-no-rj,1
Saaiq Muhammad,3 weeks ago,"ماشاءاللہ ماشاءاللہ ماشاءاللہ ماشاءاللہ ماشاءاللہ لا قوۃ الا باللہ
بہت ھی زیادہ خوبصورت آواز ھے مؤذن کی
اللھم زد فزد
مفتی صاحب الله تعالیٰ آپ کا سفر مبارک فرمائے آمین آمین آمین آمین آمین آمین",https://yt3.ggpht.com/ytc/AGIKgqOh2sq2nMAmp9pmjmWL0T-CqFlrqNlzmIRKTw=s48-c-k-c0x00ffffff-no-rj,0
Stories and Riddles,3 weeks ago,Farooq Bhai ko Mera bohat Bohat Salam ho. Asif Kamal this side,https://yt3.ggpht.com/T20TVx2fUZCWDPR91Ya1vI8T4V7YEjnJ4A_uGnPwxH1Bt-Nj5kmWYUfnBX_QeN_bhOsm244KWWs=s48-c-k-c0x00ffffff-no-rj,3
Sakina Mehveesh,3 weeks ago,Hame b Dubai ki azan sunne k liye naseeb hue allhumdullillha,https://yt3.ggpht.com/ytc/AGIKgqM_997laNkKHnSuSWKDOmqiWjzGsfW-TNAE0g=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Maaz,3 weeks ago,Bahut khubsurat awaz azan ki,https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj,7
