Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
SOFT GIRL ꪜ,6 days ago,I'm Hindu But seriously I never see any religion better than ISLAM  (Allah hu akbar ) ,https://yt3.ggpht.com/_SfCHXe8oNWxAgLC0ku1uOJc2EZfBmr0j6WaYZ2u5bajl9Jv8qfFofBtZtytA-4o46GMdX3wxvA=s48-c-k-c0x00ffffff-no-rj,1.4K
Abdul Moiz,1 day ago,Mufti sahab you are true example of deen and dunya,https://yt3.ggpht.com/ytc/AGIKgqN_c60CW4zuMjvh1UaH0aJHAlsc6ZYHHfhuVg=s48-c-k-c0x00ffffff-no-rj,11
shahg-blogs,1 day ago,"Mashallah, such a down to earth mufti i have ever seen ,May Allah bless mufti saab ",https://yt3.ggpht.com/BScRj8JR0kLHZhlj2CAN_COw1ZI-5Tn75XH8YzKmlB89smWAkpcfnsAozoK_uEn6QuzQiFtjGPU=s48-c-k-c0x00ffffff-no-rj,8
Abdul Mannan,5 days ago,Who is the biggest fan of Hazrat Muhammad Saw,https://yt3.ggpht.com/ytc/AGIKgqNqfyySZTK8yIqBPs-S01UmVlzMUE7OEIoyZ4HM8w=s48-c-k-c0x00ffffff-no-rj,153
Abdul Basit,6 days ago,"Mufti Sahab, you are a precious gem of this era. Yours positive approach has always impressed me ",,119
GAMING WOLF | No Commentary |,2 days ago,Vote for Par 2 ,,7
Muhammad Umar Shorts,6 days ago,"اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَّ عَلَى آلِ مُحَمَّدٍ كَمَا صَلَّيْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ إِنَّكَ حَمِيدٌ مَجِيدٌ 
اللَّهُمَّ بَارِكْ عَلَى مُحَمَّدٍ وَّ عَلَى آلِ مُحَمَّدٍ كَمَا بَارَكْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ إِنَّكَ حَمِيدٌ مَجِيد۔",,48
Old Movies LTD.,2 days ago,Best of the best vlog i've ever seen the namaaz part was awesome MashaAllah the azaan in the middle of sea Allah hu Akbar,,9
wasfi visional institute,2 days ago,The last scene of sunset was really beautiful ,,27
Qari Osaid Noman,2 days ago,‎اللَّهُمَّ صَلِّ عَلَىٰ مُحَمَّدٍ وَعَلَىٰ آلِ مُحَمَّدٍ ❁ كَمَا صَلَّيْتَ عَلَىٰ إِبْرَاهِيمَ وَعَلَىٰ آلِ إِبْرَاهِيمَ ❁ إِنَّكَ حَمِيدٌ مَجِيدٌ ❁ اللَّهُمَّ بَارِكْ عَلَىٰ مُحَمَّدٍ وَعَلَىٰ آلِ مُحَمَّدٍ ❁ كَمَا بَارَكْتَ عَلَىٰ إِبْرَاهِيمَ وَعَلَىٰ آلِ إِبْرَاهِيمَ ❁ إِنَّكَ حَمِيدٌ مَجِيدٌ,,30
Faheem Ansari,5 days ago,MASHA'ALLAH.. Love from INDIA...,,34
Zahid Shaikh,1 day ago,"Mufti G  din duniya dono me Kamal hai, Allah Umar me barkat de....I love your all videos  dil se like From Hindustan🇮🇳",,7
Hassan Aslam (حسّان اسلم),2 days ago,Mufti Sahab is just love. ,,9
Sadeeya Faisal,6 days ago,"Lovely spot to capture and spread Islam every corner of the world should have access of knowledge of Islam.
Learn a lot about this field. Jazakallah khayr Mufti sahab please add English subtitles to your videos.",,23
MTJ Fans Page,5 days ago,"May ALLAH(ﷻ) grant us the ability to follow the beloved ways of our beloved Prophet Muhammad Mustafa (ﷺ) , Ameen ........ .........................",https://yt3.ggpht.com/28EiPWoggrd9cc6Pp44nDVDYH4hUy7aX3f_mtlrO_XGHStV_ACJU85VTP_wV8jabVeii3qeMDQ=s48-c-k-c0x00ffffff-no-rj,22
Mohammed Sajjad hosen UAE Pravasi  BD,2 days ago (edited),Assalamualaikum . Im From Bangladesh 🇧🇩️🇵🇰 Inshallah im come to Pakistan ,https://yt3.ggpht.com/NVfkyL7oOe1zEiVGY0yDBbFq3Zg1tJOGqItXhL3-NXzpiWE1yucTtrr0_HACUzuMmoCjerUNGg=s48-c-k-c0x00ffffff-no-rj,3
Saif Roonjha,2 days ago,I am proud of our ulamas like mufti sahib who lead us with the true spirit of Islam May Almighty Allah keep u ever happy n healthy.,https://yt3.ggpht.com/tx3xqP0SY5Du0TmrSOwOt_Y8r60XM-80wg9A_5TPc6GpW-uy40ary7MuEI3CW5FbSxK9fI3Hrw=s48-c-k-c0x00ffffff-no-rj,4
Beep Beep,1 day ago (edited),"Maa Shaa Allah BarakAllah, Mufti sahb aur saathi ",https://yt3.ggpht.com/4gfImeqUh-VPNLIQPLbbQmup1Pro46esUHm6xzgStVNXTr32Tf4LGgGyBRKTzmFBB4S1upiIcQ=s48-c-k-c0x00ffffff-no-rj,1
