Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
JK Media Ghosi,2 weeks ago,اللہ تعالیٰ مولانا طارق مسعود صاحب کو لمبی عمر عطا فرمائے اور مولانا کی حفاظت فرمائے آمین یا رب العالمین ,https://yt3.ggpht.com/xWEeIpOON87nhu96jzMlAxl05KlM_VVeImNMztf0ILtFWy90H6qEVh9mkpebq4hw2_QVB2aT=s48-c-k-c0x00ffffff-no-rj,22
Humaira Masroor,2 weeks ago,7:21 innocent smiling faces of children ,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,11
DeathShotsYT,2 weeks ago,"Mashallah bachon ko quran ki ayaat kis,tarha yaad han aur hamare han bachon ko sirf Twinkle Twinkle little star yaad hota hai.",https://yt3.ggpht.com/z7PEwrzJYwKD1Qy4lPpedgGhGwCnutlEHMM2Axs4fMRdQ7DyNYaZLbX3DIJ09mCOUQPu0Ei6=s48-c-k-c0x00ffffff-no-rj,62
MTJ Fans Page,2 weeks ago,"May ALLAHﷻ grant us all the ability to perform Sallah, Ameen ...........",https://yt3.ggpht.com/28EiPWoggrd9cc6Pp44nDVDYH4hUy7aX3f_mtlrO_XGHStV_ACJU85VTP_wV8jabVeii3qeMDQ=s48-c-k-c0x00ffffff-no-rj,6
Siberian,2 weeks ago,May Allah bless this guy,,1
Humaira Masroor,2 weeks ago,Ma Sha'a Allah  Beautiful ,,4
Bobby Sodhi,2 weeks ago,Masha Allah ️️,,1
bint farooq,2 weeks ago,MashaAllah bht acha kaam kr Rai h Mufti sahab Allah swt qubool frmai. Aur hmy b esay kaam krni ki tawfeeq de,,6
Aboobaker Sidiq,12 days ago,"ماشاءاللہ 
مفتی صاحب اللّہ تعالیٰ آپ کو جزائے خیر دے اللّہ تعالیٰ آپ کو صحت والی لمبی زندگی عطا فرمائے ",,1
Abu Rafeay,2 weeks ago,"Mashallah
Your Work Is So Good.
love You Mufti Sahab ",,1
Fatima Noor,2 weeks ago,ماشاء اللہ ,,1
Khushal Khan,2 weeks ago,....we need engineer Sab citizens.....for our dear homeland...,,1
Jameel Ahmad,2 weeks ago,Massaallah bhot khub  allah aapko salamat rakhe ameen 🇮🇳🇵🇰,,4
Okasha Ahmed,2 weeks ago,اللّٰہ تعالیٰ اس پریشانی میں ترکی حکومت اور ان کی مدد کرنے والوں کی مدد فرما جو بچے اپنے ماں باپ سے جدا ہو گئے ان کا سہارا بن جا اور جن والدین اپنے بچوں کا غم دیکھا۔ان کو صبر دے۔pak welfare trust کی خوب خوب مدد فرما ان trust کی مدد کرنے والوں کو دنیا اور آخرت میں بہت نواز دے  آمین یارب العالمین ,,3
Qari Osaid Noman,2 weeks ago,"‎اللّه راضی ہو جائے تو مقدر بدلتے دیر نہیں لگتی 
️️️️️️️️️️",https://yt3.ggpht.com/u5ZTzk-PuqRZmgZsY7v4xE1M7NFqfScuzm2YqkKtrVfIB-BtTkGsvdDIc4qF3frBXsMZfBhz=s48-c-k-c0x00ffffff-no-rj,6
Usman Ahmed,2 weeks ago (edited),"آجا کہ ابھی ضبط کا موسم نہیں گزرا
آجا کہ ابھی پہاڑوں میں برف جمی ہے 
خوشبو کے جزیروں سے ستاروں کی حد تک 
سب کچھ ہے اس شہر میں بس ایک تیری کمی ہے",https://yt3.ggpht.com/ytc/AGIKgqNmD2cI-ZnDAGryLipmTlO8he6l6YLALJO2QvK575mEchaKkuB4KVtu9vLwvYTk=s48-c-k-c0x00ffffff-no-rj,6
Usman Ahmed,2 weeks ago,بہت بہت اچھی ویڈیو لگی مسجد بہت خوبصورت  اور بڑی تھی اور نمازیوں کی تعداد کو دیکھ کر اچھا لگا تراویح پڑھنے کے لئے خواتین کی بس دیکھ کے بھی خوشی ہوئی  بہت شکریہ مفتی صاحب بہت اچھی مسجد دکھائیں آپ نے,https://yt3.ggpht.com/ytc/AGIKgqNmD2cI-ZnDAGryLipmTlO8he6l6YLALJO2QvK575mEchaKkuB4KVtu9vLwvYTk=s48-c-k-c0x00ffffff-no-rj,2
Sara Rp,2 weeks ago,"ALLAH Hu Akbar 
Salute to You Mufti Ji
ALLAH sub ki hifazat karey,Ameen",https://yt3.ggpht.com/ytc/AGIKgqO5pD_PYD6e1PbOiJyWHYVbjPLa_1vQSAXmA6NRvluYt-3ABI7HwhUpCRNg22j4=s48-c-k-c0x00ffffff-no-rj,1
