Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Qazi Karim Dad,2 weeks ago,"Muslims are brothers to each other and we should take care of each other. Especially the Turks are our very good brothers, we are always with them. Mufti Sahab is doing good work and whoever is helping them, may Allah accept their efforts. May Allah free our Turkish brothers from this difficult situation soon. Lots of love from Pakistan.""",https://yt3.ggpht.com/ytc/AGIKgqNNf9Xe85ILmPAt_IXjtwc__8ke7njSetTBFQ=s48-c-k-c0x00ffffff-no-rj,9
Humaira Masroor,2 weeks ago,Happy to see these  Affectees kids in engaging different activities ,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,12
Pasha Joyia Vlogs,2 weeks ago,I am 13 years old big fan mufti sahab,https://yt3.ggpht.com/-RlxjYz2M8alg4lxStFsOsR08GMferOttoP2RW2A7i0xyxAtZgvzQTxgnRp1Q54CFoUi9OnHig=s48-c-k-c0x00ffffff-no-rj,14
Shakir Bin Tasleem,2 weeks ago,"Ma sha Allah bahoot khoobsurat vlog mufti sahab
Free mein Turkey ko dekh lete hain
Alhamdulillah 
Wajah ap hain sirf
Allah paak apki mehnat ko qubool farmaye
Aameeen",https://yt3.ggpht.com/2Aps8o91JRECYfOnMCsR9BnlBVQj7eoZoOceumqX5xG93uw_RAb6ThN5QAcGgtbMi0CtL01yWlg=s48-c-k-c0x00ffffff-no-rj,13
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,2 weeks ago,Allah APP KO AUR AAP KI FAMILY AUR JO BHI AAP SE JUDE HUWE HAIN SAB KO SALAMAT RAKHE APNI HIFZOAMAN ME RAKHE AMEEN ALLAH HUMMA AAMEEN ,,24
Abdullah Ali Abbasi,2 weeks ago,"Alhamdulillah, there is someone who loves Pakistan. Alhamdulillah!",,1
Ansari Farheen,2 weeks ago,Mashallah ️my favourite mufti Sahab ALLAH apko jaza e khair de  from India 🇮🇳,,2
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,2 weeks ago,Inshallah ALLAH HAME BHI AAISEHI MADAD KARNE KI TOFIQ DE AMEEN ALLAH HUMMA AAMEEN ,,9
Mohammed Suhail,2 weeks ago,"Mashallah, best inaugurated and learned to respect my parents and what I have today in my life by seeing this vlog. we see them but we can't feel their pain",,7
uk09diaries,2 weeks ago,"May Allah give Jaza e khair to mufti sahab
Aur mufti sahab ka dars kbhi shart na ho...",,6
Kaif Khan Vlogs,2 weeks ago,ALLAH Mufti sahab ko jaza e khair de my favourite Mufti  or inke saath jitne log unko bi,,4
Snow Moon,2 weeks ago (edited),May Allah bless you for contributing there...pls do share details so that ppl ll help,,2
s3 savage,2 weeks ago,Subhan Allah ️ Alhamdulillah ️ Allah u Akbar ️,https://yt3.ggpht.com/ytc/AGIKgqP4X91XuY2BdCwO5-pVTmjFySQ9GZ32PIGiEBdpng=s48-c-k-c0x00ffffff-no-rj,8
News Five,2 weeks ago,Your vlogs are awesome. Make more vlogs. Your speaking skills are awesome mufti saab.,https://yt3.ggpht.com/-6351jDJDTp6lfMGJIK8ARphfwoZmT3itph2D3prq8Wg6qn2XrrlW8HaptjHkeujGyPIGWPyYw=s48-c-k-c0x00ffffff-no-rj,0
Sara Rp,2 weeks ago,"ALLAH Hu Akbar 
Salute to You Mufti Ji 
ALLAH Sub ki Hifazat Farmaey,Ameen",https://yt3.ggpht.com/ytc/AGIKgqO5pD_PYD6e1PbOiJyWHYVbjPLa_1vQSAXmA6NRvluYt-3ABI7HwhUpCRNg22j4=s48-c-k-c0x00ffffff-no-rj,1
Mohammad Hasim,2 weeks ago,استغفراللہ ربی من کل ذنب واتوب الیہ. لاحول ولا قوۃ الا باللہ. یااللہ سب مسلمانوں کی مدد فرمائے آمین,https://yt3.ggpht.com/ytc/AGIKgqPoivcCzGYjVtc9NudlPgAHoWHM_O_SrQNGKQ=s48-c-k-c0x00ffffff-no-rj,3
muhammad ahmer from Japan,11 days ago,اللہ اپ سب کو جزاے خیر دے مشکل کی اس گھڑی میں یقینا سب مسلمان ایک جان ہوتے ہیں,https://yt3.ggpht.com/8Cs9V3E0E9utzfWbDlHOpheu-qnuKPxtGu-wilOt4tjRGf4L9Bf16Do8vMfuCb6qXYB2a1S4=s48-c-k-c0x00ffffff-no-rj,0
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,2 weeks ago,BOHOT KHUSHI HUI MUJHE AAP LIVE AAY  LOVE FROM INDIA MUFTI SAHAB  MUMBAI AAOGE TO INSHALLAH MAINE AUR MERI PURI FAMILY AMMI ABBA AAP SE MILNE KI KOSHISH KARENGE 🥹,https://yt3.ggpht.com/RZxMLHH1Kh487gLi_5iJfYzjOYYLHXVUzPXskT4srD2Ck1qSH4SbUlpbhzzj_gkU0h6td3Vm=s48-c-k-c0x00ffffff-no-rj,4
Hamdan Khan,2 weeks ago (edited),Mufhti sahab tussi great hoo..Meri aankhon mey aanso aa rhy hai..,https://yt3.ggpht.com/ytc/AGIKgqOPFVc6ArpkTTEK61tK6qPaNwugnPmpHx9h5ZY5tA=s48-c-k-c0x00ffffff-no-rj,0
Mezan Howlader,2 weeks ago,Asslamualikum o rhmtullahi o brakatuh Allah taala aap ki hifazt kre  aameen,https://yt3.ggpht.com/ytc/AGIKgqMYWtARlhh_-0G4nZlVXFQAPJN5ZnFZl_LS9S5kJQ=s48-c-k-c0x00ffffff-no-rj,2
Paki Satn,2 weeks ago,اسلام علیکم ورحمتہ اللہْ ماشاءالله سبحان الله‎  اللهْ‎پاک متاثرین سمیت بچوں کی مدد فرماے آمین,https://yt3.ggpht.com/iIKbC8W7UZO6g1Ba5VJJtdNLLynNLgofNrBPC5fJXEU8Nz6rrOYrCxUhFvQYgf5cPeGGfPWtXQ=s48-c-k-c0x00ffffff-no-rj,0
Abu Muhammad,2 weeks ago,جزاک اللہ خیرا,https://yt3.ggpht.com/ytc/AGIKgqMD3v-oJS7N667fY3_faDHssLO_omymEo57CQ68yw=s48-c-k-c0x00ffffff-no-rj,0
A Khan,2 weeks ago,Allah Pak hamre Turkey logo ki madat farmae AMEEN,https://yt3.ggpht.com/-4e501BMnQax_QUpRtR42wnc5aTkBdcgd8crnOkOjh_fSKeSSFydDdJBpKeJekfng8HDNjse-A=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Azaan,2 weeks ago,"مجھے مفتی صاحب کی بات بہت اچھی لگی کہ ائیر پورٹ پہ بھی عورت پہ کیمرہ فوکس نہیں کیا اور اب بھی ٹرانسلیٹر لیڈی پہ بھی اک زرا سا بھی کرنے سے احتراز کیا  
جزاک",https://yt3.ggpht.com/ytc/AGIKgqP6NOHt3NOIfvBHIN5DVkGEsyWgLv8j6-bA1w=s48-c-k-c0x00ffffff-no-rj,5
Joker boy,2 weeks ago,Do musalman ajnabi jab galy milty hain to kiya feelings hoti hain ,https://yt3.ggpht.com/TBie-QCI9-2X-LOa8XCu7j7S_BQLCsyGSx4VEoepCYnhlFm2ttbqpNSQ_7b5yrDEUShs4bBPEQ=s48-c-k-c0x00ffffff-no-rj,3
Sadia ram5,2 weeks ago,Allah Pak apna karam frmye aur sb ki mehnat qabool frmye ameen,,1
Humaira Masroor,2 weeks ago,Fantastic Vlog ️,,6
Humaira Masroor,2 weeks ago,The Best,,4
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,2 weeks ago,HUME BHI APNI DUAO ME YAAD RAKHE ,,2
Jai Hind 🇮🇳,2 weeks ago,Mashallah well done  Mufti shahab,,2
Mohammad Guddu,2 weeks ago,Masha Allah ️,,1
Khan Wazir,2 weeks ago,Mashallah ,,0
A.F,2 weeks ago,JazakAllah mufti saheb 🇵🇰🇹🇷🇵🇰🇹🇷,https://yt3.ggpht.com/F1iwJUo4JFyhQObSLfXBXaJJKmILQuAnBLzfPoSaGZ2I-WKQqEL7FyvxsEcdwgqYYnzppug8qJw=s48-c-k-c0x00ffffff-no-rj,2
Religious_Mentors,2 weeks ago,Aoa mulana sahab buhat khushi hui video dekh kr or turkon ki muhabbat or josh dekh kr Pakistan  k mayar k liye buhat achi chez hai Allah pak hum sub ko is naiq kam k krny ki tofeaq dein or qubool fermaein .Ameeen,https://yt3.ggpht.com/tQkmQkNRnaRf7JmmGkO2oh0jIabuAkAHVyVG2la4IZDt6nyOVmoLnqaFcZfkneGk1ad9Z_qWCA=s48-c-k-c0x00ffffff-no-rj,2
JESUS IS A MUSLIM,2 weeks ago,Mash'Allah ,https://yt3.ggpht.com/p9rQUb4DPThlLfDc34rU2GiDFx3Bm0es94XvRgtR1JVirVdRbvTS38ZR6SgJHcO-KUxYOabYhg=s48-c-k-c0x00ffffff-no-rj,0
With Mohammad,2 weeks ago,Love from Bangladesh 🇧🇩,https://yt3.ggpht.com/-ANZDHS0TQ9cq9ogE5vGzzN-SAxotlCBPSGZjnAPEAqNgpKRQPZltxyHyJ53281_r9RLlXre=s48-c-k-c0x00ffffff-no-rj,2
DeathShotsYT,2 weeks ago,MASHALLAH,https://yt3.ggpht.com/z7PEwrzJYwKD1Qy4lPpedgGhGwCnutlEHMM2Axs4fMRdQ7DyNYaZLbX3DIJ09mCOUQPu0Ei6=s48-c-k-c0x00ffffff-no-rj,0
Mir Danish,2 weeks ago,Allah tala her mislaman ko salamat rakhe aameen summa aameen ,https://yt3.ggpht.com/ytc/AGIKgqMSap2sMRZDaa6KG4z80mM_dU5YSSf9UQgiWFC8WQI2N0__S7erhuq77OLUVUwR=s48-c-k-c0x00ffffff-no-rj,3
Deeni knowledge,2 weeks ago,Allah turkey ke logo ki madad farmaye,https://yt3.ggpht.com/kH1rPxDEKW1zTn7LOreUGkRDWmTMkM7l7GIFgIsT-StRwxsOCiIMOADM_9OhbfFOed7-g2AmNQ=s48-c-k-c0x00ffffff-no-rj,0
