Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Imran,1 month ago,I believe local people are equally responsible for this messup in karachi alongwith Rulers,https://yt3.ggpht.com/ytc/AGIKgqMvRuCfnQxIO8lhq7VIqHmgqYQjfJem6kF4JA=s48-c-k-c0x00ffffff-no-rj,6
Hafiz Ali Muawiya Awan,1 month ago,جزاک الله مفتی صاحب,https://yt3.ggpht.com/5gG3rQitANOUyr0_vfV6CoWZB4qGF04GTMgSlnpjZKDpyZn9TKuDIdO_8ydAFCXQ3rPlMs5IiKI=s48-c-k-c0x00ffffff-no-rj,6
Hafiz Ali Muawiya Awan,1 month ago,Allah karachi kay halat teek kary ameen,https://yt3.ggpht.com/5gG3rQitANOUyr0_vfV6CoWZB4qGF04GTMgSlnpjZKDpyZn9TKuDIdO_8ydAFCXQ3rPlMs5IiKI=s48-c-k-c0x00ffffff-no-rj,12
Osama Firoz,1 month ago,"Enjoy the journey. 
Love from India 🇮🇳🇮🇳 Have a good day.",https://yt3.ggpht.com/ytc/AGIKgqPom5j49lYVAj3pth-sRjm-2Ja3BmQ_OY6eR5NrVA=s48-c-k-c0x00ffffff-no-rj,6
Md. isa,2 weeks ago,Love you mufti sahab Allah apko salamt rkhe ameen,,3
NO GOD BUT ALLAH,1 month ago (edited),"Kia baat hai Sir 
Very funny 
But
Sir plz apni security ka khayal kia kry 
Mirror neechy kiya hai or baki public me b ap a rhy hai 
ALLAH pak tmam ullama hq ki  hifazt kry",,13
Hammad Shaikh,1 month ago,Allah tala Karachi Pakistan ki halat ko jaldi sudhar de aameen,,1
Hafiz Abdul Rahman official,1 month ago,Love you mufti sahab 🇵🇰,,4
M Ahmad,1 month ago (edited),Love mufti Tariq Masood Sahab ️ Allah pak apki umer mein barkat dein Allah pak apki hifazat farmain Ameen summa Ameen ,,1
md Yaseen,1 month ago,Mashallah subhanallah i am  India Today alhamdulillah Hyderabad mashallah,,1
A Khan,1 month ago,Dill khoon ka aasoo rota ha  Karachi ko dakh kr,,2
Shees Malik,1 month ago,Mufti sahab ,,0
Yasir Aftab  • 7.7M views • 4 hours ago,1 month ago (edited),I am very impressed with your video️,https://yt3.ggpht.com/CFo-dA7aSgFbhtp9C_A1VtoqmoNkbS3cNBWxB0YnIBZFk8s3tUkMzORsmmtDhVoekr_HWtDg2Q=s48-c-k-c0x00ffffff-no-rj,7
Social Media,1 month ago,Mashallah ,https://yt3.ggpht.com/lg0BZvKFxYWn3aPPz_tniTJ5NyUY_F9ym2kGB55PMMAxAAAKCayDJrqomxqw6G1CPwNjNFtP=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Bht aala mufti sb ️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Bin Qasim,1 month ago,Assalam oa alaikum mufti sahab Allah apko umre daraz dy my ap k tafseer or ahadees or aks mufti tariq masood sonti hon....,https://yt3.ggpht.com/ytc/AGIKgqPTzdhLQPdCq7xNz5oc8-_TWdYTueeO4Wou4g=s48-c-k-c0x00ffffff-no-rj,3
Aiman's Mahendi nalgonda,1 month ago,Alhamdulillah India mein bohot achchi achchi sadken hai aise khadde ni he,https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj,3
Noshad Anwar,1 month ago,Wao maza a gaya mofti sahib,https://yt3.ggpht.com/ytc/AGIKgqM_uulHYElqAKSZb9A10Q29bigAs0Hq9pKbD9Pp0XERjuoLyXfXQSc_SJ8TGE2N=s48-c-k-c0x00ffffff-no-rj,1
zaiنab,4 weeks ago,Phir bhi he apna pyara Karachi,https://yt3.ggpht.com/uht3GHQlrXUSyt6E7gzmui4znVs-Yy-67deNxtkNnuHMzZsP2MZ0TnMSoD1b9NOu9FIa6twu=s48-c-k-c0x00ffffff-no-rj,0
Malik bilal Malik bilal,1 month ago,Love you mufti sab ap ke har video ma dekhta ho bayan bhe sunta ho Ma phly bhot bory kamoo ma tha har taim song sonta tha lakin jab ap k bayan sony hn Allah ka karm hoa ab bs ap k srf bayab sonty hn Allah ap ko lambi zingi dy,https://yt3.ggpht.com/ytc/AGIKgqPBqdThAuCJdrlVa32vdw0eJ1k-r7euU97ONGVliuMUl58EjLGI_ddm7HJAGesk=s48-c-k-c0x00ffffff-no-rj,1
Abdul Qadeer,1 month ago,masllah Allah nazry bad sy bachiy,https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj,2
SHAKEEL,1 month ago,Mufti shab anda mod ka vlog banao kabhi....hum india wale dekhna chahate hai,https://yt3.ggpht.com/ytc/AGIKgqOesR7g0xe8o_L2dkKPECUNvXd_J06moq5m69WdFsnw0Hmy9238U6zwKFNJLIDm=s48-c-k-c0x00ffffff-no-rj,4
Saadat iqbal Khan,3 weeks ago,Wah tariq masood sahab maza agia,https://yt3.ggpht.com/ytc/AGIKgqMGLe06eg4Z1H6_cKhRzf63UMzQIbCLebLWG5v8dg7FbkXt30g_qFJHSosbMYJ1=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Hanzala,1 month ago,"0:28
men to dar gia",https://yt3.ggpht.com/ytc/AGIKgqMSDUdPgD-naWtmk7VywU4N3xQHiV5peDNdVdw_PQ=s48-c-k-c0x00ffffff-no-rj,5
