Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ahsan Ali Bhutto,1 month ago,"I am very proud of being a Muslim by the grace of God Almighty
مجھے اللہ تعالیٰ کے فضل سے مسلمان ہونے پر بہت فخر ہے۔
🇵🇰🇵🇰🇵🇰️️️🇵🇰🇵🇰🇵🇰",https://yt3.ggpht.com/2CUej6Ub38vkvBQfbPW-A__AuBzjFRbXFgN9UwXwgHqgtdHqJnVAEhduiRg-ABRxyS4jXxjdtA=s48-c-k-c0x00ffffff-no-rj,2
Mullah Omar,1 month ago,Alhamdulillah Allah ne muslaman banaya  Allah ka sukr hai ,https://yt3.ggpht.com/1oJWRWZZktzkko0rUAtamk-juJRsZ6gKzIQag1LUcv9VTiPcyfLNW3b0jJpHN-QhkEQAxV-Ji_Y=s48-c-k-c0x00ffffff-no-rj,2
Funny Viral,1 month ago,Shukar hai ALLAH ka hum musalman hain,https://yt3.ggpht.com/a3QCsuaE2qqxUxivUv63H_-rk6PsWsv3ybKIuanKQxY1-Xc2C8Y6AQ4k8z28xZHGGAh-ztbl7Q=s48-c-k-c0x00ffffff-no-rj,6
Humaira Masroor,1 month ago,"Ma Sha'a Allah, Every Single Vlog is Amazing  Thanks a lot for sharing",,5
Shahid Malik,4 weeks ago,Alhamdulillah Allah ne Hume Islam ki niyamt dii h️‍,,0
No Channel,1 month ago,An eye opening vlog! Jazakallah khair for sharing this vlog,,1
waseem ahmed,1 month ago,Musalman k liye islam par chalna kitna asaan or sasta h masallah,,0
Humaira Masroor,1 month ago,Alhumdulillahi ala nematil islam️,,3
Muslim,1 month ago,"Allahumma Barik 
May Allah give you Jannatul Firdaus Al Ala ",,0
Humaira Masroor,1 month ago,INFORMATIVE VLOG ️,,3
Doc On Youtube,2 weeks ago,Alhamduillah Allah Ka Laaak Laak shukar hai Jissne Hamein Islam se nawaza Alhamduillah,,0
eyoon aljarha,1 month ago,Bhut acha vlog mufti sahab Allah apko salamat rake Allah ka shukr hai ke hum sab ke pas islam ki nemat hai,,0
haniya Kashish,1 month ago,Mashallah Allah Pak app ko khush rakhe,,0
Gufraan Abbasi,1 month ago,MashaAllah,https://yt3.ggpht.com/21chchrkq_fofPehVZiBclsgzDjXtIKBis_UmxgXuiM7kBLWB1FXTecrC1ThtL-J8bFsZ3S7EA=s48-c-k-c0x00ffffff-no-rj,3
Islam ki shehzadi 👑,1 month ago,MashaAllah first comment alhamdulillah ,https://yt3.ggpht.com/deXlta2qxHwJqIjW7_Fy0XdkB41p2fZ54F8djBssH-cZWLoGXHNajuLP-qOFptFctq_bHlIsyA=s48-c-k-c0x00ffffff-no-rj,5
