Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Prime Print On Demand Services,3 weeks ago,"Masha ALLAH enjoying mufti sab vlogs very inspiring, spiritual and entertaining. ",https://yt3.ggpht.com/gm_tRT-qdYbBFT3x6aw_ewtdOiaPqvhTTiXkmDDBHLKovz5Rt1TsU1FAMvRMRJE5IGMDs4ytHZk=s48-c-k-c0x00ffffff-no-rj,5
امت مسلمہ,3 weeks ago,Ma Shaa ALLAAH mufti sahab ki vlogging kafi improve hue pahlay koe agay AA jaye zoom bht kar detay thay  ALLAH mufti sahab ko mazeed taraqqi isteqamat day ameen,https://yt3.ggpht.com/5MzvbgxL9VF2eyKVBytaATIOtiCoI2EZyit9d1uROkKJDcRE6k-xyek3EJ1wvjZszBldoIZYfA=s48-c-k-c0x00ffffff-no-rj,6
Humaira Masroor,3 weeks ago,Day two in Turkey is also Awasom Vlog ️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,11
Sajjad Ahmed,3 weeks ago,ماشاءاللہ ماشاءاللہ مفتی صاحب اللہ آپ کو ھمیشہ خوش رکھے آمین,https://yt3.ggpht.com/ytc/AGIKgqN879sZdSmbSAnybQfOOndeAtvArf5HkbAnHl2lYmQ=s48-c-k-c0x00ffffff-no-rj,4
s3 savage,3 weeks ago,Subhan Allah ️ Alhamdulillah ️ Allah u Akbar ️,,4
Syed Asghar Ali Shah,3 weeks ago,ما شاءاللہ اللہ تعالیٰ آپ کو سلامت رکھے آمین,,0
ibad ullah,3 weeks ago,Excellent,,0
Shaikh Sajid,2 weeks ago,Allha apke Umar m barkt Mufti sahab,,0
Khalid Ansari,3 weeks ago,A Fir Aayen Mithaeyan Ki Dukaan Mufi Sahab Ka Vlogs MashaAllah Behtreen Umda Hota hai,,0
Tabishنجار,3 weeks ago (edited),"Assalamualaikum mashallah 

Allah apko salamat rakh
Bothhh achaa hotaa agr app turkey see Iran, Iraq ziyarat (ahle bait ) k pass jayeee ,bothh acha hotaa hamari lye or purii umat k lye b jazakallah ",,0
Zareena Parveen,3 weeks ago,السلام علیکم مفتی صاحب ماشااللہ صوفیہ ہادیہ دکھانے کے لئے شکریہ میں آپ کے ہر ملک کی ہر مرض کی ویڈیو دیکھتی ہوں امید ہے آپ بھی اس طرح پوری دنیا ہی غم دیں گے جزاک اللہ شکریہ مبارک ہو مبارک,,0
Atifali Sayed,3 weeks ago,"Good to see you traveling outside your home country and exploring the world. However, your complete silence on ongoing violence against your own people is quite surprising, given the fact you're quite infamous to comment on current affairs even across the border. People look after you and they respect you. By maintaining silence, you're complicit to the crime against the citizen",,0
Hafiz Mohammad Bilal Official,3 weeks ago,Kia kehny mufti sahab apky mashallah 🇵🇰🇹🇷,https://yt3.ggpht.com/9IezCwAESZzezmL22c7RbnpfA_RgbadEtKRuwG--VK2g6S4FC4Dflv6b4tcxcymOoupZCn--Bw=s48-c-k-c0x00ffffff-no-rj,0
A.F,3 weeks ago,"JazakAllah mufti saheb hamen b ghumane ka 
bahut maza Aaya",https://yt3.ggpht.com/F1iwJUo4JFyhQObSLfXBXaJJKmILQuAnBLzfPoSaGZ2I-WKQqEL7FyvxsEcdwgqYYnzppug8qJw=s48-c-k-c0x00ffffff-no-rj,1
👑KING PATHAN 🔥,3 weeks ago,Masha'Allah Mufti Sab Apki Vloging bi khandani hai ,https://yt3.ggpht.com/rKZaydrRRkVN580CruAQTND4660-yZNp7Y8qCykYjCmA_0I3qlZ3ClMeAoEvrar8zi1VkdCRJw=s48-c-k-c0x00ffffff-no-rj,2
A Khan,3 weeks ago,Ma Sha Allah ️ mufti Tariq Masood shahib,https://yt3.ggpht.com/-4e501BMnQax_QUpRtR42wnc5aTkBdcgd8crnOkOjh_fSKeSSFydDdJBpKeJekfng8HDNjse-A=s48-c-k-c0x00ffffff-no-rj,0
Gufraan Abbasi,3 weeks ago,MashaAllah ,https://yt3.ggpht.com/21chchrkq_fofPehVZiBclsgzDjXtIKBis_UmxgXuiM7kBLWB1FXTecrC1ThtL-J8bFsZ3S7EA=s48-c-k-c0x00ffffff-no-rj,0
AASMA NASIR,3 weeks ago,"MASHA ALLAH Turk Mithaiyon kay Itne Rasiya Hai ☆Daikh kar Boht zyada Maza Aaya ☆kyun kay Hum Log be Mithayan 'sweets Wgera Boht shoq say Khate Hai '☆
AASMA FROM SIALKOT ",https://yt3.ggpht.com/cyLnjYa-3-NxwxCq25vVrIW59JTYiFMFpxVyFSTtb4i4JzQ8-Jxk0c9dHe5D8DrPDEUx-Fc9I2Q=s48-c-k-c0x00ffffff-no-rj,1
Sufiya Ansari,3 weeks ago,Masha allah,https://yt3.ggpht.com/MqXZrvjmKzBqx5c1ggy81vAmsMV7ohaThjTjFC_8NubhjFxH9AWcVhFrmjpgZYAj_xFZrpCjo_c=s48-c-k-c0x00ffffff-no-rj,1
Hafiz Muhammad Hammad,3 weeks ago,Mashallah mufti sahab aise he ache vlogs mazeed upload Karen,https://yt3.ggpht.com/o4tqkRpqoTa_s_YFTH8_wqqpFP3-Bxu-eYzv_5oPG6rxXfs7yL_0lFVSlinCLgHvM2XhNx87Tg=s48-c-k-c0x00ffffff-no-rj,0
Kaif Khan Vlogs,3 weeks ago (edited),"ALLAH Mufti sahab ko jaza e khair de
Hato bacho vlog ",https://yt3.ggpht.com/IODM8WsnHI3_dmnaJnnMdtv6II8y7cLfD2FVx_HmOpmD-t6S0AKy8p2bJC8mXGxS70qjbxCjUg=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Shoaib,3 weeks ago,Very nice mashaallah ,https://yt3.ggpht.com/ytc/AGIKgqNbolwNDKNWR4gKywCK2mUTBWHAXwlllJwmhg=s48-c-k-c0x00ffffff-no-rj,0
SEEMA TABASSUM,3 weeks ago,MashaAllah,https://yt3.ggpht.com/ytc/AGIKgqPH23i3jjty0x7KHF6wFMH25U5Z8haFFEDBlQ=s48-c-k-c0x00ffffff-no-rj,0
Faizan Khan,3 weeks ago,Mashallah ,https://yt3.ggpht.com/RZLuWCAiwffz3AuEaPLgF8FmHINRoYmtoHrXMTBtPORp927eSXcHgiPS6u0YxFT-mEJG_6FI=s48-c-k-c0x00ffffff-no-rj,0
KAMRAN ALI Official,3 weeks ago,Subhan Allah hazrt Allah kush rakke,https://yt3.ggpht.com/V_87VvfO_OalN8za7_-ch8yhXuhB6VGSzV3rotvcB7X7NbDMKzXlKJHayDd60_lckuFl_PHzBg=s48-c-k-c0x00ffffff-no-rj,0
King Khan,2 weeks ago,Zindagi ho to mufti sahab jase   varna na ho,,0
Zaheda Hyder,3 weeks ago,"AssalaamuAlaikum wrwb Mufti sahab this is not Mithayaan 
This is turkish delight 
This famous all over the world ",,0
Mamo Khan,2 weeks ago,Mash Allah,,0
Hkkk,3 weeks ago,Zabardast ,,0
Mohammad Anas Khan,3 weeks ago,Assalamualaikum warahmatullahi wabarakatuh Mufti Sahab ek darkhwaast hai ki awaaz clear nahi aati hosake toh portable mic use karle meherbaani hogi ,,1
HS Official 2,3 weeks ago,love u mufti sahb,,0
FB editz,3 weeks ago,"Sir, there was an earthquake in Pakistan yesterday",,0
Mumtaz Abdullatif,2 weeks ago,Washa Allah  bhot acha vlog he from  tanzania 🇹🇿,https://yt3.ggpht.com/ytc/AGIKgqOqhgCTsohNiyGh5ZsNFquRgzMfUmTSalxgDg=s48-c-k-c0x00ffffff-no-rj,0
Shaheer Khan,3 weeks ago,Jazakumullah hamey entertain karny k lye,https://yt3.ggpht.com/ytc/AGIKgqM-LGjUiRHOPM3B7omI-YSRlC6AYxP4JhVx04-xyi7zwxlr8yfTbV0pN9llRu2j=s48-c-k-c0x00ffffff-no-rj,0
Life style With junaid,3 weeks ago,Great Mufti Sahab Great,https://yt3.ggpht.com/ytc/AGIKgqO0m4dp-OD5oIeY6gElxzIiwLoHUozQxY0oaKL5SLc=s48-c-k-c0x00ffffff-no-rj,0
ishaal kolsi,3 weeks ago,Best Vlogs Mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqP6MhRTzwyCZMAggf5NZZiRBbNgVlzdHzd0AnmM3A=s48-c-k-c0x00ffffff-no-rj,0
