Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Humaira Masroor,1 month ago,Enthusiastic naat in the end,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,15
Al Umar Mughal,3 weeks ago,Jazakallah khair Mufti sahab... Aap ke sath sath hum bhi sair kartey hain... Allah apko or tarakki naseeb farmaye. Duniya or aakhirat ki tamaam bhalaiyan naseeb farmaye.,https://yt3.ggpht.com/ytc/AGIKgqPQzhAegDgSZ0xeDt5hDfE9XG-Zjx45BPLtLA=s48-c-k-c0x00ffffff-no-rj,3
Badar Mumtaz,2 weeks ago,MashaAllah bohat achi vlog hai aur mujhe acha laga mufti sahab ko Oman dekh k qk Oman meri birth place hai.,https://yt3.ggpht.com/ytc/AGIKgqNHWiJ4fyVj4yh3FhIYWLMgXTHdxQf16x3PYJbk2w=s48-c-k-c0x00ffffff-no-rj,1
"BHULLAR PRODUCTIONS (bhullar,s of oxford)",1 month ago,VERY NICE COUNTRY I WOULD LIKE TO MOVE THERE FROM UKLOVE & RESPECT FROM OXFORD,,2
Siddic Mac,9 days ago,"Maa Sha Allah
Mufti Sahab great vlog ",,0
Shadab Ali Shadab Ali,1 month ago,Masha Allah zabardasti naate pak with excellent voice,,0
Binte zafar,1 month ago,"السلام علیکم ورحمتہ اللہ وبرکاتہ
ماشاءاللہ بہت ہی خوبصورت فارم ہاؤس ہے جزاک اللّہ مفتی صاحب",,0
Pak Pop Song,3 weeks ago,we need more like this Vlogs,,1
A.P  VOICE OF UYGHUR CHINESE SUPPRESSED MUSLIMS,1 month ago,ماشااللّہ مفتی صاحب آپ اگر اس بھائ سے اگلی vlog میں پوری نعات record کروا لیں بڑی محربانی ھو گی ، دل کو بھانے والی آواز اللہ نے عطا کی ھے بھائ کو سبحان اللہ ، اللہ اکبر۔,,0
Zarik Gems,3 weeks ago,Masha Allah ,,0
Haroon Ali,8 days ago,ماشااللہ 49 سال حکمرانی کی ہے سلطان خبوس نے اس کہ بعد وفات پاۓ گے اللہ پاک شیخ سلطان کو جنت الفردوس میں عالی مقام عطا۶فرماۓُآمین,,0
Ahmad Israr,1 month ago (edited),پاکستان میں بھی مدینہ والے مقدس صادق و امین عمران خان کو تاحیات بادشاہ سلامت بنادیں  ان شاء اللہ پاکستان ترقی میں سب کو پیچھے چھوڑ دے گا,,0
Humaira Masroor,1 month ago,Awesome Personality MTM sb️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,9
Mohd Arif,1 month ago,Mufti sahab Mai app ka babut Bada fan hu app ke bayan sun ke Meri jindagi badal gayi Mai babut Khush hu ,https://yt3.ggpht.com/4xOAzIvoIg8qC5XxUsidebx4iCiibPYkLCihbmVDWpkngBBhmLPHNbHFvChTTJJq_SedTrxb9Q=s48-c-k-c0x00ffffff-no-rj,2
yeet land extreme bhatia,1 month ago,"Aslamualykum warhmtullahi wabrqatuh 

Mufti sa Allah tala ap ko afiyt ke sath kush rakhe salamt rakhe .",https://yt3.ggpht.com/ytc/AGIKgqP54-mG8TG9-mb_2JHjUdZwlvlhSmAhVfwF=s48-c-k-c0x00ffffff-no-rj,1
Misbah Ashfaq,1 month ago,Excellent vlog nature ka koi alternate nahi,https://yt3.ggpht.com/ytc/AGIKgqOmcvEGdvXfhNsiUkznvAYGo-o3weSBm9FAFg=s48-c-k-c0x00ffffff-no-rj,1
Islamic shorts videos.,2 weeks ago,Bahut khub sorat zo he mofti Sahab ,https://yt3.ggpht.com/0GeHenTSbF1zoSI0eobSX0sy_McLNcmf5nElIfOY5DkidM8hF6A4QTb6S2PY53tbpIBhdZBz=s48-c-k-c0x00ffffff-no-rj,1
Maaz Khan,2 weeks ago,Mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqNjMQgHcdtcWHfQYJH9nxeShZSoEJUnJ48ggZ3clj4YVGgOEQKAly5Tl19CFX1_=s48-c-k-c0x00ffffff-no-rj,0
Safar-e-Noor  Vlogs,4 weeks ago,Maa Sha Allah Bhot Khob,https://yt3.ggpht.com/ZPPMCikhHWfZdq4IxacnVRSqseqqv1bW9lZOdVrISH9tXbSa8cq5J3OxMnQlRjEiykUpUjAjLg=s48-c-k-c0x00ffffff-no-rj,0
Mohd Aalim 🇮🇳,1 month ago,Masha Allah ️ bahot khoob,https://yt3.ggpht.com/Jrb7N_qs2pKPn21c3TnfULa4glImOJ1fHK-WMLbZcBl5v-tUVVsi-EDrUsUFdHczrU2WmPAg=s48-c-k-c0x00ffffff-no-rj,0
Islamic Speeches,1 month ago,Ma sha Allah,https://yt3.ggpht.com/b6cl8oRr18NNOmtty6iSIFwJPZXGepitslxQCufqoUTSstjscq6bSVSRBWBfHUlsKbosPNHwsmg=s48-c-k-c0x00ffffff-no-rj,2
KAMRAN ALI Official,1 month ago,Masah Allah hazrt Allah pak kush rakke,https://yt3.ggpht.com/V_87VvfO_OalN8za7_-ch8yhXuhB6VGSzV3rotvcB7X7NbDMKzXlKJHayDd60_lckuFl_PHzBg=s48-c-k-c0x00ffffff-no-rj,1
Mdamanullah Shaikh,1 month ago,Mashallah,https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj,0
Amna Khatoon,1 month ago,Masha Allah Subhan Allah,https://yt3.ggpht.com/i3kqtFbYse8gh_7m8aCQmKJrg9MeHgGfFBU3jhWCpqUJppgqXJ3LBTiklyjTX5nrrHVGVfDLoQ=s48-c-k-c0x00ffffff-no-rj,0
Saad,1 month ago,Mashallah mashallah,https://yt3.ggpht.com/ytc/AGIKgqOb2-0QJcrcoaumUvw97bbmYC3frEwRbrXWzQxHuBmxi4mYeYgGeeuE6A9pArRS=s48-c-k-c0x00ffffff-no-rj,0
Mohd. Yasir,1 month ago,Mufti sahab  apka bahut bahut shukriya apne itni achi  jagah hame bhi  dikhai,,0
mohammadbaloch444 mohammadbaloch444,1 month ago,Mashallah mufti saab allah salamat kre Aapko,,1
Mohd Umar Aarif Khan,1 month ago,Mashaallah Bohot khub ,,0
jenabben patel,1 month ago,Mashaallah,,1
Baba Baloch,1 month ago,Mofti sab Allah pak ap ko khosh rake,,0
aliza sehar vlogs,2 weeks ago,Masha allah g masha allah,,0
Syed Muhammad Altaf Hussain,1 month ago,Hamare khaandani Mufti sahab ,,0
Rahees Azad,1 month ago,Thanks God bless you...,,0
Safar-e-Noor  Vlogs,4 weeks ago,Food Look So Tasty,https://yt3.ggpht.com/ZPPMCikhHWfZdq4IxacnVRSqseqqv1bW9lZOdVrISH9tXbSa8cq5J3OxMnQlRjEiykUpUjAjLg=s48-c-k-c0x00ffffff-no-rj,1
Mohd Afzal,1 month ago,Jazakallah mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqMg7tpv5KnafinDMyQ1WA7RVlFG78d2ybP8eg=s48-c-k-c0x00ffffff-no-rj,2
Sumaiya Qidwai,1 month ago (edited),Very nice  and beautiful video. Mufti met your friends.,https://yt3.ggpht.com/CqLJKkGfnJKnZXsgVjo2bGMwkPKRBJnfodvz_VRBcbarMmTvFvfBizokQLBZVusVAdVQDe9I=s48-c-k-c0x00ffffff-no-rj,1
Gufraan Abbasi,1 month ago,MashaAllah,https://yt3.ggpht.com/21chchrkq_fofPehVZiBclsgzDjXtIKBis_UmxgXuiM7kBLWB1FXTecrC1ThtL-J8bFsZ3S7EA=s48-c-k-c0x00ffffff-no-rj,0
Arman siddiqui,1 month ago,صلو ا علی الحبیب صلی اللہ علیہ وسلم,https://yt3.ggpht.com/ytc/AGIKgqNcFhZTn7WKuVIpR6Xhj652H1VqUhHhlmprKNuTfQ=s48-c-k-c0x00ffffff-no-rj,3
Doc On Youtube,1 month ago,"Assalamu'Alaikum Hazrat ️
Hazrat Peshawar bi Ayeein 
Peshawar walay Apse behaad piyar karte Hain 
Mujhe Apne duaoon mein zarur Yaad rakhein Hazrat please ️

Hubaib",https://yt3.ggpht.com/ytc/AGIKgqMSVBRYNR6e7We4JEB5gGbT6RKbX5JiqSGjVXfOUQ=s48-c-k-c0x00ffffff-no-rj,1
Kabir Khan,3 weeks ago,Hazrat ji me india se me app ko bohot ziyada follow karta hu me app ki sari video dekhta hu,https://yt3.ggpht.com/C6XbSck8i4WkUThJqF18semDSanE9dgWUCgwXptxYVF1lIS493WN2qEtWoIiVaXQyWH5mJT0Q2Q=s48-c-k-c0x00ffffff-no-rj,0
gafoorgichhi,1 month ago (edited),"Assalamu alaikum Mufti saab jazakallahu khaira....MA bohot hi khoobsoorat ghar, waha kay log aur mahaul hai...Mufti saab apnay video may kaha ki wahaa oman may sab tauheed parasth log hai....magar shuru may aapnay kaha ki waha par aapko deegar mazhab kay log jaisay hindu aur sikh bhi dikhai diya....zara ispay mukhtasar taur pay wazahat karday to bohot shukriya aap ka",https://yt3.ggpht.com/ytc/AGIKgqNJvKhK6l_OylrwW6yf-qUizZ6dnoAgD2ygjQ=s48-c-k-c0x00ffffff-no-rj,0
Amar Mostwanted,1 month ago,Masaallaah vlog,https://yt3.ggpht.com/ZiJWaiV0C39B_uiItywkXO3N04GRTkSuHdXKNODvx-9ocJ5RuXPHrxNGKIczRK4BQDxwxyK9=s48-c-k-c0x00ffffff-no-rj,0
