Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
alim khan,3 weeks ago,MashaAllah mufti sahab Allah apke mehnat qubool karein aur esa jazba ham mein bhi peda karein,https://yt3.ggpht.com/ytc/AGIKgqMrohqqwlVduCTfAwq0fsuI9HPaxx0_oUbWmD8k=s48-c-k-c0x00ffffff-no-rj,5
Nafis Ahamad,3 weeks ago,ماشاء اللہ بڑا حسین منظر ہے,https://yt3.ggpht.com/ytc/AGIKgqNyHndTrOQr_BjY9EMPMj9wezSXAXjCRtk-NSyA=s48-c-k-c0x00ffffff-no-rj,3
Mohd Shahnawaz,3 weeks ago,Allah tala Mufti saheb ke safar ko aasan kre 🇮🇳🇮🇳🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqPwLRPygntg6tzoxHDD8ZuT2Owp6--69M1vjvFc=s48-c-k-c0x00ffffff-no-rj,20
Sher's Realm🧕,3 weeks ago,So good airport....even better than our Toronto one ,https://yt3.ggpht.com/T0ZlyS4xrnFL_LHJ-pJv3-bee-ZIX8s-EtJ7RfydrwnCMXRIXEKFgJYY4nsF0McE7KdYHVGB=s48-c-k-c0x00ffffff-no-rj,0
Aisha queen 👑,3 weeks ago,Masha Allah  Allah apki umar me barkat de aur slamat rkhe mufti sahab,,9
Kaif Khan Vlogs,3 weeks ago,Ramadan Mubarak  Mufti sahab ALLAH apko jaza e khair de ,,4
s3 savage,3 weeks ago,Subhan Allah ️ Alhamdulillah ️ Allah u Akbar ️,,3
Humaira Masroor,3 weeks ago,Ma Sha'a Allah ,,5
bint farooq,3 weeks ago,may Allah swt protect you and your family.,,3
Qari Osaid Noman,2 weeks ago,"‎اللّه راضی ہو جائے تو مقدر بدلتے دیر نہیں لگتی 
️️️️️️️️️️",,1
Bobby Sodhi,3 weeks ago,Masha Allah ️ Ramadan Mubarak ️,,1
ishaal kolsi,3 weeks ago,My Favourite vlogger Mufti Sahab,,2
Misbah Ashfaq,3 weeks ago,Mashallah,https://yt3.ggpht.com/ytc/AGIKgqOmcvEGdvXfhNsiUkznvAYGo-o3weSBm9FAFg=s48-c-k-c0x00ffffff-no-rj,3
Gufraan Abbasi,3 weeks ago,SubhanAllah ,https://yt3.ggpht.com/21chchrkq_fofPehVZiBclsgzDjXtIKBis_UmxgXuiM7kBLWB1FXTecrC1ThtL-J8bFsZ3S7EA=s48-c-k-c0x00ffffff-no-rj,1
SEEMA TABASSUM,3 weeks ago,mashaAllah,https://yt3.ggpht.com/ytc/AGIKgqPH23i3jjty0x7KHF6wFMH25U5Z8haFFEDBlQ=s48-c-k-c0x00ffffff-no-rj,3
Kainat e_ Md Istekhar alam,3 weeks ago,Masha Allah,https://yt3.ggpht.com/ytc/AGIKgqNcVCrEb2PPYn-eS5e0AwaBlR90NijOSrqe3TES4bbeDpY71STTblSls0ZQN7N2=s48-c-k-c0x00ffffff-no-rj,2
Salim Ansari,3 weeks ago,Allah tala apke safar ko kamyab ata farmayai,https://yt3.ggpht.com/ytc/AGIKgqNXBVamgfQSBdor70OBPlZ6j8X0J1xziErDJzg-MqlOrNceMwaPop841nIS9lEf=s48-c-k-c0x00ffffff-no-rj,2
Mohd Umar Aarif Khan,3 weeks ago,Mashaallah ️️️,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,1
👑KING PATHAN 🔥,3 weeks ago,Masha'Allah Mufti Sab Ap ki Vloging bi Khandani hai Bilkul Ap ki Trha ,https://yt3.ggpht.com/rKZaydrRRkVN580CruAQTND4660-yZNp7Y8qCykYjCmA_0I3qlZ3ClMeAoEvrar8zi1VkdCRJw=s48-c-k-c0x00ffffff-no-rj,7
Riya Khan,3 weeks ago,Allah apki mhnt ko kbool frmay aameen,https://yt3.ggpht.com/57-DThs1upbXLfkqv0dRV9C2Ry1ZLXGiKoDwUgzn9arfN0jW4m2R_4xDKW0Xz66IE0GKVRs91Q=s48-c-k-c0x00ffffff-no-rj,2
Sufiya Ansari,3 weeks ago,Masha allah,https://yt3.ggpht.com/MqXZrvjmKzBqx5c1ggy81vAmsMV7ohaThjTjFC_8NubhjFxH9AWcVhFrmjpgZYAj_xFZrpCjo_c=s48-c-k-c0x00ffffff-no-rj,1
ibad ullah,9 days ago,Good work,https://yt3.ggpht.com/ytc/AGIKgqOAX_RwOowdwyXIJr9meOAR5gmUeS-m8oexXLmz=s48-c-k-c0x00ffffff-no-rj,0
