Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Trendzya,1 month ago,"MashaAllah,  mufti sahab ko khus dekh Kar bohot khusi hui.
Love from India 🇮🇳",https://yt3.ggpht.com/MJ0m-lURx5fxgM9mUTLtHvAuZlNdN3k9M8lq-vyzaDQv1YTrmsbBAwgy2_6VL01TxTMYK4iV=s48-c-k-c0x00ffffff-no-rj,21
Osman Rashid,1 month ago (edited),"I am staying in Oman. No doubt it's one of the safest and beautiful country in GCC.
The education system is good. Overall ppl are much much better and humble compared to other GCC citizen's.
And yes, mall security also stops foreigners with short dresses,  but not every mall doing this.
No security issue at all.
However Every place has positives and negatives.",https://yt3.ggpht.com/ytc/AGIKgqPZeogXehlbcCWD8Su_EGzCoBJsHVZPfu2oZkaiUUQ=s48-c-k-c0x00ffffff-no-rj,14
Ibraheem Yaseen,1 month ago,دنیا کے واحد عظیم لیڈر جنہوں نے 63 سال عمر پائی اور کبھی جھوٹ نہیں بولا وہ اللہ کے آخری رسول حضرت محمد ﷺ ہیں ,https://yt3.ggpht.com/-5D1rHWzWj7AZxhluZK9hRAWg6gcfZ9Lkq89HtoTcrlBYzUV6tJqHoQ3qtOnUhQpLK7q-EyxOA=s48-c-k-c0x00ffffff-no-rj,32
Mr Muslim👳,1 month ago,Don't judge a book by it's cover he motivate Muslims to be stronger,,20
Shaheer Khan,1 month ago,MashaAllah Allah mufti sahb ko nazre bad se bachay,,6
Sayyed waris Shah,1 month ago,MashaALLAH ALLAH PAAK salamat rakhe mufti sb KO aameen ️,,2
ABDUR RAFAY SHAIKH,3 weeks ago,Subhanallah,,0
arif khan,8 days ago,Mashallah mufti tariq masood sahab love you ,,0
SH Bhat,1 month ago,Mufti Sahib is enjoying....but in lectures he told something else.,,5
Amir shaikh murad,1 month ago,"Maa sha ALLAH ️
Mufti sahab ",,3
Ghulam Murtaza Anjum,1 month ago,"اللہ کا ہاتھ جماعتِ اوسط پر ہے۔ 
جو ووٹ طبقہ اشرافیہ کے امیدوار کو دے وہ اللہ کا دشمن اور جو بدمعاش  امیدوار کو دے وہ بھی اللہ کا دشمن۔
ہمیشہ ووٹ متوسط طبقہ سے تعلق رکھنے والے دیانت دار ترین اور قابل ترین امیدوار کو دیں۔",,0
Arshad Ahmed,1 month ago (edited),Subhan Allah from India 🇮🇳,,4
Syedjunaid3212 Syed,1 day ago,Subhanallha,,0
Shahnawaz,3 weeks ago,Mufti Sahab in Porsche  Masha Allah 🇮🇳,https://yt3.ggpht.com/o23SKZUVYT8Dh2gk0uuI1EDo9JK1lZBenPzTIPBJG64cX21rKt0PCqU50NAoTivMB_FcnSJ0cg=s48-c-k-c0x00ffffff-no-rj,0
