Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
bint farooq,4 weeks ago,Waiting curiously Mufti sahab. Allah apki hifazat farmai,https://yt3.ggpht.com/ytc/AGIKgqM3pUwOp5DfiPuAFEMklMKXhGWJrtVSHBHubdQ4L88Jw7bwaclJmfsMP6Ycfk2_=s48-c-k-c0x00ffffff-no-rj,4
A.F,4 weeks ago,"رسول اللَّہ(صلَّی اللَّہ علَیْہ وَسلَّم) نے فرمایا
ایک مسلمان دوسرے مسلمان کے لیے ایک عمارت کی مانند ہے️
جس کی ایک(اینٹ) دوسری (اینٹ) کو مضبوط کرتی ہے",https://yt3.ggpht.com/F1iwJUo4JFyhQObSLfXBXaJJKmILQuAnBLzfPoSaGZ2I-WKQqEL7FyvxsEcdwgqYYnzppug8qJw=s48-c-k-c0x00ffffff-no-rj,7
Ali Hassan,4 weeks ago,we are with you mufti sahab.mashallah,https://yt3.ggpht.com/ytc/AGIKgqPw6iYHo_3Y34wbuv94MZjPG8YefnU7rROx9ZLFEkWTYLblLmMRvx25s4jWXcbq=s48-c-k-c0x00ffffff-no-rj,5
محب مرشد,4 weeks ago,رمضان المبارک بالکل قریب ہے ہمیں تراویح کی تفسیر سننی ہے آپ سے,,16
MS Hussain,4 weeks ago,Masha Allah ,,2
ℕ𝔸𝔹𝔼𝔼𝕃 𝕍𝕆𝕀ℂ𝔼 ℍ𝔻,4 weeks ago,Mashllah mufti saihb Mai bhot Byan sunta ap pichly 2 years sa mufti bhot achy tarkiy sa smjhaty ap Mai khod ap k Byan Share krta.....Allah mufti Sahib ky illam mai ammal Mai zindgi Mai barktain ata formy ameen Suma Ameen ️,,1
Humaira Masroor,4 weeks ago (edited),"Going for Help of earth quake affectees, good to know Mufti sb ️",,5
Gufraan Abbasi,4 weeks ago,MashaAllah ,,2
Hafiz Mohammad Bilal Official,3 weeks ago,Mashallah ,,0
haniya Kashish,4 weeks ago,Mashallah app ka bayan sun kar bhut  inspiration mili hai mere bhi Nikha ho ne wala hai  1 mahine bad mashallah aap ke bayan bhut acche hai,,0
Saad,4 weeks ago,Masha Allah,,1
Sahinkhanrajpuriya,4 weeks ago,Good work mufti tariq masood saahab ,,0
Shaheer Khan,4 weeks ago,Allah app ko jazay khair dy,https://yt3.ggpht.com/ytc/AGIKgqM-LGjUiRHOPM3B7omI-YSRlC6AYxP4JhVx04-xyi7zwxlr8yfTbV0pN9llRu2j=s48-c-k-c0x00ffffff-no-rj,1
Mohd Umar Aarif Khan,4 weeks ago,Allah paak Safar Asan farmaye Aameen ,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,0
Amjad Pathan,4 weeks ago,Allah aapki hifazat kre,https://yt3.ggpht.com/ytc/AGIKgqMQG23cx3xETFC-FfyPwxU8k6S_m-pa0jpU5A1lbBhmoBAgnq7pw2YIp4cBfqYP=s48-c-k-c0x00ffffff-no-rj,0
Aaqib Khan,4 weeks ago,"Have a safe journey , ustad jee",https://yt3.ggpht.com/ytc/AGIKgqOr-2Agq_mVQF6vX4JvtP5uHatRufhPhhFNMQ=s48-c-k-c0x00ffffff-no-rj,0
ibad ullah,12 days ago,good job,https://yt3.ggpht.com/ytc/AGIKgqOAX_RwOowdwyXIJr9meOAR5gmUeS-m8oexXLmz=s48-c-k-c0x00ffffff-no-rj,0
Misbah Ashfaq,4 weeks ago,Good job mashallah ,https://yt3.ggpht.com/ytc/AGIKgqOmcvEGdvXfhNsiUkznvAYGo-o3weSBm9FAFg=s48-c-k-c0x00ffffff-no-rj,0
Ikram Ansari,3 weeks ago,ماشاءاللّٰه,https://yt3.ggpht.com/ytc/AGIKgqOUcR_ijVcjA7B6LIL3SlejSSmSbH-I1IvvSKOr-ZA59Cr9GXqN9eiP56YqeU7A=s48-c-k-c0x00ffffff-no-rj,0
Sonu Cool,3 weeks ago,Assalamualekum Allah apki umar mai barkat kre ameen mai indiya se shan,https://yt3.ggpht.com/ytc/AGIKgqOD4v6airwOZ2LycTKD1rLWYmbjOoW8aGfcTQ=s48-c-k-c0x00ffffff-no-rj,1
asmaa umar,3 weeks ago,Ma Sha Allah Allah salamt rakhe AP ko,https://yt3.ggpht.com/ytc/AGIKgqPMovnswLtQt9SaiMypku_CWq0Qk8T7UgQgLBCcWkADBY6hjRTcpvtYJIM023uP=s48-c-k-c0x00ffffff-no-rj,0
Hafsa Azhar,4 weeks ago,Mashallah,https://yt3.ggpht.com/ytc/AGIKgqMf1F9qBRDF-l0WsM7REaBckpk3_sHpaMuKi6o0v1-qp7LHTPz66CpPXe5SW8sx=s48-c-k-c0x00ffffff-no-rj,0
Life style With junaid,3 weeks ago,Aap jis Hawale Se Dur ki tashrif Le Gaye Hain Allah Pak aapko Apne Makan se Kamyab Kare aur aapko Apne juban mein rakhkar aur Sahab khairiyat ke sath Karachi Wapas laen aamin,https://yt3.ggpht.com/ytc/AGIKgqO0m4dp-OD5oIeY6gElxzIiwLoHUozQxY0oaKL5SLc=s48-c-k-c0x00ffffff-no-rj,0
Mezan Howlader,4 weeks ago,JZAKALLAH hzrt,https://yt3.ggpht.com/ytc/AGIKgqMYWtARlhh_-0G4nZlVXFQAPJN5ZnFZl_LS9S5kJQ=s48-c-k-c0x00ffffff-no-rj,1
Mohd Afzal,4 weeks ago,Jazakallah mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqMg7tpv5KnafinDMyQ1WA7RVlFG78d2ybP8eg=s48-c-k-c0x00ffffff-no-rj,0
KAMRAN ALI Official,4 weeks ago,Subhan Allah hazrt,,0
Abd Ullah,4 weeks ago,Allah hafiz!!!!!!!!!,,0
Mohd. Yasir,4 weeks ago,اللہ آپ کے سفر کو آ سان کرے,,0
Muhammad Bin Aslam Official,4 weeks ago,,,0
Khushal786Khan,4 weeks ago,,,0
Mufti Tariq Masood No.1,4 weeks ago,,,0
Irshad Ahmad,4 weeks ago,Mufti sb turkey ki tarawheeh namaz bi upload karna aap plz,,0
Gufraan Abbasi,4 weeks ago,Assalamu Alaikum Hazrat ji,,0
Mohammad Ali,4 weeks ago,Love you ho gya mufti sab g,https://yt3.ggpht.com/ytc/AGIKgqMbOIfi7rVn5NsZ0nrZ4th12N8Ss7FD8hDKxbPZ5w=s48-c-k-c0x00ffffff-no-rj,0
Uzmahafeez Rahman,4 weeks ago,"Assalamualaikum qairiyat hogi inshaallah
Mufti sahab sahil adeem ke saath aap ka eak interview hojae tu hidayat aasan hojae
Inshaallah",https://yt3.ggpht.com/ytc/AGIKgqMEhyOuzOf4V2BfohsbLUDABpI60sTFSjWdeA=s48-c-k-c0x00ffffff-no-rj,0
Stories and Riddles,3 weeks ago,Bhai Farooq Sahab bhee Saath baithay Hain. Wah wah.,https://yt3.ggpht.com/T20TVx2fUZCWDPR91Ya1vI8T4V7YEjnJ4A_uGnPwxH1Bt-Nj5kmWYUfnBX_QeN_bhOsm244KWWs=s48-c-k-c0x00ffffff-no-rj,0
harmony shiekh,4 weeks ago,Assalam Alaikum Mufti Sahab swal ka jwab denge ap?,https://yt3.ggpht.com/ytc/AGIKgqNaDx_SPJylmj12QyEZmm3q7MXraslUDYRaXA=s48-c-k-c0x00ffffff-no-rj,0
Palestine🇵🇸,4 weeks ago,"Peace and mercy of God
  I am from Palestine, I have orphaned children, and my husband passed away several years ago, and there is no one to stand with us. I have a child who wants eye treatment and I have no one to help us
Even most of the time, there is no food for the children, and I live in a rented house
I have no money for treatment, food, or house rent, which is very difficult
O my brothers, do not forget me

By God, I am not a deceiver, nor a liar, and I speak the truth 
And I have all the medical appreciation that caused it

 ⁰⁰⁹⁷⁰⁵⁹²⁵¹¹⁹⁶⁹

رمضان كريم",https://yt3.ggpht.com/o5lBrna27p2RSXZ-9PoXV5ooRxrvcozk8P4Iz4kEJvTuNz4oDpHPDlSsrwsK-14pewbjvcPOvLE=s48-c-k-c0x00ffffff-no-rj,5
Shadma Khan,4 weeks ago,Dua ker den maulana saheb naam le ker,https://yt3.ggpht.com/ytc/AGIKgqOesR7g0xe8o_L2dkKPECUNvXd_J06moq5m69WdFsnw0Hmy9238U6zwKFNJLIDm=s48-c-k-c0x00ffffff-no-rj,0
KILL- WILL PANDEY!!,4 weeks ago,ISLAM ME KAFIRO SE BHEEKH LENA JAYAZ H ,https://yt3.ggpht.com/66feEZfy0vMQ3iMPkcokiDne_EZKDjINigzLA6ZmH7YtyPMbAfWAI7H0r9OQpbkY7IuHu8zu1m8=s48-c-k-c0x00ffffff-no-rj,0
Talha Khan,4 weeks ago,Mufti Saab aap Apne awaz pi pora Qur'an majeed Ricard kari as ramzan main aap ko kai martaba SMS kya jazakallah,https://yt3.ggpht.com/ytc/AGIKgqPFyZHfaOU2ty1cO0IxfNjxQGtJ-HBpXeDfCZOD34elmocADV4G8X9bed3YqJOC=s48-c-k-c0x00ffffff-no-rj,0
bukhari (2704),4 weeks ago,Mai India se hu Mufti Sahab mujhe aapke bayan krne ka tarika bohot pasand hai ,https://yt3.ggpht.com/vMNz9cszK80wRld0hUF_UNA3tc4QxFWIb0WY1vfg8RFkrzDLHqm8EbftHpB-nrPiOOe1UZ1A4w=s48-c-k-c0x00ffffff-no-rj,2
Murat halit,4 weeks ago,"مفتی صاحب کیا آپ کا بیان ہوگا ترکی میں, اگر هوگا تہو برای مهربانی پہلے سے وقت اور ادرس بتہا دے",https://yt3.ggpht.com/ODePTsUxVKUUR6rF_aOBi4JerzVffF3I3nCEqwk_t8PpXpZTTuwz5cJUlukQtLAZEWEIo_Du=s48-c-k-c0x00ffffff-no-rj,0
