Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Humaira Masroor,10 days ago,"Whole Vlog is tooooo much interesting, words are short to describe ",https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,5
ٴ,7 days ago,The Christian man is very humble,https://yt3.ggpht.com/8GogUAusxV1psg5K6ir3pBYvIFzFMIMbqV5MqNTZ7cPqekXbBH9K_B2m_Q127pR_BjAiHVA2=s48-c-k-c0x00ffffff-no-rj,2
SOFT GIRL ꪜ,10 days ago,Thanks a lot Guys for your love and support Love you all Guys ,https://yt3.ggpht.com/_SfCHXe8oNWxAgLC0ku1uOJc2EZfBmr0j6WaYZ2u5bajl9Jv8qfFofBtZtytA-4o46GMdX3wxvA=s48-c-k-c0x00ffffff-no-rj,11
ٴ,7 days ago,Mashallah Barakallah keep up with this good work ️,https://yt3.ggpht.com/8GogUAusxV1psg5K6ir3pBYvIFzFMIMbqV5MqNTZ7cPqekXbBH9K_B2m_Q127pR_BjAiHVA2=s48-c-k-c0x00ffffff-no-rj,1
Ask Mufti Tariq Masood Official,10 days ago,Masha Allah  Mufti Sahab ,,4
mughal home vilogs,17 hours ago,تمام مسالک کو مل جل کر اتفاق کے ساتھ محبت کے ایسے ہی رھنا چاہی ہے ماشاءاللہ,,0
Molana Ibraheem Yaseen Vlogs,10 days ago,اچھا میسج دیا مفتی صاحب نے,,2
Islamic Shorts,8 days ago,I invite everyone to listen Quran recitations & Islamic speech from India 🇮🇳dg,,2
Servant of Allah,10 days ago,MaAza aa gya Mufti Sahab ... very nice,,3
Umer Hayat,10 days ago,Mashallah Mufti sahb you are great. Kash baqe Ulma bhe ap jese hote,,2
Gufraan Abbasi,10 days ago,MashaAllah ,,0
Shama Khan,10 days ago,MashaAllah️ mufti sahab️ ,,1
