Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Aroosh Fatima Voice,1 month ago,صلی اللہ علیہ وآلہ وسلم,https://yt3.ggpht.com/bMszdHJyv4xnGxAQrqmWhQhDm98RGL7RRlk7N_ZIJgBWBqF5_WWELSv4pKgyUvz1XpDitrkkuw=s48-c-k-c0x00ffffff-no-rj,5
haniya Kashish,1 month ago,Mash ALLAH information milti hai zabardast Barak Allah khair,https://yt3.ggpht.com/ytc/AGIKgqNPpocMAUBKUexj1Huz3sVJHm8aV5ArZuJHENhcg5PMxkdXsSqUJn_SlPt0WdJ_=s48-c-k-c0x00ffffff-no-rj,3
Umar Lashari,1 month ago,"Assalam U Alaikum
Nice sharing Mufti SaaB ️
LovE FroM #IRAN 🇮🇷",https://yt3.ggpht.com/ytc/AGIKgqPRrnJ-4p4dMIm74E5neRiuEq1RL0V7c172QRQXQQ=s48-c-k-c0x00ffffff-no-rj,3
Humaira Masroor,1 month ago,Old History MTM in Italy ️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,7
BlueDreams,2 weeks ago,"Mufti Sahab, very informative vlog. JazakAllah for the time and effort.",,0
saif khan,3 weeks ago,Amazing vlog super informative ,,0
Misbah Ashfaq,1 month ago,Mashallah  informative,,3
Raheema Khan,1 month ago,.mashalla,,3
nobody,1 month ago,yes your representing islam in wearing shalwar kameez and pug with BUEAtifull beard MA SHA ALLAH,,2
Shaheer Khan,1 month ago,I am firstmufti sahb dua ma yad raky Allah aap ko jazay khair dy,,3
Saad,4 weeks ago,Masha Allah masha allah,,0
Haya Iman,1 month ago,Mujhe mufti sahab k sary vlogs bht pasnd hai,,2
NCASD ASWDC,2 weeks ago (edited),Inna lillahay WA inna elahay raajioon.,https://yt3.ggpht.com/ytc/AGIKgqMFcTY7GP8i7XZ3LE16achxx1aNhjLCtpQbakSO=s48-c-k-c0x00ffffff-no-rj,0
M Ahmad,4 weeks ago,Love mufti Tariq Masood Sahab ️ Allah pak Apki umer mein barkat dein Allah pak Apki Hifazat farmain Ameen summa Ameen ,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,4
XR zone,1 month ago,Mufti sahab mobile se blog bhi kr lete hai...wow... multi-talented,https://yt3.ggpht.com/zEQet8vsBJ6gYtTEGurAxxzjr-mPPwb_NLjGYO_qAZXt6_aE-jRLgqvrzIAp4N6WQcXwyQqUEA=s48-c-k-c0x00ffffff-no-rj,2
Gufraan Abbasi,1 month ago,MashaAllah,https://yt3.ggpht.com/21chchrkq_fofPehVZiBclsgzDjXtIKBis_UmxgXuiM7kBLWB1FXTecrC1ThtL-J8bFsZ3S7EA=s48-c-k-c0x00ffffff-no-rj,4
ISALAM,4 weeks ago,Jazakallah,https://yt3.ggpht.com/Su28i2Ols4JBjnEYWAb_sRtXzUDoW5QVusXfYvdzXDyiC1KWrhrOrTT3Pt6wxGHitCUXYEHm8g=s48-c-k-c0x00ffffff-no-rj,0
Md Toseef islamic,1 month ago,,https://yt3.ggpht.com/Z5rIOYZIIKfiu1RvoSL5qwAlKvnUg8umg_6z86FsoQ7QSMZl3kDpzaMBulFwn_Te7Pa1fbTbdg=s48-c-k-c0x00ffffff-no-rj,3
Ritesh Yadav,4 weeks ago,Bharat Mata ki Jay Jai Hind Vande Mataram 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,https://yt3.ggpht.com/CEZAG7POg5sR91hTtUf906UcsQ0M4q4snKYEnadwCnrApTbj_pd9GF57WJFeJqBLLTT8KOvX=s48-c-k-c0x00ffffff-no-rj,1
Maaz Jan,1 month ago,استاد جی ,https://yt3.ggpht.com/wPdRgysu4V4NQjHiXP9M_RAhTT_Mch4-uA7AUF2q5TduE2r-k7S2zAbklxR56MCuidMEd8cvgw=s48-c-k-c0x00ffffff-no-rj,3
Ritesh Yadav,4 weeks ago,"Ek Hi Nara Ek Hi Naam 
JAI SHRI RAM ️ JAI SHRI RAM
️️️️️️",https://yt3.ggpht.com/CEZAG7POg5sR91hTtUf906UcsQ0M4q4snKYEnadwCnrApTbj_pd9GF57WJFeJqBLLTT8KOvX=s48-c-k-c0x00ffffff-no-rj,1
Aroosh Fatima Voice,1 month ago,mashaAllah,https://yt3.ggpht.com/bMszdHJyv4xnGxAQrqmWhQhDm98RGL7RRlk7N_ZIJgBWBqF5_WWELSv4pKgyUvz1XpDitrkkuw=s48-c-k-c0x00ffffff-no-rj,3
FURQAN Sk,4 weeks ago,5:55 Hercules,https://yt3.ggpht.com/ytc/AGIKgqNqQDxwsepOit92qHUDW0BHGmXm9tq9NRM_-cVQ=s48-c-k-c0x00ffffff-no-rj,0
Nadeem Dar,4 weeks ago,Mufti sahab bas camera acha laya video quality achi nahi hai ️️️️,https://yt3.ggpht.com/ytc/AGIKgqN4XcVXgjGLQXb9yMt7V_5kt34_n8Zcic31Uw=s48-c-k-c0x00ffffff-no-rj,0
