Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ibraheem Yaseen,1 month ago,دنیا کے واحد عظیم لیڈر جنہوں نے 63 سال عمر پائی اور کبھی جھوٹ نہیں بولا وہ اللہ کے آخری رسول حضرت محمد ﷺ ہیں ,https://yt3.ggpht.com/-5D1rHWzWj7AZxhluZK9hRAWg6gcfZ9Lkq89HtoTcrlBYzUV6tJqHoQ3qtOnUhQpLK7q-EyxOA=s48-c-k-c0x00ffffff-no-rj,71
Rikk Tech,1 month ago,"Lived 8 years oman, always miss those days!!! Aaahh what a country and what a nation",https://yt3.ggpht.com/ytc/AGIKgqP4xE9YBMtzqswoy1QVZRZ8Auz2Vh_tpFB4tK6sfw=s48-c-k-c0x00ffffff-no-rj,8
M Ahmad,1 month ago (edited),Love mufti Tariq Masood Sahab ️ Allah pak mufti Sahab ki umer mein barkat dein Ameen summa Ameen ,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,15
Muhammad Rayyan,2 weeks ago,"Subhanallah, Love to see Muslim Culture",https://yt3.ggpht.com/ytc/AGIKgqOgQjXQ1g94FLPSOJK7JTMIYduZDnD-nDlkeaHX=s48-c-k-c0x00ffffff-no-rj,0
md zaid,1 month ago,"MashaAllah great personality Allah Umar me barket de or apne hifzo Aman m rkhe,mufti Tarik masood Saheb",,5
Bilal Saeed,3 weeks ago,"Masha Allah
Watching From Oman 🇧🇩🇴🇲",,0
Muhammad Anas,1 month ago,"Arman rehmani spotted at 9:20
He's been my very good friend since childhood. We used to ride bicycles together. ",,2
Deen-e- Islam,1 month ago,MashaAllah,,6
Sheikh abdullah,1 month ago,الحمدلله رب العالمين اللهم ارزقنا زوجات الصالحة 🇦🇪🇸🇾🇶🇦🇾🇪🇮🇷🇮🇳🇷🇺🇸🇦🇩🇪🇩🇪🇹🇷🇮🇩,,1
s b,1 month ago,mashaallah great allah umar me barket de,,0
Wasif Noor,1 month ago,ما شاء اللہ سبحان اللہ صلی اللہ علیہ وسلم اللہ تعالیٰ حضرت والا دامت برکاتہم العالیہ کی مکمل طور پر حفاظت فرمائے آمین ثم آمین یا رب العالمین,,4
Humaira Masroor,1 month ago,Beauuuuuuutiful ️,,6
Waseem Ahemad,1 month ago,Masha Allah mufti sahab ️️️,https://yt3.ggpht.com/ytc/AGIKgqNiESDbZ_e-bRxOstFMEJU90LqBuGrGMqTEJQ=s48-c-k-c0x00ffffff-no-rj,2
Md MURSHID,1 month ago,ماشاءاللہ تبارک اللہ تعالیٰ اللہ تعالیٰ خوب قبول فرمائے اور پوری امت مسلمہ کو بھی اسی طرز پر پر عمل کی توفیق عطا فرمائے آمین یا رب العالمین,https://yt3.ggpht.com/ytc/AGIKgqO4N1JosMhvoxiqkMe59bT2M9lwSmE_PejA0t3oUifN0-rFD6HU5shVE_Hvppyf=s48-c-k-c0x00ffffff-no-rj,0
Learn Quran Simply,1 month ago,Mashallah bht acha msg pakistani ka liya Allah apko salamat raky,https://yt3.ggpht.com/Rx0lkDk64YywLUlND2iNuaFDvZIfM9ww7yAA6OkLPZJucIpFMDkNEVU9AgRCJtQY3bVGDIqLtQ=s48-c-k-c0x00ffffff-no-rj,0
informative knowledge,1 month ago,اللہ مزید عزتیں عطا فرماٸیں,https://yt3.ggpht.com/ytc/AGIKgqM3iB6QzeIANEWNUp2P1FAFfQbgZLVK2EH09c92ztB0BMKkrS4cd4Qv3OaBXGUb=s48-c-k-c0x00ffffff-no-rj,0
فوزیہ,1 month ago,ماشاءالله مفتی صاحب آپکا اپنا ھی تواضع ھے اللہ آپکو سلامت رکھے,https://yt3.ggpht.com/6sv-Xxc49bCJeME556opmvX_kZD6Ll-6gHAzMTKHD8CGqAu8f-8-4gt7RVlZosISqFE4sX08sg=s48-c-k-c0x00ffffff-no-rj,5
Farheen Bano official,1 month ago,Mashallah ,https://yt3.ggpht.com/-A_MHdjkN70jNwEtH8q3Oopp5ae9_WCOaCxGO-VJVnMw92v95XE33ezqsSdlXWH-vB42jrXVZA=s48-c-k-c0x00ffffff-no-rj,4
MD Shuaib Official👍🏻,1 month ago,ماشاءاللہ بہت خوب نظارہ ہے,https://yt3.ggpht.com/9zGjTGIoBYzJZejxQ9Ee269IcO84t_2CBQ3bNdEliaEDUiXCSH3u4n-UzrFNHIun5-D2RRyr=s48-c-k-c0x00ffffff-no-rj,10
Pathan Khan,1 month ago,Masha ALLAH,https://yt3.ggpht.com/is8x_59RS63v8Tln52gJ4MhVtyG3R5Gv0PyKTJpZPCjRowYF-SgL3KRswS6M51ZcOyoWENz4si4=s48-c-k-c0x00ffffff-no-rj,0
Yasir khan,1 month ago,مزہ آ گیا ۔۔۔۔کمال ہے۔۔۔۔ہمیں اسکی پیروی کرنی چاہیے,https://yt3.ggpht.com/ytc/AGIKgqNvJsr8sYUdet3ExlseOc5lqHD-1fW946UEapzA=s48-c-k-c0x00ffffff-no-rj,3
Mohd Umar Aarif Khan,1 month ago,Mashaallah Bohot khub ,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,4
Mir Mudasir Mohiudin,1 month ago,"Love you Oman 
Will be there soon again in sha Allah",https://yt3.ggpht.com/ytc/AGIKgqNBKCDXehVvF9HVfpbmCUXwruPob-d9XVPWk74t=s48-c-k-c0x00ffffff-no-rj,0
