Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ummul Banaat ام البنات,1 month ago,"Zabardust, beautiful, nice place ",https://yt3.ggpht.com/pXEZLmC9zbwRXAGbGXQ0IpH4qhLyHFrTGEQQCSF-6MZ-UKdOorwwJ3Lf_lQSsmSvSjop3Tcf=s48-c-k-c0x00ffffff-no-rj,1
Asim Ullah,1 month ago,"Maa Sha Allah
Allah Taala Nazre Bad se Bachaye Aur Sare Muslamano Ko Allah Taala Aise Hi Wasat Ata Farmaye Aur Aapas Main Muhabbat wa Ulfat Ata Farmaye
Aameen",https://yt3.ggpht.com/E519rdIFO81oJLBJriynQq0jlfIY1ACVHsNXevX8WC5MbM_ODIJIUBqRuKvmddHexggPKvkgPtE=s48-c-k-c0x00ffffff-no-rj,0
Waseem Ahemad,1 month ago,Masha Allah mufti sahab ️️️,https://yt3.ggpht.com/ytc/AGIKgqNiESDbZ_e-bRxOstFMEJU90LqBuGrGMqTEJQ=s48-c-k-c0x00ffffff-no-rj,2
malik imran yaseen,1 month ago,Mufti Tariq Masood sab is great scholar,,7
Humaira Masroor,1 month ago,Ma Sha'a Allah zaberdast mufti sb  SubhanAllah ️,,4
Pathan Khan,1 month ago,Masha ALLAH they respect ulama,,0
Ibraheem Yaseen,1 month ago,دنیا کے واحد عظیم لیڈر جنہوں نے 63 سال عمر پائی اور کبھی جھوٹ نہیں بولا وہ اللہ کے آخری رسول حضرت محمد ﷺ ہیں ,,1
Amna Khatoon,1 month ago,Masha Allah Subhan Allah,,0
Muhammadtariq Muhammadtariq,1 month ago,Subhan Allah.,,0
Safeen Qureshi,1 month ago,Mufti Tariq masood is a great scholar ,,0
Dawood Khan,4 weeks ago,سبحان اللّٰہ ️,,0
SEEMA TABASSUM,1 month ago,mashaAllah,,1
Wisdom Shorts,1 month ago,amazing outro.. MashAllah,https://yt3.ggpht.com/rp9ZO7bv0cSZ7Vl-euzPDo2spzUT2pC6fsibkqoWtKIU_keCPnEcUWuRR0j5WNG2g_-zi0Y6B1U=s48-c-k-c0x00ffffff-no-rj,0
Faki Baba,1 month ago,Mashaallah allah ap ko jazayay khiar dy,https://yt3.ggpht.com/ytc/AGIKgqOcK5Xbyr42twOxUPv88T1Egn-2lO4WxwhGbSow_HqeSgY3hlN3TOBOAdSBYKbH=s48-c-k-c0x00ffffff-no-rj,0
Hayat Raja,1 month ago,Allahu Akbar ️,https://yt3.ggpht.com/ytc/AGIKgqMFX3Ep8PU2IrgUXFMyaB4K2LdyvdqDLiRxW2jZ=s48-c-k-c0x00ffffff-no-rj,0
