Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
M Ahmad,1 month ago,Love mufti Tariq Masood Sahab ️,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,2
Abdul Wahid,1 month ago,I love mufti Tariq Masood Seb,https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj,3
Share It,1 month ago,Mufti Sahab aapko dekh ke dil khush ho jata hein,https://yt3.ggpht.com/ytc/AGIKgqMne5_1lpMDe3nyFsD0Hv-jYczIqbMlEzMBgvMHUquCBN-ihQUq_BRMqtU8SipP=s48-c-k-c0x00ffffff-no-rj,4
Aboobaker Sidiq,1 month ago,ماشاءاللہ ,https://yt3.ggpht.com/ytc/AGIKgqPg6DLp0oBVr3M0qpfc4vUJl8u1O1-g00lOMQc0-g=s48-c-k-c0x00ffffff-no-rj,0
zainab zaiqa,1 month ago,Maulana sahab mere Walid ki magfart ki dua kijye ga,,6
Shakeel Malik,1 month ago,ماشاءاللہ تبارک اللہ ۔۔۔ بہت خوب صورت گفتگو ۔۔ میری پسندیدہ عود اور خوشبو,,0
Humaira Masroor,1 month ago,Ma Sha'a Allah ,,5
Misbah Ashfaq,1 month ago,Very informative mashallah ,,4
Nayab👑,1 month ago,Masha Allah ,,7
TAHIR Baxa official,1 month ago,"ماشاء اللہ
سبحان اللہ
الحمد للہ",,3
SEEMA TABASSUM,1 month ago,SubhanAllah,,1
M F Bijnori official,1 month ago,Ma sha allah bahut khoob mufti sahib,,3
Sufiya Ansari,1 month ago,Masha Allah,https://yt3.ggpht.com/MqXZrvjmKzBqx5c1ggy81vAmsMV7ohaThjTjFC_8NubhjFxH9AWcVhFrmjpgZYAj_xFZrpCjo_c=s48-c-k-c0x00ffffff-no-rj,1
Mirza Anwar,1 month ago,Masha Allah ,https://yt3.ggpht.com/ytc/AGIKgqPsFH6R1rvTwoY11lVAM0zSU86RFMRYZ7so73tjaw=s48-c-k-c0x00ffffff-no-rj,0
Faisal Ali,1 month ago,مفتی صاحب سے گزارش ہے کے وہ بنگلہ دیش کا سفر کریں تاکہ ہم ہندوستان والے آپ سے ملاقات کر سکیں ۔,https://yt3.ggpht.com/xO29uKmHnWLQtqMD6iBTr7nf52JVRMYKDtdMkZdrewBKifXJDOqo7d-1Zf0OShEkCd7-EW65Eg=s48-c-k-c0x00ffffff-no-rj,23
Shalam Khan,1 month ago,Mashallah. Shukriya Mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqMztdGpZgtc1ePgjTpTfjC94C9wVXPuZlwKlA=s48-c-k-c0x00ffffff-no-rj,0
Hafiz Hafeez,1 month ago,Very beautiful city,https://yt3.ggpht.com/ytc/AGIKgqPuDjZQoVdm6D9A6GtKt4EbcJSi2DFHtjKqE4TEQu9Liduj99GLfRMp3tSsDi5s=s48-c-k-c0x00ffffff-no-rj,0
AFZAL KHATTAK,1 month ago,MashAllah.,https://yt3.ggpht.com/ytc/AGIKgqNpDu2ZB4SiLkUmDJKxOzNy4RvE0nPdRpBmw96-=s48-c-k-c0x00ffffff-no-rj,2
Azhar Chouse,1 month ago,Mufti Saab great efforts,https://yt3.ggpht.com/ytc/AGIKgqO9MTUmPK3OMbQrnLIl1hBS8pNW8ucIJATJG8mOEg=s48-c-k-c0x00ffffff-no-rj,1
Adeena,1 month ago,Mufti tariq masood ap bohot sachay saf dil ke insan hai apke andar koi takabur shokhi bazi nh hai Allah apko khush rake salamat rake.,https://yt3.ggpht.com/ytc/AGIKgqMj2gzAGx4vm5TeVKH6DTO-R5RNAOYeZPuL3HJ1kg=s48-c-k-c0x00ffffff-no-rj,1
Noshad Anwar,1 month ago,Nice ,https://yt3.ggpht.com/ytc/AGIKgqM_uulHYElqAKSZb9A10Q29bigAs0Hq9pKbD9Pp0XERjuoLyXfXQSc_SJ8TGE2N=s48-c-k-c0x00ffffff-no-rj,1
shahid hussain,1 month ago,ماشاءاللہ تبارک الرحمن,https://yt3.ggpht.com/ytc/AGIKgqOuF_YAK1_2nksxo21m8vp9qdMZP3A7AyLA-z6vUGnvPrnnLu_shpwCijTpQ9Mk=s48-c-k-c0x00ffffff-no-rj,0
Mohd Umar Aarif Khan,1 month ago,Mashaallah ️️️,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,3
Saad,1 month ago,ماشاءاللہ,https://yt3.ggpht.com/ytc/AGIKgqOb2-0QJcrcoaumUvw97bbmYC3frEwRbrXWzQxHuBmxi4mYeYgGeeuE6A9pArRS=s48-c-k-c0x00ffffff-no-rj,2
Kareem Nawaz,12 days ago,Bhtt achi guftugoo masha Allah ap sb hzraat ki  jo gari mn ap logn ne ki apas mn fkr mndana.. Allah hmary pakistan k system durst kr dy Malik koi bhaij dard mnd insan or  hm awam ko b aql e saleem ata kr dy.. Ameen,https://yt3.ggpht.com/ytc/AGIKgqOuGko_iOEkFhPWuvkkd4CeTAhpwWIK9TLHE8E9FoPYQeG-a9k6XpndAdn75l2N=s48-c-k-c0x00ffffff-no-rj,0
نور سعود,1 month ago,Nice,,1
Usman Ahmed,1 month ago (edited),مفتی صاحب اس ویڈیو سے مجھے بہت معلومات ملی ہیں خوشبوؤں کے بارے میں,,2
Inshal waseem,1 month ago,,,2
Dawood Khan,1 month ago,I like perfumes ️,,1
Mufti Ragib Miftahi,1 month ago,Please come in india,,0
Topi Darama,1 month ago,Oud is more expensive than gold,,0
