Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ibraheem Yaseen,1 month ago,دنیا کے واحد عظیم لیڈر جنہوں نے 63 سال عمر پائی اور کبھی جھوٹ نہیں بولا وہ اللہ کے آخری رسول حضرت محمد ﷺ ہیں ,https://yt3.ggpht.com/-5D1rHWzWj7AZxhluZK9hRAWg6gcfZ9Lkq89HtoTcrlBYzUV6tJqHoQ3qtOnUhQpLK7q-EyxOA=s48-c-k-c0x00ffffff-no-rj,174
Raza Khan,1 month ago,Mufti sahab follow the quranic verse 24:30 and see how he is protecting himself while talking lowering his gaze... Alhamdulillah.. Love u mufti sahab from India🇮🇳,https://yt3.ggpht.com/iJ1Ov4WHu9X5vX_LJBHOO_KSkmGDim7YmGNwM9MJqCjS2c1aiGqebJ2Te_9cUcPGLXwvEjkewg4=s48-c-k-c0x00ffffff-no-rj,81
MTJ Fans Page,1 month ago,"May ALLAHﷻ grant us the ability to follow the beloved ways of our beloved Prophet Muhammad Mustafa ﷺ, Ameen ",https://yt3.ggpht.com/28EiPWoggrd9cc6Pp44nDVDYH4hUy7aX3f_mtlrO_XGHStV_ACJU85VTP_wV8jabVeii3qeMDQ=s48-c-k-c0x00ffffff-no-rj,55
bint farooq,3 weeks ago,Mufti sahab continuously looking down is so eman boosting MashaAllah BarakaAllah ,,3
Abdul Rehman,1 month ago,I already watched it on Rabi Pirzada Channel but also Watching it here Alhamdulillah ️,,25
Naila Mazhar,1 month ago,MaShahAllah Rabi is an amazing person May Allah bless her in every step of her life ,,21
urooj kainat,4 weeks ago,Rabi is really an inspiration.may Allah bless you,,9
Tigsig Duoroy,1 month ago,Nazar ki hifazat jaari️ Masha'Allah May Allah bless u,,42
Snow Moon,2 weeks ago (edited),MashAllah...sis great job in funding free schools for poor..providing food etc.God bless you.,,1
AAQIB MIRZA,1 month ago,"MASHA ALLAH..
LOVE FROM INDIA 🇮🇳️",,13
S K Zaidi 🇬🇧,2 weeks ago,I am watching Rabi first time and soo impressed and only feel speechless !!!,,5
Hanzalah Hanzalah,3 weeks ago,A very useful podcast MashAllah️,,5
Unboxing Records,1 month ago,Huge Respect ️,,13
Ayan Lone,2 days ago,"Your daily reminder
Subhanallah ×3
Astagfirullah ×3
Alhamdulillah ×3
Allahu Akbar×3",,0
abu yahya,3 weeks ago (edited),"Asalamu alaikum warahmatullahi wabarakatu 

Mufti sab lowers his gaze in the whole interview. Mashallah",https://yt3.ggpht.com/ytc/AGIKgqNRWa0SLmI3lWnRQpExoidLSv4JwO5JvPYvx9k6_2qTMWJo08-v6k9QRxAGaMDe=s48-c-k-c0x00ffffff-no-rj,4
Asif Rahman,1 month ago,"الحمدللہ کہ ہم مدرسے کے طلبہ آپ جیسی ہستیوں کے ساتھ صف میں کھڑے ہیں۔ 
I am proud to being a molvi Alkhamdulillah..... ️️",https://yt3.ggpht.com/RfgVOu7NRYOqV5tesUSdPry8SyBeUKMuLSpSl7lZ1oVz-gfYha5ugmnocpJEt8UW7es9Mrun9g=s48-c-k-c0x00ffffff-no-rj,34
Athar Akhtar,2 days ago,Mufti sahab assalamu alaikum hazrat Aap hamesha khush rahte hai allah aap ko hamesha khush rakhe allah aap ko lambi zindagi de,https://yt3.ggpht.com/7kwiWRmHdzrpI2zshrWDADzlxoVAHDsnvaphLo6719z7O06v52E84Jtp6iBwkaTr52s4x50HVA=s48-c-k-c0x00ffffff-no-rj,0
Irfan Shaikh,1 month ago,Ma Shaa Allah Love from India 🇮🇳 🇮🇳🇮🇳🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqP6qgJ1OMZ9yveP3SpCrM2vA5NnPNVYgdlMf4eU-Q=s48-c-k-c0x00ffffff-no-rj,13
A Khan,1 month ago,Ma Sha Allah,https://yt3.ggpht.com/-4e501BMnQax_QUpRtR42wnc5aTkBdcgd8crnOkOjh_fSKeSSFydDdJBpKeJekfng8HDNjse-A=s48-c-k-c0x00ffffff-no-rj,7
TAHIR Baxa official,1 month ago,"ماشاء اللہ بہت ہی خوبصورت اور دلکش انداز میں پیش کیا گیا ہے
Allah ta'ala khoob jazae kher ataa farmave
آمین ثم آمین یا رب العالمین",https://yt3.ggpht.com/ytc/AGIKgqN_q-dFzWmPBin1wQEZAwEyGhc_JlpjGDKsLkZSMQ=s48-c-k-c0x00ffffff-no-rj,12
Najamul Saqib,1 month ago,مفتی صاحب ماشاللہ اپ بہت اچھے ہیں اللّه اپ کو نظر بندی سے محفوظ  رکے آمیین,https://yt3.ggpht.com/ytc/AGIKgqMUfYIheo-hVr4h9im2g6GdQ8uRRiTFQN5rOA=s48-c-k-c0x00ffffff-no-rj,20
ALAN Rich,2 weeks ago,"18:05 Masha Allah 
Allah qabool kare",https://yt3.ggpht.com/ytc/AGIKgqM_Wqvs8gcWwmYEXVTl59qez5-gtRZTElPrTFguqkCIkYwthTgIcIC3QoGfxxwV=s48-c-k-c0x00ffffff-no-rj,0
Khan attaurrehman786,1 month ago,"ماشاءاللّٰه 
مفتی صاحب کو ملنا بہت فادہ مند ثابت ہو گا",https://yt3.ggpht.com/RRRXxguys0QbSvpRxKkCyu39ECsmHHoCG_BcmTFzesKiQlbm_5QvcuMiUXyJru2g-YWjDcL7ww=s48-c-k-c0x00ffffff-no-rj,9
UK Ubaid Khan official,1 month ago,"Mufti Tariq Masood love you ️
Allah bless you and your family ️️️",https://yt3.ggpht.com/vjBfV9Ut_Zr0Vk2odkS2S1EsywUA_aD2nn-qHh0DDKZ14Znf18egDsCrOYPnqF9TAE5H5JbFDTU=s48-c-k-c0x00ffffff-no-rj,2
Kamran Khan,2 weeks ago,"Rabi thoughts shows , she is very happy in such transition",,0
Khan,1 month ago,Bahut hi behtareen vlog Alhamdolillah.... jazakum Allah ho khairan kaseerah Ameen ,,2
SJ knitting crochet  •1.5M views  •2 days ago,12 days ago,Masha Allah,,0
uzair jan,1 month ago,Masha Allah mufti Tariq Masood is very good molwe,,23
shahfahad k,1 month ago,"Power of Islam it can give you new hope, new chance, a new reason to live, and a new reason to fight back… you have my respect 🫡",,3
Shehriyar Khan,1 month ago,MashaAllah she is most talented and bold lady she needs to more focus on preaching as she have the ability of verbal communications plus leadership qualities and she also needs to in link with such type of ulama,,0
Muhammad Naik,1 month ago (edited),Mashallah.. mufti sb bahut acha kaam kar rahe hai hum sab bahut mutasir hai Aap ke kaam se.... Allah aapki mahnat qabool farmaye,,6
Khan,1 month ago,Masha'Allah ️,,7
Md Sadique Aman,4 weeks ago,ماشاءاللہ ہمارے پیارے مفتی صاحب ۔۔۔۔۔۔۔  الله پاک آپ کو دنوں جہاں میں کامیاب کرے... آمین,,5
Meroo Khan 💔,3 days ago,MashAllah MashAllah Rabi is Good luck,https://yt3.ggpht.com/753nQz51qwAwFP0UPDk33HA9WvFRHHRzIC8_LhY-hwKaIQrr01Xce3imbOYhJ-3Ki4ovIGPR=s48-c-k-c0x00ffffff-no-rj,0
Abdullah Hanif Abdullah Hanif,1 month ago,"ماشاءاللہ
مفتی صاحب بڑی مشکل سے بات کاٹ کر سؤال پوچھ پاتے ہیں 
اللہ تعالیٰ دونوں کو کامیاب فرمائے ..آمین",https://yt3.ggpht.com/ytc/AGIKgqO2NpsTWo04_Xy2XwDY-Yl7cwy5dIzaf6RRyA=s48-c-k-c0x00ffffff-no-rj,5
Bhihamza Shareef,1 month ago,Masha Allah ️.... Allah pak asanya farmayyy Ameen ,https://yt3.ggpht.com/ytc/AGIKgqPis9Q-iGwS99Imq_GLA9-HUnaP-73RKF7erAiz=s48-c-k-c0x00ffffff-no-rj,4
Naveed Younis,2 weeks ago,MashaALLAH nice One,https://yt3.ggpht.com/ytc/AGIKgqMCWQy6MLUYjWMQUieTlYvneHKjsuqNJmcVM8vxNzKqwvmStzPd_OuQLJVbAMwo=s48-c-k-c0x00ffffff-no-rj,0
