Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ruhul Amin,1 month ago,"Listening Mufti Sahab from Bangladesh over 12 years, Alhamdulillah!",https://yt3.ggpht.com/NBHpeVx5eXW381ag_zbwSTYPfe3qCHza_LUT1Ao5oYm6DXSnjdFPbBwWYNULVACIzpfPlll9=s48-c-k-c0x00ffffff-no-rj,19
Mir Fareeda,13 days ago (edited),MashaAllah  i m proud to b an indian Muslim.,https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj,0
Islamic Speeches,1 month ago (edited),Mufti Sb .. Thanks for informative and interesting Vlogs. May Allah bless you.,https://yt3.ggpht.com/b6cl8oRr18NNOmtty6iSIFwJPZXGepitslxQCufqoUTSstjscq6bSVSRBWBfHUlsKbosPNHwsmg=s48-c-k-c0x00ffffff-no-rj,8
eyoon aljarha,1 month ago,Bhut acha vlog Mashallah hope mufti sahab qatar 🇶🇦 bhi aaye inshallah aur hamara culture bhi dekhen ,https://yt3.ggpht.com/AH5BYojIjnlGY5AcWMXLVmzVgb3s1ehdmh0qR4orb0lyfrZ33jcojmHn1Wt-ONHWXcIvOhAfpg=s48-c-k-c0x00ffffff-no-rj,6
Master Boy,1 month ago (edited),I have Also gone to oman from india for few time thanks for comming to oman 🇴🇲 🇮🇳 ,,4
A Khan,1 month ago,Ma Sha Allah ️ mufti Tariq Masood shahib ,,5
Bilal Saeed,3 weeks ago,"Masha Allah
Amazing place  🇧🇩🇧🇩🇧🇩",,0
A Khan,1 month ago,"Ma Sha Allah ️ 100% True
Oman",,3
Amar Mostwanted,1 month ago,Very proud of your life ,,1
Ahmed,1 month ago,Please come to Salalah also 🇴🇲,,3
tauqeer kiani,1 month ago,I also work here and as a human they are the most humble and polite people of the world. Love Oman,,1
Md Ghufran,1 month ago,Subhan Allah,,4
SEEMA TABASSUM,1 month ago,MashaAllah,https://yt3.ggpht.com/ytc/AGIKgqPH23i3jjty0x7KHF6wFMH25U5Z8haFFEDBlQ=s48-c-k-c0x00ffffff-no-rj,5
Mohammad Guddu,1 day ago,Subhan Allah ️,https://yt3.ggpht.com/R8Wp7NBRv-Ly_uPi5rD-KnEOIAXKFWa18uLOFzPdMFzrRdlMSXffVgyitvCPdwHxtsc6UEgu_g=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Excellent vlog️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,2
khalid ahmed,1 month ago,Maa shaa Allah mufti sahab nice and good informative vlog of  oman.,https://yt3.ggpht.com/ytc/AGIKgqN9i2URB1JgX7e8bGtDWL566rpm1T4VfyBNMN8ITZK4KqRFgUde5d-CKYbTQS63=s48-c-k-c0x00ffffff-no-rj,1
Reaction Phatan,1 month ago,Mashallah mufti sahib jaldi video ko upload karo 🇵🇰🇵🇰🇵🇰,https://yt3.ggpht.com/ytc/AGIKgqPJdpoF9JMTd34uUQDenI9ie0FHzFUWEY4_1r_-AzN_e6WMglEZ2n-nGeJF92Yf=s48-c-k-c0x00ffffff-no-rj,4
Samina Asif,1 month ago,ماشاءالله ,https://yt3.ggpht.com/ytc/AGIKgqNyZ2HxIahpHTAoIY8kz_C7Niegn9eQX268bKjp=s48-c-k-c0x00ffffff-no-rj,0
Umm Afif,1 month ago,الهدى، أما بعد، فإني أدعوكما بدعاية الإسلام، أسلما تسلما، فإني رسول الله إلى الناس كافة، لأنذر من كان حيا، ويحق القول على الكافرين، وإنكما إن أقررتما بالإسلام وليتكما، وإن أبيتما......,https://yt3.ggpht.com/ytc/AGIKgqPYLiuIxDXXUNLBsfdUJYf_O7oA_Q8tURxKFZQ34g=s48-c-k-c0x00ffffff-no-rj,3
Jameel Ahmad,1 month ago (edited),Mashaallah,https://yt3.ggpht.com/ytc/AGIKgqPXZkrjIgM6esmLRvBK6aFUo-rGE6A9kKclmoN4e3XrKMAIqFLdM7ALlJo4X9yj=s48-c-k-c0x00ffffff-no-rj,2
Mohammad Guddu,1 day ago,Masha Allah ️,https://yt3.ggpht.com/R8Wp7NBRv-Ly_uPi5rD-KnEOIAXKFWa18uLOFzPdMFzrRdlMSXffVgyitvCPdwHxtsc6UEgu_g=s48-c-k-c0x00ffffff-no-rj,0
Farheen Bano official,1 month ago,Mashallah ,https://yt3.ggpht.com/-A_MHdjkN70jNwEtH8q3Oopp5ae9_WCOaCxGO-VJVnMw92v95XE33ezqsSdlXWH-vB42jrXVZA=s48-c-k-c0x00ffffff-no-rj,4
M Qadir,1 month ago,Masha allah,https://yt3.ggpht.com/ytc/AGIKgqO-4Ec3dd563zn0_4GQhhEEUS_diAWcO10uyJ3clJ3lhJQ4kepEleMLxV3AUQhw=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Awais Mas,1 month ago,2 favorite person... Mufti sb and Aneeq sb,https://yt3.ggpht.com/ytc/AGIKgqMCDSaztLeYRewPfEmQK9XRBwfBlS4Ty-qSg7YssQ=s48-c-k-c0x00ffffff-no-rj,1
Nomisad.,1 month ago,Mashahallah mufti Saab AllAH paak aap ko sari dunya ghomay. ore  deen ka kaam aap sy bih ly ore hum sy,https://yt3.ggpht.com/zdD0A2Ng6iqqqMB3iGpZR1fxhADvpkFXOTmlU6TUJwa1nuHT77w3BP6PIHURjZQIDfKOU6mNEA=s48-c-k-c0x00ffffff-no-rj,1
Kareem Nawaz,12 days ago,Bhtt he  maloomati or  qeemti vlog masha Allah ,,0
Usman Jutt,1 month ago,Masha Allah bht acha,,1
Allahu akbar,1 month ago,Watching from oman,,2
Misbah Ashfaq,1 month ago,Excellent vlog,,2
Ayesha Imran,1 month ago,Mashallah bahut acchi video lagi,,2
Mohd Afzal,1 month ago,Jazakallah mufti sahab,,2
Naeem Ahmed,1 month ago,Mashallah,,0
Noshad Anwar,1 month ago,Zabar das video ,,1
Muhammad Nouman Khan,1 month ago (edited),"السلام علیکم مفتی صاحب اللہ آپ کو اپنے حفظ وامان میں رکھیں جتنا آپ نے اس ویڈیو میں عمان کو ذکر کیا ہے اس سے زیادہ خوبصورت ,امن اور دوست مزاج لوگوں کا ملک ہے.",https://yt3.ggpht.com/ytc/AGIKgqNXKUAIp3mF9S_xJmS_vXa1kBpBvuvHP7lvfpg2kg=s48-c-k-c0x00ffffff-no-rj,0
Saleem Malik,1 month ago,Mashalla mashalla mbrk blessings always,https://yt3.ggpht.com/ytc/AGIKgqP8WDHQvc4WiVB1c3AWA5xXcEVFJZLRC4xkLw=s48-c-k-c0x00ffffff-no-rj,0
muhammad saleem,13 days ago,Bhut acha vlog Mashallah.,https://yt3.ggpht.com/5eK4EN7GN5f0aU5FFt2TNu41BC92WgEDQlPcXmkFFQHLD2R3lX3VIX1FgN7bPx_f6xIzRQh1Pw=s48-c-k-c0x00ffffff-no-rj,0
Siraj Qureshi,1 month ago,"ماشاءاللہ بہت اچھا
لوگوں کو فلمیں دیکھنے سے اچھا آپ کے ویلوگ دیکھنا چاہئے ۔",https://yt3.ggpht.com/ytc/AGIKgqPANtiisMsoI3EufV5Q1wwYjoEO7GCu-YtWtA=s48-c-k-c0x00ffffff-no-rj,2
MR SHAKEEL,6 days ago,Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah Mashaallah,https://yt3.ggpht.com/TzqbEWeICWsqKteilrxnmYGInvR_zf_fhOAink83duTCapeGZ0tGNhtIkAm4uF3943AlLvremA=s48-c-k-c0x00ffffff-no-rj,0
MD. Mujeeb,1 month ago,"Can someone please get Iphone or Go Pro to Mufti Sab, he is absolutely genious in making stunning Vlogs but the camera quality sucks.",https://yt3.ggpht.com/ag4uh1erCmkYxo2Xf1zgmAXwf5j4M2MrmsRWPQ4JqU_OxiIqb-6jIiI79dRFGS69b4t7G9usnQ=s48-c-k-c0x00ffffff-no-rj,2
RISHI RAAJ.,1 month ago,New Channel ,https://yt3.ggpht.com/ZyIOsicTQRQDzIzSLdvqneoWAKYI3uoyuyIyBXD6dD1eC8TlkpwhClP83WMnY6fDeTf7JUH9Pg=s48-c-k-c0x00ffffff-no-rj,4
Kareem Nawaz,12 days ago,Masha Allah masha Allah Mufti shb ap k sath Molana sohail Bava shb ko daikh k bhtt khushi hoi bht acha lga .. Allahap sb hzraat ki deeni muhbbat ko slamt rkhyn or hm jaiso ki Rhnumai krty rhain apny Elm o aml or syyaht k zary .. Allah ap sb k ly asaniya ata kryn .. Ameeen,https://yt3.ggpht.com/ytc/AGIKgqOuGko_iOEkFhPWuvkkd4CeTAhpwWIK9TLHE8E9FoPYQeG-a9k6XpndAdn75l2N=s48-c-k-c0x00ffffff-no-rj,0
Dante LOL,1 month ago,,https://yt3.ggpht.com/ytc/AGIKgqOUYTfo5u4aAFBKLuut5hFKNXfw9wS-VBMA7l9i7w=s48-c-k-c0x00ffffff-no-rj,2
Sahinkhanrajpuriya,1 month ago,Khat ️,https://yt3.ggpht.com/q5DTDrco_iNOLAi0PfML0Qap1cv_H4uxwtZxNXSWE9apzoC99Z7jvpPP3mtgkimobH3b5HUF=s48-c-k-c0x00ffffff-no-rj,0
IdaRa TuL QuRaN,1 month ago,Bohat khob,https://yt3.ggpht.com/h8ISH2jcpjbFiAppl51PwyJKjNNJShK3k9g1PHQubUEC7Cd1U6Ls-mdDEBm1aWcZ3R6ioq3UoQ=s48-c-k-c0x00ffffff-no-rj,0
Abusad baig,1 month ago,السلام عليكم ورحمت الله وبراكاته المساء الخير كيف الحال يا شيخ طارق المسعود.اين أنت الموجود,https://yt3.ggpht.com/7ND0PEwkUh-pdHuMEAgI8fVB0JnAHRatYRewl7FZuWDlveaCvOFNmewSxuaqIzfJZrvcLuEI7c0=s48-c-k-c0x00ffffff-no-rj,0
RISHI RAAJ.,1 month ago,Nice Climate ,,4
Eagle,1 month ago,Background music konsi naat ki hae ?,,3
A Khan,1 month ago (edited),Asslam u Alikum plz mufti shahib ka bayan jaha ho plz bataya ga ... Oman me,,3
Sumaiya Khan,2 weeks ago,"Hamari Maulana, Azaad library mein hazrat Ali RA ke haath se likha Quran hai",,0
Cook Eat Swim,1 month ago,Switzerland ka sachet,,1
K.H.Y Quran Recitations,1 month ago,کیا بات ہے جی کیا کہنے،،,,2
Usman Khan,1 month ago,,,3
LFF GOKU OFFICIAL,1 month ago,Assalamu alaykum  plz replay me,https://yt3.ggpht.com/tTxgoFTyqPfqVhdy-3bocQn9F5mGMQU6h1GUzFCTD7074G6h6CgGc1KkWpvnBsocCB5UndT4V6I=s48-c-k-c0x00ffffff-no-rj,3
Fahim Badarpura,1 month ago,,https://yt3.ggpht.com/ytc/AGIKgqPQrcl0PmwVj8mekoIM25wQq91bB7tRJwz_X9VgyRwda7npBfskn8z7xZYU9g1T=s48-c-k-c0x00ffffff-no-rj,3
Sohail afridi,1 month ago,Yaha k log bhut manty hai wos ko,https://yt3.ggpht.com/1QOUpB_tfF7zIwP9KuL8ZgmLDQN-oeBLncNvq0UAHvGdvYTDlriCjrUXerm00U7Y57UaAA5VaT8=s48-c-k-c0x00ffffff-no-rj,0
lucky 🤞,1 month ago,Mufti shab aj b hai Oman mein jaa ham reh rahy hai,https://yt3.ggpht.com/ytc/AGIKgqMvCUr7wXO8Y4F0q41CxkFikWr43NxmunhCddcUpJuBqOaAUsrIlthncI32sr3L=s48-c-k-c0x00ffffff-no-rj,0
Chopok,1 month ago,they r same Baloch n they speak Balochi n Arabic I have cousins there they have Omani  citizenship when guwader become part of Pakistan many Baloch moved to Oman that time all Baloch speak Baloch at home outside with Baloch too Baloch speak Arabic with only Arab all Omani Baloch have relatives in Lyari Karachi,https://yt3.ggpht.com/hwHcQgi4vJWDEgRfSCv2LWkhlbu5Wea5liiP_4G3HAKddRvNiJUPqc4wZziwo_UI5L4Q_PKQPg=s48-c-k-c0x00ffffff-no-rj,0
