Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Shehr Main Dihat غریبوں کا شہر میں دیہات,4 weeks ago,Proud to be a birds lover.,https://yt3.ggpht.com/V5VOsOm_9hwjKXr6QG8zKFPp2xZHGQfWy3i861K2n9FnQ-JDDzzEA9Yz0bss-y9YlmkUZcYe=s48-c-k-c0x00ffffff-no-rj,3
Humaira Masroor,1 month ago,"Good Replied mufti sb to all Atheists,by giving them this example",https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,25
Humaira Masroor,1 month ago,"Murghi k dil mn bachon ki muhabbat, Allah ki Qudrat, background mn walls ice cream ",https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,9
Humaira Masroor,1 month ago,"Bachy har qaum k achy hoty hn,insano,janvaro k bhi, well said mufti sb ️ sahi kaha k aaj kl kisiko bachy nhi lgty,apny bhi, animals k bhi",https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,11
Faizcurious,4 weeks ago,"Amazing Mufti shabab 
Keep going
Tabarak Allah lakum
May Almighty ALLAH SWT peace and blessings upon you and your families and to all ummah of MUHAMMAD RASULALLAH SAW pbuh and his beloved one.. 
I used to pet them but somehow I don't have time to manage then I stopped 
But I saw in this vlog peacock 
That's cool and wonderful 
Jazakallahu Khairan Mufti shabab and your team 

Assalamualaikum wa rahmatullahi wa barakatuhu ",,0
👉 BUY YOUTUBE VIEWS 👉 Link in Bio,1 month ago,"""What you get by achieving your goals is not as important as what you become by achieving your goals."" - Zig Ziglar",,0
eyoon aljarha,1 month ago,Mashallah kitne pyare pyare khubsurat  choze  جزاك الله خير مفتى صاحب. ان شاالله میں بھی گھر میں مرغیاں پالو گئ ان شااللہ ,,4
Humaira Masroor,1 month ago,Amazing  Vlog ️,,10
Zaara Khan,1 month ago,ما شاء الله ️,,2
Misbah Ashfaq,1 month ago,Subhanallah Allah ki qudrat,,2
Sayyad kamruddin,2 weeks ago,Chuho ka janaza nikal hai was epic ,,0
~Night Walker 👽,2 weeks ago,مفتی صاحب پھر سے آپ نے بچپن یاد کرائی ️️️,,0
M. B 🔥  star,1 month ago,Masha Allah ,https://yt3.ggpht.com/WnkpBGFcnaureuUzMPsiRjfbWLdURS2T1GdX2eoI0rxsRAiCcJW3tQWy8V01YuztPDRi6kCG0w=s48-c-k-c0x00ffffff-no-rj,1
Nomisad.,1 month ago,Allah paak aap ky bahco ky saat in sab ma barkat dy,https://yt3.ggpht.com/zdD0A2Ng6iqqqMB3iGpZR1fxhADvpkFXOTmlU6TUJwa1nuHT77w3BP6PIHURjZQIDfKOU6mNEA=s48-c-k-c0x00ffffff-no-rj,2
Mohd Afzal,1 month ago,Allah ka shukar h jazakallah mufti sahab,https://yt3.ggpht.com/ytc/AGIKgqMg7tpv5KnafinDMyQ1WA7RVlFG78d2ybP8eg=s48-c-k-c0x00ffffff-no-rj,4
Baloch rooster,1 month ago,Masha Allah,https://yt3.ggpht.com/HUleGqE6fVQi9WvnOKeulMwTZY0QeTg5sDfpKyel1YK-9-XC8-vUo1S6CGCkVOGGUaRnuHMW=s48-c-k-c0x00ffffff-no-rj,2
Kashmiri Boy,1 month ago,Ma sha Allah ️️️,https://yt3.ggpht.com/8Zt4aEJIJ7iEDe_s1X_29h-5mJ-X0Fns8aiAkdF4TBpZLNYZiS39Fy9u_gwDVAFlNoWEXpPT9fk=s48-c-k-c0x00ffffff-no-rj,1
ENOUGH Game,4 weeks ago,Subhan Allah,https://yt3.ggpht.com/NyjH2rxteZHbChbuAZ550YZJfUltSBejI9Z0oNgkKudYXP49HBeBDFI6buYqaJtnqNuQRdQkyQ=s48-c-k-c0x00ffffff-no-rj,1
Paras Ali,1 month ago,mashAllah,https://yt3.ggpht.com/ytc/AGIKgqNG0jcHsAqPcU6z92iZGc27M9l61wAVyCxyKNx9eA=s48-c-k-c0x00ffffff-no-rj,1
Mohd Umar Aarif Khan,1 month ago,Mashaallah ️️️,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,1
Sayyad kamruddin,2 weeks ago,Mashallah  Mufti sahab,https://yt3.ggpht.com/23StpBCmeYOAkopb4A7BFaH31WaW5fdPOT3_wYLagSIVoW8u2ZdUzDy9MRyceHisPHLFJMAt6w=s48-c-k-c0x00ffffff-no-rj,0
Nawab Sofi,1 month ago,Alhamdulillah,https://yt3.ggpht.com/ytc/AGIKgqMZ7h8RdrRaE3MDn69IwT7gFJk8ImhZDy9BPqam=s48-c-k-c0x00ffffff-no-rj,1
Shalu Ansari,1 month ago,अदभुत ,https://yt3.ggpht.com/ytc/AGIKgqMejONO9r6EFDeWLAQN_5mh-KV18UEToS4LcJ5rmXUE6saA2Cp-9L0ych1TzBoa=s48-c-k-c0x00ffffff-no-rj,1
Mohd. Tariq,1 month ago,Maashaa Allaah,https://yt3.ggpht.com/yd5DTBwc9qgjOzp7NXVdqxV0HT14mDju4BhzbBuh7Py0QI_1SCyrGXEgPgHFEW8TVgreZkz7Iw=s48-c-k-c0x00ffffff-no-rj,1
jawad hussain,1 month ago,Masha Allah Masha Allah Masha Allah for creation of different colored chick's.jawad Hussain from Chennai India.,https://yt3.ggpht.com/ytc/AGIKgqNm85KsOSlJ32FYfiE0F8VgBOwvpWTUbOW_c_PB=s48-c-k-c0x00ffffff-no-rj,1
Gufraan Abbasi,1 month ago,MashaAllah,,1
Patan Hasan,4 weeks ago,🇮🇳Mashallah,,0
Smart Organic Poultry,2 weeks ago,MASHALLAH,,0
Saeeda Mamoor,3 weeks ago,Masha Allahh,,0
DatBikerDude,1 month ago,MashaAllah Hazrat,,1
Yasmin Iqbal,1 month ago,Mashaallah,,1
haniya Kashish,1 month ago,Aap ka bayan bhut accha mash ALLAH information milti aur life me changes mashallah aayi meri  Allah Pak app ko humse kamiyab kare,,2
ABDUL HASEEB VLOGS,2 weeks ago,Masha Allah great,https://yt3.ggpht.com/kprUxCKrXRXRuReyO8QiGzF8wTcQ7u7gdQ9b-zW-tsxbPAQpWdjosgFfrx7jgSO2kqA95jAlfg=s48-c-k-c0x00ffffff-no-rj,0
Hafiz Ali Muawiya Awan,1 month ago,Wah mufti sahibgreat,https://yt3.ggpht.com/5gG3rQitANOUyr0_vfV6CoWZB4qGF04GTMgSlnpjZKDpyZn9TKuDIdO_8ydAFCXQ3rPlMs5IiKI=s48-c-k-c0x00ffffff-no-rj,1
Naeem Khatri,1 month ago,Mashallah ,https://yt3.ggpht.com/ytc/AGIKgqOQ89n1qQasOxFWvmxnNx8cU77RHgqh4jIxfg=s48-c-k-c0x00ffffff-no-rj,2
Shaheer Khan,1 month ago,Interesting video mashaAllah,https://yt3.ggpht.com/ytc/AGIKgqM-LGjUiRHOPM3B7omI-YSRlC6AYxP4JhVx04-xyi7zwxlr8yfTbV0pN9llRu2j=s48-c-k-c0x00ffffff-no-rj,1
Rashid Siddiqui,3 weeks ago,Mashallah,https://yt3.ggpht.com/ytc/AGIKgqM6Cn6BpNGy39XrpkK5oIyre3EGoKtoXN1otsrlQg=s48-c-k-c0x00ffffff-no-rj,0
