Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
M Ahmad,1 month ago,Mashallah love mufti Sahab ️,https://yt3.ggpht.com/FvwJsg8VOcGDFC0PIR0AMcdICScV45IOhWx5IPiqLzOjvYV2oRE3MTLT80Kx6ReJVtO5th4Q-gc=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Ma Sha'a Allah zaberdast mufti sb ️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,1
SHAKEEL,1 month ago,Khandani shok rakhte ho musfti shaab...ek number,https://yt3.ggpht.com/ytc/AGIKgqOesR7g0xe8o_L2dkKPECUNvXd_J06moq5m69WdFsnw0Hmy9238U6zwKFNJLIDm=s48-c-k-c0x00ffffff-no-rj,6
Humaira Masroor,1 month ago,Very Nice,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,1
Usman Khan,1 month ago,️,https://yt3.ggpht.com/ytc/AGIKgqPzdjFhyeoOgmd7ZTC-elxuUE7NmhxGO1PhGg=s48-c-k-c0x00ffffff-no-rj,0
The Believer,1 month ago,This is a reupload,https://yt3.ggpht.com/OqoHj3oNcN5iPCgWVT-WT6Egky4TPK7VjZIE3b2iAhc4GX3XeuTv0oM5IKvi8PgntKnKcAfonWk=s48-c-k-c0x00ffffff-no-rj,3
shavez gaming,1 month ago,Assalamu alaikum kya YouTube par video dal saktey hay haram to nahi hay,https://yt3.ggpht.com/KBURWU6IlSRd_MR6hVZnhEmzvtljYqzoHY5qQPzW0OWQZi6n9GvMSvyDe7lih0kQkfhaMsmrXQ=s48-c-k-c0x00ffffff-no-rj,0
Dr Absar Aftab Absar,1 month ago,Ye sahi nahin lagta Mufti sahab shariat ki nazar mein ….wazeh karein.,https://yt3.ggpht.com/ytc/AGIKgqODdv8vjSNLIpQWpQZ_1emsOnwEEjcjZXMb-dmIIh0=s48-c-k-c0x00ffffff-no-rj,0
Adiloddin Ansari,1 month ago,KIYA YE CHAINAL MUFTISAHAB KA HAI KIYA,https://yt3.ggpht.com/ytc/AGIKgqPnqJGr9s1gjYSJWc_uvph-5EwkQtkGeYc0Vpah=s48-c-k-c0x00ffffff-no-rj,2
md Yaseen,1 month ago,O,https://yt3.ggpht.com/ytc/AGIKgqNSrIoyatAQAcPA-APxuQ_XmsU4c0DUGg5yruwy7w=s48-c-k-c0x00ffffff-no-rj,0
