Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Shayan Moghera,1 month ago,Ya Allah jitne bhi log shaheed huye unke gunaho ko muaaf kar na aur jo zinda hai un sab ki her jayez tamanna ko pura farma Aameen,https://yt3.ggpht.com/XgwTnXuxM5aZiwonESeOK9-ZQNs_n-7odA87N8-IVrLYIR0e4edxvnjSS157RTvtvpYxlIDHDw=s48-c-k-c0x00ffffff-no-rj,2
Hafiz Ali Muawiya Awan,2 months ago,جزاک الله مفتی صاحب,https://yt3.ggpht.com/5gG3rQitANOUyr0_vfV6CoWZB4qGF04GTMgSlnpjZKDpyZn9TKuDIdO_8ydAFCXQ3rPlMs5IiKI=s48-c-k-c0x00ffffff-no-rj,4
Abdul Rahman,2 months ago,اللہ عافیت کا معاملہ کرے آمین,https://yt3.ggpht.com/7xDjZ4rB5e5RY1_q2a6RYT722dHzW8SAODAxdGsqprP_6UtpSN0pkbwqUYgT0UglfhR6iqdtYQ=s48-c-k-c0x00ffffff-no-rj,5
Sheikh Mohammed,2 months ago,Allah har insaan ki hifazat farmaye,https://yt3.ggpht.com/ytc/AGIKgqMtyHeMJ67Nbbtz_GLlvTYnAC0DjPgFjGEIVHcsKFuHV0BTg5q94IpBjf9-HdHD=s48-c-k-c0x00ffffff-no-rj,1
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,3 weeks ago,🫣 LOVE FROM INDIA ,,0
Shayan Moghera,1 month ago,Ma Sha Allah,,1
FARIDA KI FUNTASTIC 😜 FAMILY DAILY VLOGS,3 weeks ago,Love you  Mufti sahab ,,0
Humaira Masroor,1 month ago,Good effort ,,2
Usman Jutt,1 month ago,Masha Allah bht khub,,1
md Yaseen,1 month ago,Mashallah subhanallah subhanallah,,1
Mansuri Saad,4 weeks ago,Mashallah,,0
Maruf Khan,4 weeks ago,Ya Allah dusmanage Islam ko zair aur khaq kar degia,https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj,1
Sohail ahmed,2 weeks ago,Allah sabar de ,https://yt3.ggpht.com/ytc/AGIKgqMHTNJI217ViqJE5PMLM1AyQ3aHVZcAaOC07TGT4Q=s48-c-k-c0x00ffffff-no-rj,0
Akbaruddin owaisi official,3 weeks ago,Allah raham kare,https://yt3.ggpht.com/byr55QHN0rEjkikwv10B_NZZuzW8pfletOJH0sOBSY71pmhZC_jULoz7zdDkpFz3bxWWYzZg=s48-c-k-c0x00ffffff-no-rj,0
Usman Jutt,1 month ago,اللّٰہ عافیت فرمائے,https://yt3.ggpht.com/ytc/AGIKgqPtQu-AoX6CNruvhTrwmLbUXR2avZZdvIx7VvHfYAAoGX9MsZA_RB7TbMptx2V9=s48-c-k-c0x00ffffff-no-rj,1
@ nasim sah?,1 month ago,Allah Allah,https://yt3.ggpht.com/UjIVcnU1lOYSbGeFl83-E5FFPYg3GFdfa0gGIHd6Lq89wxIrtCoSggSepmGu2uPr8WOvGYwAieY=s48-c-k-c0x00ffffff-no-rj,0
Hafiz Ali Muawiya Awan,2 months ago,یاالله,https://yt3.ggpht.com/5gG3rQitANOUyr0_vfV6CoWZB4qGF04GTMgSlnpjZKDpyZn9TKuDIdO_8ydAFCXQ3rPlMs5IiKI=s48-c-k-c0x00ffffff-no-rj,2
pk fanni short,1 month ago,Me barmi ho 🇵🇰🇵🇰🇵🇰🇵🇰 Pakistan se,https://yt3.ggpht.com/t-RdMnTDqYRD7Td3orTZ_Ljw9TmdyM9AuIA_TiY1v5XSftxPqIvlpMLtalbhzXkmV4xy7Lx55w=s48-c-k-c0x00ffffff-no-rj,1
Ayesha Imran,2 months ago,مفتی طارق مسعود صاحب کا  امام ابوحنیفہ رحمۃ اللّٰہ کے آرام گاہ میں جانے والے سفر کو اس میں اپلوڈ کریں پلیز وہ مجھے کسی چینل پر نہیں مل رہا ہے,https://yt3.ggpht.com/npjqtJ8Yd_vVTLWaxg2tOr21C8u6FhTEpSPcbZYntRu01Wl4qj-8TRRdNzDi-oPvTrRq0bKA=s48-c-k-c0x00ffffff-no-rj,1
MunaGaming 59,2 months ago,اسلام علیکم مفتی صاحب میں جب پشاب کرتا ہوں اور بھٹا بھی رہتا ہو لیکن جب کہڑا ہوتا ہوں تو پھر پشاب کے قطرے آتے ہیں برائے مہربانی مسلا حل کر,https://yt3.ggpht.com/mmGW_UrWGIFKZxIOqBKb3F6oVBIvEgV8hxam_Dj-SQowr0uJXJkTJJLz3IuQWMmyd499Zy8Yow=s48-c-k-c0x00ffffff-no-rj,1
