Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Game Board,1 month ago,All the children are cutest ,https://yt3.ggpht.com/5WdTv7i4P48mKEnct690fvkTg3t_KhjFsf5R_tj7WVyibueSRuNoazBqQu9W_BVpxytpUaYSfQ=s48-c-k-c0x00ffffff-no-rj,2
toheed,3 weeks ago,Love from India ️🇮🇳,https://yt3.ggpht.com/7_-5UNAAphHlSp9EmofCaLUUTKNli3Nk-i7PaFwcQAD-2VHBsF2w0dwFZSAZPofV4nKFWHnsZRI=s48-c-k-c0x00ffffff-no-rj,1
Mohd Umar Aarif Khan,1 month ago,Mashaallah Bohot khub ️️️,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,2
Humaira Masroor,1 month ago,Ma Sha'a Allah ,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,4
Thromboplastin Writes,3 weeks ago,How cute mufti Sahab ,,1
fhd fazza,3 weeks ago,Mashallah bahut hi cute bacche hai,,2
Zakir Shaikh,2 months ago,Masha allah,,0
Asmat Khanmashaallha,2 months ago,Mufti sahabm  mashaallah,,0
Sohail ahmed,2 weeks ago,"Nyc video coverage Mufti sahab 
Mashallah bhut hi achi jgha h gilgit..",,0
Game Board,1 month ago (edited),"GAAON IS BETTER THAN CITY BECAUSE CITY MAI ZEENA AAM HOTE HAIN OR Gaaon wale is trah k kamon se 100% Door hai.
Great Village May Allah Grant you happiness in this Village",,0
Fareen Khan,2 months ago,Assalamoaleekum mufti sahab,,1
Yasir Aftab  • 7.7M views • 4 hours ago,2 months ago,Assalamu alaikum kahan ka vlog hai Mufti Sahab ,,0
Inshal waseem,2 months ago,️️️️️️,https://yt3.ggpht.com/cTr4Kq_EH8Ge1SJHwkRz-gE0MlRC1fd17nvC6M_J_fzUqwo_ajFH5cNExrBYd-aHFWdXGHk8v_c=s48-c-k-c0x00ffffff-no-rj,0
PW_Fastrack,1 month ago,Mufti saab mai kashmir sai hu basically meri bhi language yahi hai Sheena,https://yt3.ggpht.com/QfLCriHP_r9bbb_pmjkwFUTcuM_wA6L2uaUn8MVXLdhy5PSqu2DO-SL02txjUCUeroCMw1nJVg=s48-c-k-c0x00ffffff-no-rj,1
Aiman Sheikh,3 days ago,Bachay tou bohot saare hain MashaAllah par lag raha baday yahan pe shaart hain ,https://yt3.ggpht.com/ytc/AGIKgqNq4lMPa0vQTc59l_XknnOkXOlS3Mp5ho5kHg=s48-c-k-c0x00ffffff-no-rj,0
munda bahi,4 days ago,Mashaallah kya bat hai yar choti choti bachiya or sar per hijaab or dupatta ye islamic teach hai na ka jo Punjabi girls krti hen me sab ko nhi bola lekin Punjabi girls zyada glt hi he Allah hadayat de ameen ,https://yt3.ggpht.com/y-BbDsmDK10r12RcL2eoI7TPWzVT8IvH1T_0GyDqqp6u8zWXGjzc_u6816wc8tqPdFLFmWylPQ=s48-c-k-c0x00ffffff-no-rj,0
Fareen Khan,2 months ago,Mufti sahab kbhi hmre yha bhi aaiye up,https://yt3.ggpht.com/rGlzoI43Obqgc9iZ-UDKD0TVuDCmgbjHyEE_1mAzguhVMjXGCOrl_XkoF3frq0qcrpvUPTme0A=s48-c-k-c0x00ffffff-no-rj,1
Nauman Nazir,1 month ago (edited),Beautiful iss gaun ko dekh kar khi bura lagné laga h ,https://yt3.ggpht.com/ytc/AGIKgqPMaAlhyqzZnH8MU1LUIbDNMJ4XCvcPxTesJOtwkg=s48-c-k-c0x00ffffff-no-rj,0
Shayan Moghera,1 month ago,Bhai Ye gau ksunse mulk main hai,https://yt3.ggpht.com/XgwTnXuxM5aZiwonESeOK9-ZQNs_n-7odA87N8-IVrLYIR0e4edxvnjSS157RTvtvpYxlIDHDw=s48-c-k-c0x00ffffff-no-rj,0
Abdul Ghafar,2 months ago,اَلسَلامُ عَلَيْكُم وَرَحْمَةُ اَللهِ وَبَرَكاتُهُ‎ مفتی صاحب ایک شخص نے اپنی بیوی کو طلاق دی تھی سال گزرنے بعد اس عورت نے دوسرا نکاح کیا اور دوسرے خاوند نے صرف ایک رات بغیر ھمبستری گزاری صبح کو پھر دوسرے خاوند نے طلاق دی عورت نے عدت پوری کرکے پہلے خاوند سے نکاح کیا ہے ڈھاٸی سال گزرنے کے بعد پتہ چلا ہے کہ دوسرے خاوند نے جماع نہیں کیا تھا اب پہلے مرد کا نکاح جو حلالہ کے بعد ہوا ہے وہ نکاح باقی ہے یا نہیں ؟ ساٸل عبدالغفار ٹنڈوجام,https://yt3.ggpht.com/ytc/AGIKgqNbG4HCc5lz-wLFQg2RzGdK_gybS38Jeefx1HpfPR-U4CazktBz2rmXTNKEM7Mf=s48-c-k-c0x00ffffff-no-rj,0
