Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Mohd Umar Aarif Khan,1 month ago,Mashaallah Bohot khub ️️️️,https://yt3.ggpht.com/H7GdC01fMLbUZPxlORSJulj3D7jL2JQIQMugHwVET3kQJQ4SanGfN9as83BGHHnP7KbF_HhStQ=s48-c-k-c0x00ffffff-no-rj,0
Usman Jutt,1 month ago,Masha Allah bht acha,https://yt3.ggpht.com/ytc/AGIKgqPtQu-AoX6CNruvhTrwmLbUXR2avZZdvIx7VvHfYAAoGX9MsZA_RB7TbMptx2V9=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Bht aala️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,0
Khalid Ansari,3 weeks ago,MashaAllah Behtreen Umda Muft Masood Shab Aap Ka Vlogs MashaAllah Behtreen Umda Rahta hai,https://yt3.ggpht.com/ytc/AGIKgqM677JIeKNNk2L6X6REOkgSVoCxjjet7bfV7w=s48-c-k-c0x00ffffff-no-rj,0
AESTHETIC,2 months ago,⁦️⁩⁦️⁩,https://yt3.ggpht.com/ly1cehJowCH_2nDDBD3FXoLSmZtAwJQV6RkeMF4AVU8BEAbS5LFQnfaERGqc6_oP-VokHpsdgw4=s48-c-k-c0x00ffffff-no-rj,0
Md. Naim,3 weeks ago,Apne Dil se hua ya kisi ne usko kisi tarah se zabardasti to nahi Kiya na ye bhi Janna zaruri hai Mufti sahab...,https://yt3.ggpht.com/ytc/AGIKgqPKTiAbmPPEOm-FsCPQlRVWAGK4KWngiMISi3Ln4w=s48-c-k-c0x00ffffff-no-rj,0
Bernadene Rhinehardt,1 month ago, PromoSM,https://yt3.ggpht.com/BX6aVybA3-V6z0a-dyo39rPBRMgEDpZDjaERB271rMN7fyXTv5K0UAULGi7-USmbhJGHcb19DoI=s48-c-k-c0x00ffffff-no-rj,1
Aiman Ch,2 months ago,"Mufti sahab awp sa  Ak sawal k Jawab pochna h meherbani Ker k Jawab de dijiyeh GA 
Lerki na apni warast k hissa Apne bhiiyoh k nam lagwa diyeh tha lakin ab usse peeso ki zaroret h  gher k halat Boht kharab h  woh ab Apne bhiiyoh sa  hissa Lena chahti h wapis kya Woh  apna warast k hissa dobareh wapis le sekti h 
Jab k bhii dene ki tyare nii h 
Plz iss k Jawab dedijiyeh GA ",https://yt3.ggpht.com/IWdWjwa8JkyzUKMeqC2oLFq8sBEQr1-z6uv4g2iCLmYWLgMXbfjDA6Mud9oAxDnnFbRYRPUAbA=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Aqil Shah,3 weeks ago,Kash ye ulma is tara gawo mey jaye aor logo ko moslman karey fazool v log na banaye deen ke tableeg karey ye kelash key log kitney kobsoorat he shetani log in ko esaye bana rahey he,https://yt3.ggpht.com/ytc/AGIKgqPScsDZQBKiqjObizLuvQzIUBCrY_g7bwjCHXXzmg=s48-c-k-c0x00ffffff-no-rj,0
Arif Hanif,1 month ago,Tariq Masood aap apna contact number Kisi video mein bayan Karen,https://yt3.ggpht.com/ytc/AGIKgqO-P3w9WwrFCjxHWYvY0KG5JS_V5cla0LUlQ-Bu6YCEHgx0iyHHsz9FIFqOUzBv=s48-c-k-c0x00ffffff-no-rj,0
