Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Sohail Mahmood,2 weeks ago,Ma’shaa’Allah fantastic vlog ,https://yt3.ggpht.com/ytc/AGIKgqOuLPpsHIz2FFOJT4pvd8tnLaKZwc3txJJLmw=s48-c-k-c0x00ffffff-no-rj,2
Peshawar travel,10 days ago, ماشاءاللہ مفتی صاحب آپ بہت ہی قابل انسان ہو اللہ تعالیٰ آپکی عمر میں برکت ڈالے ۔,https://yt3.ggpht.com/TpLJ-JqsIOBVNVNiaX101W9DgluF1esq_AHnhyATnndXByOX_2L6ZWbkNyn1gg0Sgi_gcan6zQ=s48-c-k-c0x00ffffff-no-rj,1
Asif Sam,2 weeks ago,Masa Allah mufti sahab Allah pak Pakistan 🇵🇰 ko tarakki ata kare gurbat se door kare 🇮🇳🇮🇳🇮🇳,https://yt3.ggpht.com/WFHkfhuXnAV1U1LYt9K8IbJB_JTe9XD3F3BpkflhaMDmN2l5PPeu8b2CqfHyLvbAIM4F21Nv=s48-c-k-c0x00ffffff-no-rj,10
Taseer Hunting Official,2 weeks ago,ماشاءاللہ مفتی صاحب اللہ آپکی زندگی میں برکتیں دے ,https://yt3.ggpht.com/7Tmni_wsYU51bqwXSFrr6aYE47GMaEVCozaJgeCmSkJfa8gKSxxIq2wGN0sPNgrj3DlGuHuB1sU=s48-c-k-c0x00ffffff-no-rj,1
shehrozkhan birds,5 days ago,Massallah ,,0
Humaira Masroor,1 month ago,SubhanAllah ️,,4
Saveslifcv,2 weeks ago,ماشاء اللہ  آپ نایاب شخصیت ہو یار ساتھ ساتھ سیرو تفریح بھی کرواتے ہو  اللہ آپکی زندگی  میں برکتیں نزول فرمائے ,,6
Rusheena Khan,2 weeks ago,Janwaron ka shouk Bahot hi accha shouk hain. Mashallah Allah barakat De.,,5
Khalil shah speeches,1 month ago,ماشاءاللہ ماشاءاللہ بہت عمدہ انتخاب ️,,0
Mehmood Shah,10 days ago,Maasha Allah,,0
Shaheer Khan,1 month ago,MashaAllah,,3
ali vayani,2 weeks ago,MashAllah ,,0
Smart Organic Poultry,2 weeks ago,MASHALLAH,,0
M.IMRAN.,2 weeks ago,"NO Facebook

NO Twitter

NO WhatsApp

NO Instagram

But 1.8 Billion Followers

He is Prophet Muhammad

Peace Be Upon Him",https://yt3.ggpht.com/ZEFIxXKSpgrbrQDFw3WY8nltrWjcHH5cyvGV0uNsHY--vIybGV7Zj7CB1fYG-mA4Vu0xLZQo3vc=s48-c-k-c0x00ffffff-no-rj,0
Rabi Sarfaraz,3 weeks ago,Ma sha Allah  zabardast  vlog,https://yt3.ggpht.com/Ju1cuMgSlbiWIvARyBunc4ehW0y-Jtq2pH5XuBGGnkh5H32qSo7XKEOfyEz6Uqnd2jd8gVuBtA=s48-c-k-c0x00ffffff-no-rj,2
Malik Ali,2 weeks ago,Masha Allah,https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj,1
