Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Shahzaib Rind,10 months ago,"To be honest I have not  Idea about Podcasts before watched this video. Amazing, I will start listening posdcasts from today.",https://yt3.ggpht.com/ytc/AGIKgqNMEekdIOR_E6ZiqVoSQFYorV0c5RYzq6dh3_ZHtA=s48-c-k-c0x00ffffff-no-rj,3
Hadi Ali,10 months ago,"I also listen to the podcasts right before my sleep time. 
I really love this episode.
Can you please make a one about ""How books reading changed your life/books you like to read""? I have been noticing some excellent books in your background.",https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Zain Abbas Baloch,10 months ago,Junaid Akram and Muzammil Hassan️,https://yt3.ggpht.com/ytc/AGIKgqMLZ5mb5u5bTSg3E2UdVaSDswkXvWDzw1NQGsm5m9I=s48-c-k-c0x00ffffff-no-rj,7
Faisal Fida,9 months ago,"Ehmad Bhai, You're a Gem. I listen to your Podcast every Night. 
Each & Every word of yours is Valuable.

 
Hope to Work with you at cogent in Future. COMSATS CS Student Here!",,1
muhammad bilal,10 months ago,Amazing... I have been listening podcasts for almost 2 year it changes my perspective and thinking phenomenal,,3
Curious Seeker,8 months ago,@Ehmad Zubair thanks sirrrr for sharing such productive content for us since we've a limited good pakistani content for university students,,1
Syed Basit Raza,10 months ago,I will start listening to podcasts after watching this video. Thanks a lot and keep making these type of videos as well.,,1
Tech Insider,10 months ago,Thing i love about podcast is i can listen while i am coding.,,0
vfx art,10 months ago,please start a series A to Z how to become a software developer in 2022 online course or something.,,2
Anish Zahoor,10 months ago,I listen to podcasts from Tkxel company whenever I go for a walk/run. Keeps me updated on the tech side of the world.,,2
Waqas,10 months ago,"For those interested in news/politics, The Economist is a great one",,0
Mirza Ahmad,8 months ago,Thank you for this video. I also listen to podcasts.,,0
