Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Introvert Person,1 month ago,"Finally, the much-needed episode is here!!!!
Thanks for your efforts
Really appreciated",https://yt3.ggpht.com/ytc/AGIKgqMBOzMD_PgVOs3wHMokg1OwegKpctbIj1SIFwxMhkIFjIILNCXwMcDwzhT0JNVF=s48-c-k-c0x00ffffff-no-rj,2
Data is stunning,1 month ago,"Ahmad bhai! You are doing a great job. Just to suggest you a topic, as now there are so many tech stacks and fields in Computer science such as Web engineering, Mobile dev, Data science, machine learning etc etc. You should do a episode on what should a student do during his degree so that he can grab a decent job.",https://yt3.ggpht.com/ytc/AGIKgqOrsV4Cws3U2I2TB-lYEUBIVIDtGcMoqlXof866=s48-c-k-c0x00ffffff-no-rj,0
sohail karim_10,1 month ago,Thank you Ehmad sir fir your guidance. Please keep us more update about tech industry especially for University students like us,https://yt3.ggpht.com/ytc/AGIKgqNRfp6GyUeK8tHQHKtC4MlH9fG0i3ytUFlGufto=s48-c-k-c0x00ffffff-no-rj,0
Hammad Ali,1 month ago (edited),Both two of my favorite people in one podcast. Will definitely help lots of students. Loved it!,,1
Farid Ullah,1 month ago,One of the best things that happened to me in the last two years  is that i came across your Youtube channel and since then i have watched almost every video of your channel. You have had an amazing influence on my computer science journey. God bless you. Good to see you back with long format youtube videos. Video was as informative as your videos have always been.️,,0
Sachal Khalid,1 month ago (edited),"Amazing vedio!
Learned a lot, Thanks.
You are doing something which is very rare in Pakistan's IT industry.
Thanks again.",,2
Haseeb Ullah,1 month ago,I thought it would be great for me to help me out in planning my final year project if I got this earlier during my last year at university but pretty sure that this is going to be helpful for all who are going to start their fyp.,,0
Muhammad Azhar,1 month ago,Thank you soo much to both of you for your time.  I am commenting for the first time on any Youtube video because this is The Guidance that I was looking for. Keep doing that sessions.,,0
Islam Valley,1 month ago,Thanks for this amazing session. I have a question that I'm working as a Laravel Developer as an undergrad student. Do I consider this in my experience when applying for associate software engineer position or not?,,0
uzair gull,1 month ago,What a great content…….Awesome.,,0
shakoor gilal,1 month ago,Please make video on the importance of FYP of computer science for better future opportunities.,,0
Hamid Imtiaz,1 month ago,I have just one question what about those people that have done courses ? Do big companies hire them?,,0
Mehad Mushtaq,1 month ago,Worthy Episode!,https://yt3.ggpht.com/ytc/AGIKgqNanwY1aueYjeUMoc76-V6oC1gC2nJplEbAiA=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Raza,1 month ago,Thank you Ehmad bro.,https://yt3.ggpht.com/ytc/AGIKgqPC_4xjy3G8j5aALOpw7hFha18P1WZUPQcltVLVTzt5hK3SxDfDemO3IxubBdgu=s48-c-k-c0x00ffffff-no-rj,1
zurra nisar,2 weeks ago,Kindly interview a female about her journey and skills learning phasa,https://yt3.ggpht.com/ytc/AGIKgqNEMKF9hTi8hrNgifdSyDzMlBP2tpx6MqdPraRZFPaGtuIqvM72DcYRTxX8LkAb=s48-c-k-c0x00ffffff-no-rj,0
k191281 Sarfaraz Ali Shaikh,1 month ago,sir video on devops will be appreciated,https://yt3.ggpht.com/ytc/AGIKgqODKIIT4oX0yruzfMiu3IEhMqP4p-11ONKMUg=s48-c-k-c0x00ffffff-no-rj,0
Zafar,1 month ago,Amazing video!,https://yt3.ggpht.com/ytc/AGIKgqOLAsZO50yBno6mghm67XB7R0v41vzijfKY6QVHQkzNKYff4jSrNby1ucltY0uj=s48-c-k-c0x00ffffff-no-rj,0
Abdul Basit,1 month ago,"I am  six semester student. My university don't allow to use framework in fyp.(like react, node js) . university allow php. I already do some project on mern. How I manage my fyp on php.because after graduation I work on mern.",https://yt3.ggpht.com/5WBQDrZxtx6wi27lfFnvKGellrVh73j1lIlaMDFvzovHGFVDd-0wfT6drC9N0TZ_3acTv-K-v2w=s48-c-k-c0x00ffffff-no-rj,3
Hamad Bhatti,1 month ago,i need internship.,https://yt3.ggpht.com/ytc/AGIKgqOnaggKztYIb8pRIaTwQsORM43kKw1TCgv19VEqnxcWR1qf10EsLhVcNFkwtXv0=s48-c-k-c0x00ffffff-no-rj,0
Muzamil Khan,1 month ago,Wrote all the Tips,https://yt3.ggpht.com/ytc/AGIKgqNr4tz6py13omK_AIayFy5ynYOpY9N5lmGRwMjT3Q=s48-c-k-c0x00ffffff-no-rj,0
Heart touching Music,3 weeks ago,"My age 30 . Bsc computer kia hai . 
Ab study krny ka irada hai . Kia main kr skta hon . ?",https://yt3.ggpht.com/ytc/AGIKgqNf0GQdWso8GIrxX8cHC2dzBp-B-bIieDrK-Pm6zA=s48-c-k-c0x00ffffff-no-rj,0
FP-Mirza Riyasat Ali,3 weeks ago,Kon sa survey? Smj ni i sun k! Salary expectation k case m,https://yt3.ggpht.com/ytc/AGIKgqOQ9wxwiUEb6SBfBFYaWLDITQIMgGfrirrxGUpTgQ=s48-c-k-c0x00ffffff-no-rj,0
Qudsia's Art,1 month ago,Ma 6 semester ma hu r hmara fyp to start ho gia ha..r hma to kh ray hen 7 semester ma fyp complete krna ha..8 ma just user experience r deployment ha,https://yt3.ggpht.com/3vr3Xvuc4mzeAgsLizI2d2WEFPNdkAihP_oz6zZnF32NgrJp3zWho3T-0K9yz8vfEbTrgcnjZg=s48-c-k-c0x00ffffff-no-rj,2
Rubaz Jamshaid,1 month ago,1st Comment ,https://yt3.ggpht.com/K4iuH4Mx4qYR-z_nAHHxu9xBGg_gY_0CZQwYVwFhaSVnfdNyq9NtrG7z6tZUlKfpQQE2w9NbNg=s48-c-k-c0x00ffffff-no-rj,0
