Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,1
Zain Baloch,8 months ago,"17 years old aspiring to be a Software engineer. I'm learning a lot of things from you. Currently in 11th grade and I'm learning React.js and Next.js along with Backend stuff. Ehmad Bhai, can you make a video on getting internships for web dev roles for high-schoolers? It would really help the new generation a lot to get real-world experience.",https://yt3.ggpht.com/ytc/AGIKgqM5fa3z8W90pFLVHuED1YlmhLbO0vlHg2lu5axj=s48-c-k-c0x00ffffff-no-rj,15
Ahsan Abdur Rehman,7 months ago,Thank you so much for all this!! Been a follower since a long time. Such content is so unique and important for us in Pakistan right now. Waiting for more learning from you <3,https://yt3.ggpht.com/ytc/AGIKgqNHjiIAULCyA8EaZ_wbDBdjU6h1mpGWMCWyKQ=s48-c-k-c0x00ffffff-no-rj,1
Usman Asghar,8 months ago,You were always exceptional. More success to you,,2
Muhammad Haris Khan,8 months ago,"It was a great video, I liked the part of working at a compnay where you have mentors in the very start of your career. This truly is impactfuly and one learns many things from their one to one guidance which normally doesnt come up if I am freelancing or doing all the work myself. 

Thanks for the series @Ehmad Zubair.",,1
muhammad bilal,8 months ago,"Loving this series, i would like to say thanks because it will clear alot of misunderstanding/mistakes for those who are starting new career",,0
Moeez Ahmad,8 months ago (edited),"Ahmad bhaii much needed such series. I am gonna love it. Thanks a lot for your effort of sharing experience with us. And for sure I have faith in your words ""Mentor hona bht zarori hy"" this was the very first lesson I learned from you and applied in my life which helps me a lot. Love u",,0
Saad Rajpoot,8 months ago (edited),"We're Thankful to you, for this, Ehmad bhai ️",,2
Hadi Ali,8 months ago,"I really love the content you are producing.
Such an erudite episode. looking forward to seeing you in the upcoming series.
May you touch the heights of success. ",,0
Haris Malik,8 months ago,You're really adding a value to aspirants journey. Thanks,,0
Muhammed Hasnain,8 months ago,"Want to see you making more videos on different topics like Website development roadmap , backend development, and how to choose between a wide variety of fields.
Keep up the good work and thanks a lot.",,1
Rao Abdullah,8 months ago (edited),Sir the content like this is very rare in Pakistan So thank you for guidance and keep it up!!️,,0
Danial Zahid,8 months ago,Amazing video Ehmad!! Maybe divide segments into chapters for easier navigation?,,0
Aizaz Haider,8 months ago,"looking forward to this series
will help a lot to newbies",https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,0
UX perience,6 months ago,Impressive work ️,https://yt3.ggpht.com/LJnypwvt3BYeaIOz1CacOeKgGqu7_3KizjnRHIygCWX2_ZU6ug3VBPPxyGx0iX_CY1MgoN-C=s48-c-k-c0x00ffffff-no-rj,0
Shah Arbaz,8 months ago,"WOW YOU ARE a such greatman for next level IT Industry specially for pakistani peoples who have no knowledge about their career path in the field of IT,",https://yt3.ggpht.com/dcFy-IUUL6X2maSIJxmeik3nC6odN6PvXZCLY8NnZANW7S3NkgijWVlXcmW4Nv-p0BsxhD9nwjo=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Sunnan Hassan,8 months ago,Wonderful Series,https://yt3.ggpht.com/ytc/AGIKgqMMb8N1FeDouE5TTibiBfIEkRtJAR4MVQ5t5pB7DA=s48-c-k-c0x00ffffff-no-rj,2
Abu Ubaida,8 months ago,"Thanks, Sir! 
Looking forward to the next Episodes.",https://yt3.ggpht.com/ytc/AGIKgqOJmx80Pz2nDJauCQpxNVjO6gvjxfzuHnU0IRbTQw=s48-c-k-c0x00ffffff-no-rj,0
SL Dev,8 months ago (edited),Thanks brother for making this series,https://yt3.ggpht.com/ytc/AGIKgqMejONO9r6EFDeWLAQN_5mh-KV18UEToS4LcJ5rmXUE6saA2Cp-9L0ych1TzBoa=s48-c-k-c0x00ffffff-no-rj,1
Usama Aslam,8 months ago,Thank you for guidance. Waiting for more episodes.,https://yt3.ggpht.com/OBgEn7itR7hYu1BxQBht4c0eDRTgTDIW6ukViQfVNButXIDUmeZJQ0N7tDqYGNet-O4aigIXvcc=s48-c-k-c0x00ffffff-no-rj,0
muhammad bilal,8 months ago,"Waiting for the next episodes, keep on making this",https://yt3.ggpht.com/ytc/AGIKgqN8ib7_ybj5WozyA8soeWqVOeCCcqiCjiLhO-unIA=s48-c-k-c0x00ffffff-no-rj,0
Bilal Ahmed Khan,8 months ago,Glad to have you back on the channel !,https://yt3.ggpht.com/ytc/AGIKgqMAeiCL27Ht8HcGxyaiyVDOEYmerZdIFwxE6VBtbQ=s48-c-k-c0x00ffffff-no-rj,1
Islah Din,8 months ago,I really like the way you speak about your life.,https://yt3.ggpht.com/Kl9RmvoEw-mq-o2nnU_nSewJr3DNr2VOnoPPgyfI8IF8lZqCpdZ_VgJjQl5R2qJ5_RscmhWc=s48-c-k-c0x00ffffff-no-rj,0
Sulman Ahmad,6 months ago,Really Helpful content ,https://yt3.ggpht.com/ytc/AGIKgqM-LGjUiRHOPM3B7omI-YSRlC6AYxP4JhVx04-xyi7zwxlr8yfTbV0pN9llRu2j=s48-c-k-c0x00ffffff-no-rj,0
Saad Ali,8 months ago,Loved it!! ️,https://yt3.ggpht.com/ytc/AGIKgqNRKrevhurk5m6VmIQJcu0TkEZndLvqxog2XIAQkw=s48-c-k-c0x00ffffff-no-rj,0
Mayra Nadeem,6 months ago,Very Informative Content,,0
Rizz Rullzz,8 months ago,"amazing , waiting for MORE",,0
Sohaib Karim,8 months ago,Sir kindly interview Zaki Shaheen who also works for Facebook,,0
Shahbaz 302,7 months ago,Keep making these kind of videos,,1
Moeez Ahmad,8 months ago,Kindly be puntual for the next episodes,,0
Shahzaib Abdul Rasheed,7 months ago,Thank you sir.,,0
Qaiser Iqbal,8 months ago,"Thank you , JazakuAllah for sharing",,0
Anees,8 months ago,It is better to add timestamps...,,1
Camper School,8 months ago,How to find X value in 2012?,https://yt3.ggpht.com/iGEe7h0OjR5-ahLOIh9UptnokX36beQcw7BwRbot8XllT7Qvy7iCEuPr9rKWVmaVIwGVq8YsDQ=s48-c-k-c0x00ffffff-no-rj,0
Rizz Rullzz,8 months ago,Thanks alot  nice video as always,https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,0
abdullah malik,8 months ago,sir you did major in software engineering?,https://yt3.ggpht.com/ytc/AGIKgqNO4TP1zPxhrTKXNviUzqHzJ1sKT0z9fPV7gg=s48-c-k-c0x00ffffff-no-rj,0
Abdul Hameed Khan,8 months ago,Waiting for a long time. Thanks,https://yt3.ggpht.com/ytc/AGIKgqO78wPs4MZfdpH9aBTfkcyc1QqsLY2jJjNOaBVqUQI=s48-c-k-c0x00ffffff-no-rj,0
Designing with Hassan,7 months ago,bahi please tell about computer engineering!!,https://yt3.ggpht.com/TFxQoaKmD9Am_gvvwtBrk42s9ykKmFUQ6NziaZ--fHP-EYH9IuGrhg6VouYwbyXGSdxJ0xKw=s48-c-k-c0x00ffffff-no-rj,0
Telecomguy1,8 months ago,"Hello Ehmad, I recently discovered you through Muzamil's channel. Im in the US and need a contact or two for some work for my business. Is there a way I can get your help? 
Thanks.
Ashfaq",https://yt3.ggpht.com/ytc/AGIKgqNGuwJ1zzrXYSse63ufbzQrHYEEjjF7cgZYkw=s48-c-k-c0x00ffffff-no-rj,0
